频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
KBC Channel 1,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119696/kbc/playlist.m3u8,网络源,https://i.imgur.com/Km0GINR.png,0.361,未分组,,,,无音频,error,0.0
Magenta Musik 360 (1080p),https://streaming.magentamusik.de/csm/573870/magentamusik1/index.m3u8,网络源,https://i.imgur.com/R74gG7U.png,0.485,未分组,,,,无音频,error,0.0
Metro TV,https://g2qd3exjy7an-hls-live.5centscdn.com/metrotvg/ghanaweb.stream/playlist.m3u8,网络源,https://i.imgur.com/1o5wYVn.png,0.564,未分组,,,,无音频,error,0.0
Joy Prime,https://g2qd3exjy7an-hls-live.5centscdn.com/joyprim/ghanaweb.stream/playlist.m3u8,网络源,https://i.imgur.com/svxV4gJ.png,0.567,未分组,,,,无音频,error,0.0
KBRI Brighton Channel 8 (Brighton CO) (720p),https://brightonco.cablecast.tv/live-4/live/live.m3u8,网络源,https://i.imgur.com/r8lLsyh.png,0.601,未分组,,,,无音频,error,0.0
JBN Canal 39 (720p) [Not 24/7],https://hdbox.chunklistv.com/live?stream=jbn39,网络源,https://i.imgur.com/vFi0FMZ.png,0.823,未分组,,,,无音频,error,0.0
Mambo TV Swahili,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119691/mambotv/playlist.m3u8,网络源,https://i.imgur.com/2CSuNDL.png,0.075,未分组,,,,无音频,error,0.0
MBC Net (480p) [Geo-blocked],http://mytv.dothome.co.kr/ch/catv/28.php,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/MBCNET_%EB%A1%9C%EA%B3%A0.svg/512px-MBCNET_%EB%A1%9C%EA%B3%A0.svg.png,1.435,未分组,,,,无音频,error,0.0
Kriminal (1080p),https://44abd74d.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/Um9rdV9LcmltaW5hbF9ITFM/playlist.m3u8,网络源,,0.365,未分组,,,,无音频,error,0.0
Meriba TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120683/meribatv/playlist.m3u8,网络源,https://i.imgur.com/BuhMNU6.png,0.070,未分组,,,,无音频,error,0.0
