频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
[BD]cna,https://t.freetv.fun/live/cna-3.m3u8,网络源,https://epg.pw/media/images/channel/2023/01/14/large/20230114191550513154_10.png,1.658,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv3,https://t.freetv.fun/live/cctv3-6.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,1.720,未分组,h264,1920x1080,30.0,有音频,疑似假源,0.5156,True,True,1.0,0.0
[VGA]music 6,https://t.freetv.fun/live/music-6.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821113647250054_17.jpg,1.780,未分组,h264,448x360,30.0,有音频,疑似假源,0.6042,True,False,0.9557,0.0026
[HD]classica古典樂,https://t.freetv.fun/live/classicagu-dian-le-10.m3u8,网络源,https://epg.pw/media/images/channel/2017/11/23/large/20171123202358057725_47.png,2.919,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv2,https://t.freetv.fun/live/cctv2-12.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,2.946,未分组,,,,无音频,error,0.0,False,False,0,0
[HD]cetv2,https://t.freetv.fun/live/cetv2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/10/23/20151023181206937281_49.jpg,3.034,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]viju plus premiere,https://t.freetv.fun/live/viju-plus-premiere.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/07/22/20150722031050468187_95.png,1.463,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv-4高清,https://t.freetv.fun/live/cctv-4gao-qing.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,3.224,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv8,https://t.freetv.fun/live/cctv8-4.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001717964200_12.png,0.802,未分组,h264,1920x1080,30.0,有音频,疑似假源,0.5156,True,True,1.0,0.0
[BD]cctv13,https://t.freetv.fun/live/cctv13-21.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001548035027_74.png,5.261,未分组,h264,1920x1080,25.0,有音频,疑似假源,0.5052,True,True,0.9896,0.0
[BD]discovery channel,https://t.freetv.fun/live/discovery-channel-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821140212144035_97.png,0.174,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv4,https://t.freetv.fun/live/cctv4-2.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,0.782,未分组,h264,1920x1080,30.0,有音频,疑似假源,0.5156,True,True,1.0,0.0
[BD]gh television,https://t.freetv.fun/live/gh-television.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,1.969,未分组,,,,无音频,error,0.0,False,False,0,0
[HD]ช่อง nba tv,https://t.freetv.fun/live/ch-ng-nba-tv.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/10/06/20151006162032850296_37.jpg,1.324,未分组,h264,1280x720,25.0,有音频,疑似假源,0.4792,True,True,1.0,0.0
[BD]chc家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-12.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720204118595367_23.png,0.801,未分组,h264,1920x1080,28.0,有音频,疑似假源,0.5,True,True,1.0,0.0
[BD]globo news,https://t.freetv.fun/live/globo-news-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/22/large/20240422035430526505_15.png,0.301,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv风云足球,https://t.freetv.fun/live/cctvfeng-yun-zu-qiu-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/10/large/20220510165533742367_97.jpg,2.364,未分组,h264,1920x1080,50.0,有音频,疑似假源,0.5312,True,True,1.0,0.0
[BD]cctv5,https://t.freetv.fun/live/cctv5-10.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001808321738_22.jpg,1.937,未分组,,,,无音频,error,0.0,True,True,0,0
[BD]cctv14-少儿,https://t.freetv.fun/live/cctv14-shao-er-2.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001539178535_27.png,1.904,未分组,,,,无音频,error,0.0,False,False,0,0
[SD]galaxy,https://t.freetv.fun/live/galaxy.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719190955307327_19.png,1.210,未分组,,,,无音频,error,0.0,False,False,0,0
[HD]classica古典樂,https://t.freetv.fun/live/classicagu-dian-le-11.m3u8,网络源,https://epg.pw/media/images/channel/2017/11/23/large/20171123202358057725_47.png,1.920,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv7,https://t.freetv.fun/live/cctv7-1.php,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001726519561_49.png,0.921,未分组,h264,1920x1080,30.0,有音频,疑似假源,0.5156,True,True,1.0,0.0
[HD]cctv11戏曲,https://t.freetv.fun/live/cctv11xi-qu.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001605278776_41.png,1.891,未分组,,,,无音频,error,0.0,False,False,0,0
