频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
[BD]cctv7,https://stream1.freetv.fun/cctv7-6.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001726519561_49.png,2.031,未分组,,,,无音频,error,0.0
[BD]aghapy kids,https://stream1.freetv.fun/aghapy-kids-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/04/large/20240404163536098858_81.png,3.094,未分组,h264,1920x1080,30.0,有音频,ok; 伪源相似度: 1.0000,1.0
[SD]amc ==,https://stream1.freetv.fun/amc-14.ctv,网络源,https://epg.pw/media/images/channel/2018/01/18/large/20180118210133904705_73.png,0.652,未分组,,,,无音频,error,0.0
[BD]cctv3,https://stream1.freetv.fun/cctv3-65.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,2.260,未分组,,,,无音频,error,0.0
[BD]cctv16,https://stream1.freetv.fun/cctv16-15.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001520864227_20.jpg,2.157,未分组,,,,无音频,error,0.0
[BD]cctv8,https://stream1.freetv.fun/cctv8-19.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001717964200_12.png,1.341,未分组,,,,无音频,error,0.0
[BD]cctv-13,https://stream1.freetv.fun/cctv-13-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001548035027_74.png,6.937,未分组,,,,无音频,error,0.0
[BD]cctv1[geo-blocked],https://stream1.freetv.fun/cctv1-43.m3u8,网络源,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,3.900,未分组,h264,1920x1080,50.0,有音频,error,0.0
[HD]bravo =,https://stream1.freetv.fun/bravo-2.ctv,网络源,https://epg.pw/media/images/channel/2023/02/12/large/20230212225528892223_79.png,0.559,未分组,,,,无音频,error,0.0
[BD]chc家庭影院[geo-blocked],https://stream1.freetv.fun/chcjia-ting-ying-yuan-21.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720204118595367_23.png,1.084,未分组,h264,1920x1080,28.0,有音频,ok; 伪源相似度: 1.0000,1.0
