频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
ç¦¹å·ç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç¦¹å·ç»¼åˆ.png,1.338,未分组,,,,无音频,error,0.0
ç™»å°ç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç™»å°ç»¼åˆ.png,1.349,未分组,,,,无音频,error,0.0
ç™»å°ç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD],网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç™»å°ç»¼åˆ.png,1.343,未分组,,,,无音频,error,0.0
æ–°é‡ç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ–°é‡ç»¼åˆ.png,1.351,未分组,,,,无音频,error,0.0
æµ·å—å…¬å…±,https://migu.188766.xyz/?migutoken=ef776be65335f1469aa68f2752c58640&id=hn_ggpd&type=sz,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æµ·å—å…¬å…±.png,0.630,未分组,h264,1920x1080,28.0,有音频,ok; 伪源相似度: 1.0000,1.0
æ— é”¡ç»æµ,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ— é”¡ç»æµ.png,2.017,未分组,,,,无音频,error,0.0
æ¸©å¿ç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8?zhend,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ¸©å¿ç»¼åˆ.png,0.060,未分组,,,,无音频,error,0.0
æ·®å®‰æ–°é—»ç»¼åˆ,https://mgtv.ottiptv.cc/migu/639731826.m3u8?migutoken=383a4690d772fe16ccec98f2da2e7e0c3b362ae2d9a0fa219e9a7bb76bb96d4ca6392f861efb0a61154552c563897f4660867745735f85e310ec9fb52d7fc55cd30da8d55169f8c415c5a69a15,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ·®å®‰æ–°é—»ç»¼åˆ.png,2.085,未分组,,,,无音频,error,0.0
é™•è¥¿éƒ½å¸‚é’æ˜¥,https://mgtv.ottiptv.cc/migu/956909358.m3u8?migutoken=c3931ea9d3d7ede24a9d13084dadcc55f7f21b114c6c584ca7defd6492ba46b7286dbd751d0f853f83e998e4b0349c62cf4bc570ac83667c4f6bd49a9411edc68e80c1d7f24da79a264d15912b,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é™•è¥¿éƒ½å¸‚é’æ˜¥.png,2.084,未分组,,,,无音频,error,0.0
è¥¿åç»¼åˆ,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/è¥¿åç»¼åˆ.png,0.060,未分组,,,,无音频,error,0.0
