频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2,网络源,,0.456,未分组,,,,无音频,error,0.0
è¥¿è—å«è§†,https://shyd.695847.xyz/cms001/ch00000090990000001072/index.m3u8?IAS,网络源,,0.588,未分组,,,,无音频,error,0.0
å‡¤å‡°é¦™æ¸¯,https://stream1.freetv.fun/feng-huang-xiang-gang-10.ctv,网络源,,1.724,未分组,h264,1920x1080,28.0,有音频,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/qing-hai-wei-shi-64.m3u8,网络源,,1.725,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/qing-hai-wei-shi-95.m3u8,网络源,,1.844,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
ä¸‰æ²™å«è§†,https://stream1.freetv.fun/san-sha-wei-shi-9.m3u8,网络源,,2.068,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-10.m3u8,网络源,,1.880,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/qing-hai-wei-shi-121.m3u8,网络源,,1.275,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
å†…è’™å¤å«è§†,https://stream1.freetv.fun/8a110f3dc942f54064c871ff745952aec412b32339b80ef0f2bcb29fa98b4af7.m3u8,网络源,,2.170,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é‡åº†å«è§†,https://stream1.freetv.fun/c72f84278b832bcfd46c00f06205712127958af17226d7f200bc87ac10710657.m3u8,网络源,,2.197,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
è´µå·å«è§†,https://stream1.freetv.fun/gui-zhou-wei-shi-gao-qing-6.m3u8,网络源,,1.946,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
è¾½å®å«è§†,https://stream1.freetv.fun/16f715e9412ecb9b0f354637590dae793324cd7150698b7d9dcb83a2eb6edf81.m3u8,网络源,,2.206,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
è´µå·å«è§†,https://stream1.freetv.fun/db48e282b6197afb8d7dfad3521a2bc9996f1e8b28a2a0b89ed1189c813617e1.m3u8,网络源,,2.371,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
å‡¤å‡°é¦™æ¸¯,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8,网络源,,2.341,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
è´µå·å«è§†,https://stream1.freetv.fun/bda93bdec1b49f90a28a53debe89da1431b895553b6967cec0427dea54072f07.m3u8,网络源,,2.442,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/21ec4280c711e754fce87fb9773668de34c635cc9974b4994a9bf5d2bb01b018.m3u8,网络源,,2.476,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é»‘é¾™æ±Ÿå«è§†,https://stream1.freetv.fun/0eeff132651adc73a935c01f88939209db16d78d1dbc65ee6ca439d879d1a0f9.m3u8,网络源,,2.342,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é‡åº†å«è§†,https://stream1.freetv.fun/27c97b52b691976b4c65e1c35a326edaa9898f0472a019cd0f0ca510d09dbb83.m3u8,网络源,,2.319,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é‡åº†å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=XglESm&tk=FgM0vQMejxvG,网络源,,0.541,未分组,,,,无音频,error,0.0
å¯°å®‡æ–°é—»,https://stream1.freetv.fun/huan-yu-xin-wen-7.m3u8,网络源,,1.579,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
å°è§†æ–°é—»,https://stream1.freetv.fun/tai-shi-xin-wen-11.m3u8,网络源,,2.618,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
å‡¤å‡°ä¸­æ–‡,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15,网络源,,0.718,未分组,h264,1280x720,30.0,有音频,ok; 伪源相似度: 1.0000,1.0
å†…è’™å¤å«è§†,http://ygbh.site/php/bfgd.php?id=110,网络源,,1.440,未分组,,,,无音频,error,0.0
é’æµ·å«è§†,https://www.freetv.top/migu/947472506.m3u8?migutoken=1f19e5986a0a2ef4e7a8d09edf9a6b8faf270d5320ef4f13eaa876ea8a3ecc2263d1cd2dacb91ceadd6c38af23137707d164462be4cee5d1357c3a8289e0f87ebbce11f5d97c0daa3ac94ae7a1,网络源,,1.353,未分组,h264,1920x1080,30.0,有音频,ok; 伪源相似度: 1.0000,1.0
è¾½å®å«è§†,https://stream1.freetv.fun/72a4b091186e5fc5835c869ec7ffa1f4cc75b6f7d9c3699e7f8d9d4f76a83258.m3u8,网络源,,1.716,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/0e4579bf98e3869e73e674507f4257736227ec9c830d0fe0d2fc77008c50f220.m3u8,网络源,,1.471,未分组,,,,无音频,error,0.0
å‡¤å‡°èµ„è®¯,https://migu.188766.xyz/?migutoken=3e451c5db6076ac5d0768f3174d4bf99&id=hk_fhzx&type=dy,网络源,,0.296,未分组,,,,无音频,error,0.0
