频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
TVcom (1080p),https://tvlocales-live.freecaster.com/tvcom/95d2f656-ba85-4e13-affc-f1936be1a86d/95d2f656-ba85-4e13-affc-f1936be1a86d.isml/master.m3u8,网络源,,0.087,未分组,,,,无音频,error,0.0
TVNET (360p),https://player.tvnet.lv/stream/amlst:61659/playlist.m3u8,网络源,https://i.imgur.com/jzv1ssE.png,4.015,未分组,h264,640x360,23.976023976023978,有音频,ok; 伪源相似度: 1.0000,1.0
Tweede Kamer: Aletta Jacobszaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/alettajacobszaal/index.m3u8?hd=1&keyframes=1&subtitles=live,网络源,https://i.imgur.com/X9fezZ8.png,4.078,未分组,h264,1920x1080,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
Tweede Kamer: Klompezaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/klompezaal/index.m3u8?hd=1&keyframes=1&subtitles=live,网络源,https://i.imgur.com/X9fezZ8.png,4.398,未分组,h264,1920x1080,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
TV Lux (1080p),https://tvlocales-live.freecaster.com/tvlux/95d2f632-0780-4ac1-9895-9e50212dd3b6/95d2f632-0780-4ac1-9895-9e50212dd3b6.isml/master.m3u8,网络源,https://i.imgur.com/ljbdWkC.png,0.127,未分组,,,,无音频,error,0.0
Willow Sports (1080p) [Geo-blocked],https://amg01269-amg01269c1-firetv-us-5377.playouts.now.amagi.tv/playlist.m3u8,网络源,,0.980,未分组,h264,1920x1080,29.97002997002997,有音频,ok; 伪源相似度: 0.9688,0.9688
Tweede Kamer: Actualiteitenkanaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/evenementenkanaal/index.m3u8?hd=1&keyframes=1&subtitles=live,网络源,https://i.imgur.com/X9fezZ8.png,4.305,未分组,h264,1920x1080,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
United TV,https://g2qd3exjy7an-hls-live.5centscdn.com/utvgha/ghanaweb.stream/playlist.m3u8,网络源,https://i.imgur.com/2isM8xd.png,0.340,未分组,,,,无音频,error,0.0
Tweede Kamer: Enquetezaal (1080p) [Not 24/7],https://livestreaming.b67buv2.tweedekamer.nl/live/enquetezaal/index.m3u8?hd=1&keyframes=1&subtitles=live,网络源,https://i.imgur.com/X9fezZ8.png,3.305,未分组,h264,1920x1080,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
TV Jūrmala (1080p),https://air.star.lv/TV_Jurmala_multistream/index.m3u8,网络源,https://i.imgur.com/tQHkHD0.png,0.823,未分组,,,,无音频,error,0.0
