频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
å¹¿ä¸œå«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2fFegu&tk=FgM0vQMejxvG,网络源,,0.832,未分组,,,,无音频,error,0.0,False,False,0,0
ä¸œå—å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=rhgaDE&tk=FgM0vQMejxvG,网络源,,0.848,未分组,,,,无音频,error,0.0,False,False,0,0
å¦é—¨å«è§†,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7784&tk=a0c4f6cfaba3,网络源,,0.902,未分组,,,,无音频,error,0.0,False,False,0,0
å››å·å«è§†,https://stream1.freetv.fun/197fd35f48748ce2cffdf9f0f2e86ecd3081f95a21c30c5b609824774f52a916.m3u8,网络源,,1.722,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
å‰æ—å«è§†,https://stream1.freetv.fun/a3abba70878bfd2955be6ae864330098da64fd76f370b0d069d3131b20aa5859.m3u8,网络源,,1.728,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
å››å·å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=V6DP9L&tk=FgM0vQMejxvG,网络源,,0.515,未分组,,,,无音频,error,0.0,False,False,0,0
å¦é—¨å«è§†,https://stream1.freetv.fun/dbed63a86040718ec58da63619796d31e0af9afacda7aedd1423aa1af946a7b9.m3u8,网络源,,1.845,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
å¹¿ä¸œå«è§†,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-14.m3u8,网络源,,1.878,未分组,,,,无音频,error,0.0,False,False,0,0
å®å¤å«è§†,https://stream1.freetv.fun/a339b98fe6ffe1fa8b71b34751faf6b9062505ee5273a7d27a037762b130dbce.ctv,网络源,,1.948,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
ä¸œå—å«è§†,https://stream1.freetv.fun/2544012f0eb40e4c9acd86ed82a7059a87e3e11e4d1c2392beeab49bcac11cbd.m3u8,网络源,,1.933,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
æµ·å—å«è§†,https://stream1.freetv.fun/e7287ead73b2c6f7869c81ee2fcec3298ffc2cea26a0402cd3c32084280590b6.ctv,网络源,,1.953,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
å¹¿ä¸œå«è§†,https://stream1.freetv.fun/ee96d9db9508b674e311aaa5106fc4b1ce18e87659174d8c5b996329feeda4de.m3u8,网络源,,1.996,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
å±±è¥¿å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=PFfCYf&tk=FgM0vQMejxvG,网络源,,0.275,未分组,,,,无音频,error,0.0,False,False,0,0
