频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
On E,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120977/onehd/playlist.m3u8,网络源,https://i.imgur.com/EPln9yU.png,0.567,未分组,,,,无音频,error,0.0
News 1st (576p) [Not 24/7],https://yuppftalive.akamaized.net/080823/news1st/playlist.m3u8,网络源,https://i.imgur.com/K3hlwDk.png,0.562,未分组,,,,无音频,error,0.0
Once México (1080p),https://vivo.canaloncelive.tv/alivepkgr3/ngrp:cepro_all/playlist.m3u8,网络源,https://i.imgur.com/K0351vF.png,0.639,未分组,,,,无音频,error,0.0
Nova TV (1080p),http://91.132.74.5:8000/play/a005,网络源,https://i.imgur.com/wTZxn8F.png,0.704,未分组,,,,无音频,error,0.0
Óčko Gold (540p) [Geo-blocked],https://ocko-live.ssl.cdn.cra.cz/cra_live2/ocko_gold.stream.1.smil/playlist.m3u8,网络源,https://i.imgur.com/nrWNyLc.jpg,0.934,未分组,,,,无音频,error,0.0
NW Info,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120427/newworldinfo/playlist.m3u8,网络源,https://i.imgur.com/UDEY91v.png,0.161,未分组,,,,无音频,error,0.0
NHK Kishou Saigai (360p) [Not 24/7],https://newssimul-stream.nhk.jp/hls/live/2010561/nhknewssimul/master.m3u8,网络源,https://i.imgur.com/oWKCBIz.png,3.692,未分组,,,,无音频,error,0.0
Omroep Zeeland (1080p),https://d3isaxd2t6q8zm.cloudfront.net/live/omroepzeeland/tv/index.m3u8,网络源,https://i.imgur.com/3c3QUSn.png,2.658,未分组,h264,854x480,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
MTV Chontales (720p) [Not 24/7],https://altair.hostingnica.net/hls/mtv_stream/index.m3u8,网络源,https://i.imgur.com/zgUPYdv.png,0.766,未分组,,,,无音频,error,0.0
NTV (720p) [Not 24/7],https://dogus-live.daioncdn.net/ntv/ntv.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/NTV_%28Turkey%29_logo.svg/300px-NTV_%28Turkey%29_logo.svg.png,0.675,未分组,,,,无音频,error,0.0
Mtavari Arkhi,https://live20.bozztv.com/dvrfl05/gin-mtavariarxi/index.m3u8,网络源,https://i.imgur.com/tLtGnJW.png,0.270,未分组,,,,无音频,error,0.0
National Geographic Abu Dhabi (1080p) [Geo-blocked],https://vo-live.cdb.cdn.orange.com/Content/Channel/NationalGeographicHDChannel/HLS/index.m3u8,网络源,https://i.imgur.com/fNA00VF.png,0.605,未分组,,,,无音频,error,0.0
Minimax (576p) [Not 24/7],http://116.90.120.149:8000/play/a01c/index.m3u8,网络源,https://i.imgur.com/TJvf8vd.png,2.035,未分组,h264,720x576,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
NBC 8 Lima OH (WLIO-DT1) (720p) [Not 24/7],https://live.field59.com/wlio/wlio1/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/NBC_logo_2022_%28vertical%29.svg/512px-NBC_logo_2022_%28vertical%29.svg.png,0.746,未分组,h264,1280x720,59.94005994005994,有音频,error,0.0
NDTV Profit (480p) [Not 24/7],https://ndtvprofitelemarchana.akamaized.net/hls/live/2003680/ndtvprofit/master.m3u8,网络源,https://i.imgur.com/WK4tZ6p.png,2.214,未分组,,,,无音频,error,0.0
NRK 1 (Nordnytt) (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk1_dk2/muxed.m3u8,网络源,,0.246,未分组,,,,无音频,error,0.0
NRK 1 (Innlandet) (1080i) [Geo-blocked],https://nrk-live-no.akamaized.net/nrk1_dk10/muxed.m3u8,网络源,,0.191,未分组,,,,无音频,error,0.0
Nation TV,https://nationtv-1jdcjo.cdn.byteark.com/fleetstream/nationtvlive/index.m3u8,网络源,https://i.imgur.com/h3TY38F.png,0.263,未分组,,,,无音频,error,0.0
Olympic Channel [Geo-blocked],https://ocshls-2-olympicchannel.akamaized.net/ocshls/OCTV_32.m3u8,网络源,https://i.imgur.com/wPQVVtj.png,0.166,未分组,,,,无音频,error,0.0
