频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
XSport+,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119693/xsportsplus/playlist.m3u8,网络源,https://i.imgur.com/epnnKsB.png,0.482,未分组,,,,无音频
東森購物60 (480p),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8,网络源,https://i.imgur.com/nvm6dyH.png,0.560,未分组,,,,无音频
宇哥电影,http://epg.112114.xyz/douyu/413573,网络源,,1.050,未分组,,,,无音频
CCTV-1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV1.png,1.257,未分组,,,,无音频
CCTV-3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV3.png,1.288,未分组,,,,无音频
CCTV-15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV15.png,1.313,未分组,,,,无音频
CCTV-13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV13.png,1.312,未分组,,,,无音频
ZBC TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120684/zbctv/playlist.m3u8,网络源,https://i.imgur.com/NyxeweD.png,0.076,未分组,,,,无音频
CCTV-10,http://z.b.bkpcp.top/m.php?id=CCTV-10ç§‘æ•™ç§‘æ•™,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV10.png,1.511,未分组,,,,无音频
乐清生活 [Geo-blocked],http://33809.hlsplay.aodianyun.com/guangdianyun_33809/tv_channel_171.m3u8,网络源,,0.464,未分组,,,,无音频
НТВ,https://streaming.televizor-24-tochka.ru/live/7.m3u8,网络源,https://i.imgur.com/9r1BKzK.png,1.615,未分组,,,,无音频
万州综合 (576p) [Not 24/7],http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8,网络源,,1.674,未分组,h264,720x576,25.0,有音频
CCTV-7,https://www.freetv.top/migu/673168121.m3u8?migutoken=44446ab398991313e6a822efdaec82f3b845a2e8f141c172aa857c477255724bbb28fc01d33f764c51106c446af1c57e8815b58822075b194f4cf55cde28fe55f54330d4586c92e75e8aa50a48,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV7.png,1.721,未分组,h264,1920x1080,30.0,有音频
江津经济生活 (480p),http://222.179.155.21:1935/ch0.m3u8,网络源,,1.746,未分组,,,,有音频
万州科教 (576p),http://123.146.162.24:8013/tslslive/URetCnP/hls/live_sd.m3u8,网络源,,1.802,未分组,h264,720x576,25.0,有音频
乐清新闻 [Geo-blocked],http://33809.hlsplay.aodianyun.com/guangdianyun_33809/tv_channel_170.m3u8,网络源,,0.507,未分组,,,,无音频
YTA TV,https://yta.unitedteleports.tv/hls/YTA.m3u8,网络源,https://upload.wikimedia.org/wikipedia/en/8/84/YouToo_America_logo.png,2.044,未分组,h264,1920x1080,59.94005994005994,有音频
СТАРТ Триумф,https://bl.webcaster.pro/media/playlist/free_fe8dc1b768a84b8b0333db826471f17e_hd/33_85479982/1080p/8666c3e935faf6ef47ffd601e8e48868/4821408969.m3u8,网络源,https://i.imgur.com/L9jTieL.png,2.208,未分组,,,,无音频
鹤峰综合 [Geo-blocked],http://hefeng.live.tempsource.cjyun.org/videotmp/s10100-hftv.m3u8,网络源,,0.515,未分组,,,,无音频
Кино 1 International [Not 24/7],http://kino-1.catcast.tv/content/38617/index.m3u8,网络源,https://i.imgur.com/zsCPLs4.png,1.203,未分组,h264,768x432,25.0,有音频
Губерния (Самара) (576p),http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8,网络源,https://i.imgur.com/IlL57Rm.png,2.529,未分组,h264,1024x576,25.0,有音频
