频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
å¹¿ä¸œä½“è‚²,https://migu.188766.xyz/?migutoken=260817d49c64b5a38b3497ee63cbd586&id=hk_gdty&type=dy,网络源,,0.943,未分组,,,,无音频
NewTVå“’å•µç”µç«,http://111.43.126.240:9003/hls/101/index.m3u8,网络源,,0.861,未分组,,,,无音频
æ¬¢ä¹é¢‚ç”µè§†å‰§,http://81.70.10.196:35455/douyu/3756989,网络源,,1.288,未分组,h264,1920x1080,30.0,有音频
ä¸Šæµ·å¤–è¯­,http://8.138.7.223/tv/migu3.php?id=shics,网络源,,1.348,未分组,,,,无音频
CHCåŠ¨ä½œç”µå½±,https://www.freetv.top/migu/644368714.m3u8?migutoken=fb9ef80443f06c3612ddd35545ec1054b5bcab3941fc46ecf84808bdd512d7b2cf16d34fdf955bff71bf01f818f6918ba2d7f536dc5451d1519d15cf8a5671bf16ea8a3bbc71db4477476e211d,网络源,,1.498,未分组,h264,1920x1080,30.0,有音频
è®¸å›èªå°å“,https://www.goodiptv.club/douyu/10419558,网络源,,1.773,未分组,h264,1920x1080,30.303030303030305,有音频
å˜‰ä½³å¡é€š,https://stream1.freetv.fun/ipv6-jia-jia-qia-tong-32.m3u8,网络源,,2.168,未分组,h264,1280x720,25.0,有音频
CHCåŠ¨ä½œç”µå½±,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-18.m3u8,网络源,,2.177,未分组,h264,1280x720,25.0,有音频
ç”µå½±_ç„å¹»,http://live.nctv.top/huya.php?id=11342414,网络源,,1.971,未分组,h264,1920x1080,30.0,有音频
ç”µå½±_æ¨è,http://live.nctv.top/huya.php?id=11602041,网络源,,2.099,未分组,h264,1920x800,24.0,有音频
è§£è¯´_ç§‘å¹»æ¢¦å·¥åœº,http://live.nctv.top/huya.php?id=15152155,网络源,,2.022,未分组,,,,无音频
æ¹–åŒ—ï½œè†é—¨æ–°é—»ç»¼åˆ,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd,网络源,,2.224,未分组,h264,1920x1080,25.0,有音频
æ­¢æˆˆç”µå½±ã€Œè§£è¯´ã€,https://live.iill.top/huya/19863777,网络源,,2.178,未分组,,,,无音频
å‹‡æ•¢çš„å¿ƒ,http://live.nctv.top/huya.php?id=11602037,网络源,,2.238,未分组,h264,1280x720,30.0,有音频
åŠ¨ç‰©ä¸–ç•Œ,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/71d7dce230b74c1b9e35b41e837ffc5f/1200.m3u8,网络源,,2.254,未分组,h264,480x270,25.0,有音频
è´¾ç²å°å“,https://www.goodiptv.club/douyu/10419541,网络源,,2.277,未分组,h264,1280x720,25.0,有音频
CHCåŠ¨ä½œç”µå½±,https://stream1.freetv.fun/chcdong-zuo-dian-ying-16.m3u8,网络源,,1.698,未分组,h264,1280x720,25.0,有音频
CHCåŠ¨ä½œç”µå½±,https://shyd.695847.xyz/cms001/ch00000090990000001580/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12,网络源,,2.735,未分组,h264,1920x1080,25.0,有音频
é‡‘é¹°å¡é€š,http://111.43.126.240:9003/hls/73/index.m3u8,网络源,,0.490,未分组,,,,无音频
ã€ŒBç«™ã€ç‹è€…è£è€€_ğŸ™,https://live.iill.top/bilibili/55,网络源,,2.892,未分组,,,,无音频
ã€ŒBç«™ã€è‹±é›„è”ç›Ÿ,https://live.iill.top/bilibili/6,网络源,,2.896,未分组,,,,无音频
åŠ¨æ¼«ç§€åœº,https://stream1.freetv.fun/dong-man-xiu-chang-19.ctv,网络源,,1.608,未分组,h264,1280x720,25.0,有音频
CHCåŠ¨ä½œç”µå½±,http://113.195.172.192:808/hls/114/index.m3u8,网络源,,3.595,未分组,h264,1920x1080,25.0,有音频
CHCåŠ¨ä½œç”µå½±,https://stream1.freetv.fun/chcdong-zuo-dian-ying-28.ctv,网络源,,1.484,未分组,h264,1280x720,25.0,有音频
ç”µå½±_å‘¨æ˜Ÿæ˜Ÿ,http://live.nctv.top/huya.php?id=11336587,网络源,,3.583,未分组,h264,1920x1024,60.0,有音频
å˜‰ä½³å¡é€š,https://stream1.freetv.fun/jia-jia-qia-tong-2.ctv,网络源,,1.535,未分组,h264,1280x720,25.0,有音频
åŸ‹å †å †1,http://cfss.cc/cdn/hy/23749096.flv,网络源,,1.526,未分组,h264,1280x720,30.0,有音频
é–å¤©å¡é€š,https://live.catvod.com/live.php?id=jingtiancartoon_twn&token=4f26239d3a98dafc388f21d0e9e88d5abe734a56ecc705835121ede1f526ef51%3A1762392062%3AMjAuNDkuNjEuNTI%3D,网络源,,1.001,未分组,h264,1920x1080,30.0,有音频
å“ˆå“ˆç‚«åŠ¨,https://stream1.freetv.fun/ha-ha-xuan-dong-7.m3u8,网络源,,1.752,未分组,h264,1280x720,25.0,有音频
åŸ‹å †å †2,https://live.iill.top/huya/23865058,网络源,,2.176,未分组,,,,无音频
ç”„å­ä¸¹,http://live.nctv.top/huya.php?id=11352935,网络源,,2.146,未分组,h264,1280x720,24.0,有音频
æµ™æ±Ÿå°‘å„¿,https://stream1.freetv.fun/zhe-jiang-shao-er-6.m3u8,网络源,,4.372,未分组,h264,1920x1080,25.0,有音频
è§£è¯´_ç–¯ç‹‚è§£è¯´å®¶,https://live.metshop.top/huya/18366196,网络源,,2.346,未分组,h264,1920x1080,30.0,有音频
åŠ¨æ¼«ç§€åœº,https://stream1.freetv.fun/dong-man-xiu-chang-7.ctv,网络源,,4.485,未分组,h264,1280x720,25.0,有音频
CHCåŠ¨ä½œç”µå½±,http://8.138.7.223/tv/migu3.php?id=chcdzdy,网络源,,0.933,未分组,,,,无音频
ç”µå½±_æ²ˆè…¾,http://live.nctv.top/huya.php?id=11601968,网络源,,2.280,未分组,h264,1920x1080,24.0,有音频
æ¹–å—éƒ½å¸‚,http://8.138.7.223/tv/mgtv.php?id=346,网络源,,2.571,未分组,h264,640x360,25.0,有音频
ç”µå½±_è´ºå²ç‰‡,http://live.nctv.top/huya.php?id=11601986,网络源,,2.413,未分组,,,,无音频
