频道名,地址,来源,图标,检测时间,分组,状态码
RTG 1,http://69.64.57.208/rtg/playlist.m3u8,网络源,https://i.imgur.com/E1sMcXz.png,84,未分组,200
RTGA World,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119692/rtga/playlist.m3u8,网络源,https://i.imgur.com/y96e09P.png,84,未分组,403
Spark TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119694/sparktv/playlist.m3u8,网络源,https://i.imgur.com/c4pthr9.png,102,未分组,403
RTG 2,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120428/rtg2/playlist.m3u8,网络源,https://i.imgur.com/E1sMcXz.png,111,未分组,403
Soweto TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120686/sowetotv/playlist.m3u8,网络源,https://i.postimg.cc/5NR3qdj0/sowetotv.png,178,未分组,403
Space TV,https://raw.githubusercontent.com/UzunMuhalefet/streams/main/myvideo-az/space-tv.m3u8,网络源,https://i.imgur.com/ufvVQJH.png,177,未分组,200
Smithsonian Channel Selects,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5f21ea08007a49000762d349/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bb094-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=984e1d1d-6d7f-4f0b-98a5-825ccb67a891,网络源,https://images.pluto.tv/channels/5f21ea08007a49000762d349/featuredImage.jpg,192,未分组,200
RiffTrax,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/58d947b9e420d8656ee101ab/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2b8982-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=1ae8efba-578b-4c2b-a7a1-ec96f6d4bf26,网络源,https://i.imgur.com/hM4yKMn.png,199,未分组,200
Star Trek Deep Space Nine,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65c69bbfd77d450008c7ffee/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bd7a3-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=6e3a3277-9d15-4813-a57c-5547e9d53d6e,网络源,,199,未分组,200
Star Trek 2,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5f77879983bec60007e2a196/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bd7a2-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=ffc48245-dd1f-42c0-a844-75a8a43e52b0,网络源,,202,未分组,200
Star Trek,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5efbd39f8c4ce900075d7698/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bd7a1-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=d71afd5b-b301-46b0-bf30-b8f1833c66d5,网络源,https://i.imgur.com/8cvXYiT.png,210,未分组,200
Star Trek Voyager,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/634dacf51d90320007fcd5fa/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2bd7a4-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=234402c1-3013-44bc-8b1d-c32ced363ff7,网络源,,83,未分组,200
Star Sports 3 (576p),http://87.255.35.150:18804,网络源,https://i.imgur.com/dbp2Mig.png,273,未分组,200
Star Suvarna HD (1080p),http://87.255.35.150:18545,网络源,https://i.imgur.com/U9FA4Gs.png,381,未分组,200
Salto 4 (720p),https://salto-streams.nl/hls/sotv2.m3u8,网络源,https://i.vimeocdn.com/portrait/31947989_640x640,402,未分组,200
Salto Brasa Music (1080p),https://salto-streams.nl/hls/sotv1.m3u8,网络源,https://i.vimeocdn.com/portrait/31947989_640x640,433,未分组,200
Stingray Remember the 80s,https://d39g1vxj2ef6in.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-rakuten-stitched/master.m3u8?ads.xumo_channelId=88883071,网络源,https://i.imgur.com/duwc8E8.png,439,未分组,200
RTG TV,http://194.143.148.28:8080/RTG_HD/index.m3u8,网络源,https://i.imgur.com/ZMKPAho.png,446,未分组,200
Salto 2 (720p),https://d11lnfpmek70tc.cloudfront.net/nlpo/clr-nlpo/bad78523/index.m3u8,网络源,https://i.imgur.com/6H3ycdL.png,462,未分组,200
RTV LOVE (720p),https://d2o8iss0ldenh4.cloudfront.net/nlpo/clr-nlpo/rtvlove/index.m3u8,网络源,https://i.imgur.com/hucwX6v.png,476,未分组,200
Star Trek: Deep Space Nine,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65a67d200c7ff50008cb131a/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=1b210d34-4b81-11ef-a8ac-e146e4e7be02&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=35795be0-a9bf-4b10-b542-2134b369c86c,网络源,,62,未分组,200
SOY Plancha TV (720p),https://59ef525c24caa.streamlock.net/vmtv/soyplancha/playlist.m3u8,网络源,https://i.ibb.co/P4kpMgk/1689344714578.jpg,617,未分组,200
RTV Maastricht (720p) [Not 24/7],http://stream.rtvmaastricht.nl:8081/rtvm_live/tv/playlist.m3u8,网络源,https://i.imgur.com/nYl8H2e.png,644,未分组,200
SMTV (720p) [Not 24/7],http://122.248.43.242:1935/SMTV/_definst_/myStream/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/id/6/6e/Logo_SMTV_Sumedang.png,658,未分组,200
Ridiculousness,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5f8eb8a8b2619a000710605c/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=8e04b532-1f2c-11ef-86d8-5d587df108c6&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=62fcc810-774f-4c6c-8c43-6a67070856ac,网络源,,706,未分组,200
Rig TV,https://buzzr-rigtv-xumo.amagi.tv/playlist.m3u8,网络源,,703,未分组,200
Samaa TV (576p) [Not 24/7],http://116.90.120.149:8000/play/a01g/index.m3u8,网络源,https://i.imgur.com/r3U4A1P.png,464,未分组,200
Show TV (1080p),https://ciner-live.daioncdn.net/showtv/showtv.m3u8,网络源,https://i.imgur.com/1l7SCCu.png,748,未分组,403
Rede NGT (1080p),https://isaocorp.cloudecast.com/ngt/index.m3u8,网络源,https://i.imgur.com/ZFN1R4B.png,813,未分组,200
RTH-TV1 (1080p),https://2-fss-2.streamhoster.com/pl_120/amlst:206708-4203440/playlist.m3u8,网络源,https://i.imgur.com/4z0FiEA.png,855,未分组,200
RTH-TV2 Gospel (1080p),https://2-fss-2.streamhoster.com/pl_120/amlst:206708-4202592/playlist.m3u8,网络源,,865,未分组,200
RTI 1 (1080p) [Not 24/7],http://69.64.57.208:8080/rti1/playlist.m3u8,网络源,https://i.imgur.com/TybQZQS.png,63,未分组,200
RTV Meppel (720p),https://d2eanln3bsfb0d.cloudfront.net/nlpo/clr-nlpo/rtvmeppel/index.m3u8,网络源,https://i.postimg.cc/BvtN27Qs/rtvmeppel.png,941,未分组,200
SCTV4K (2160p) [Geo-blocked],https://z215ymcm4tliv.vcdn.cloud/s97/hls/sctv4k/index.m3u8,网络源,,967,未分组,403
Redseat The First (720p),https://a-cdn.klowdtv.com/live2/thefirst_720p/playlist.m3u8,网络源,https://i.imgur.com/t794qkT.png,986,未分组,200
