频道名,地址,来源,图标,检测时间,分组,状态码
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8,网络源,,87,未分组,200
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8,网络源,,87,未分组,200
西安都市,http://112.46.105.20:8009/hls/29/index.m3u8,网络源,,451,未分组,200
海峡卫视,http://8.138.7.223/tv/hxws.m3u8,网络源,,452,未分组,200
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8,网络源,,467,未分组,200
陕西秦腔,http://112.46.105.20:8009/hls/22/index.m3u8,网络源,,486,未分组,200
西安新闻,http://112.46.105.20:8009/hls/28/index.m3u8,网络源,,492,未分组,200
陕西银龄,http://112.46.105.20:8009/hls/20/index.m3u8,网络源,,525,未分组,200
生态环境,http://120.76.248.139/live/bfgd/4200000149.m3u8,网络源,,528,未分组,200
车迷频道,http://120.76.248.139/live/bfgd/4200000146.m3u8,网络源,,536,未分组,200
茶频道,http://drive.mxmy.net:8888/udp/239.3.1.165:8001,网络源,,564,未分组,200
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8,网络源,,587,未分组,200
陕西新闻咨询,http://112.46.105.20:8009/hls/18/index.m3u8,网络源,,971,未分组,200
末日电影合集,http://www.douzhicloud.site:35455/yy/1354889019,网络源,,999,未分组,200
百家讲坛之明太祖朱元璋,https://yylunbo.ottiptv.cc/yy/1354936149,网络源,,1027,未分组,200
返乡青年撞破村中隐秘村里有情况,https://yylunbo.ottiptv.cc/yy/1382749940,网络源,,1159,未分组,200
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8,网络源,,1266,未分组,200
新白娘子4K观看,https://yylunbo.ottiptv.cc/yy/1508961855,网络源,,1301,未分组,200
长影频道,http://tpc.x3322.net:9901/tsfile/live/1010_1.m3u8,网络源,,1355,未分组,200
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743,网络源,,1360,未分组,200
电影黑豹,https://yylunbo.ottiptv.cc/yy/1382736816,网络源,,1391,未分组,200
朵宝陪你看狄仁杰,https://yylunbo.ottiptv.cc/yy/1353753252,网络源,,1393,未分组,200
白山公共,http://stream8.jlntv.cn/baishan2/playlist.m3u8?zjild,网络源,,1446,未分组,200
连云港新闻综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/lygxinwenzonghe/600/index.m3u8?msisdn=20260114080246b891b1b55ff84fab9801df176030b2a7&mdspid=&spid=699067&netType=0&sid=5500469369&pid=2028597139&timestamp=20260114080246&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=639731715&ParentNodeID=-99&assertID=5500469369&client_ip=218.28.233.106&SecurityKey=20260114080246&promotionId=&mvid=5102012621&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b9ce5aac564ab444f0a991a5b6789d33&sv=10004&ct=android,网络源,,1443,未分组,403
江苏影视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/jsyingshi/600/index.m3u8?msisdn=202601140802459e663738ef0f4f8ba3ca1edbe5fd0683&mdspid=&spid=699067&netType=0&sid=5500260517&pid=2028597139&timestamp=20260114080245&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=626064697&ParentNodeID=-99&assertID=5500260517&client_ip=218.28.233.106&SecurityKey=20260114080245&promotionId=&mvid=5100186424&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=92fc734889c8d99fbd7dd49945125e93&sv=10004&ct=android,网络源,,960,未分组,403
江苏教育,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/jsjiaoyu/600/index.m3u8?msisdn=20260114080245130986f54d4d4c57ae3b8a19f61f6854&mdspid=&spid=699067&netType=0&sid=5500287493&pid=2028597139&timestamp=20260114080245&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=628008321&ParentNodeID=-99&assertID=5500287493&client_ip=218.28.233.106&SecurityKey=20260114080245&promotionId=&mvid=5101012819&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5afd8436842b354f380992c1b0e3e7d0&sv=10004&ct=android,网络源,,887,未分组,403
江苏城市,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/jschengshi/600/index.m3u8?msisdn=20260114080245de437f6539ba4855ad0d572886f05bbe&mdspid=&spid=699067&netType=0&sid=5500260508&pid=2028597139&timestamp=20260114080245&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=626064714&ParentNodeID=-99&assertID=5500260508&client_ip=218.28.233.106&SecurityKey=20260114080245&promotionId=&mvid=5100186409&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ade3f1b89b21ff592fbc473615da67ee&sv=10004&ct=android,网络源,,1362,未分组,403
电影,https://yylunbo.ottiptv.cc/yy/37454459,网络源,,1546,未分组,200
经典电影港片枪战,https://yylunbo.ottiptv.cc/yy/1355076627,网络源,,1556,未分组,200
岳云鹏宋小宝也来演电影了,https://yylunbo.ottiptv.cc/yy/1354926612,网络源,,1666,未分组,200
延边2,http://stream5.jlntv.cn/wq/playlist.m3u8,网络源,,1782,未分组,200
韩国EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8,网络源,,1786,未分组,200
陪你一起看好剧,https://yylunbo.ottiptv.cc/yy/1354932359,网络源,,1801,未分组,200
闲暇观看综艺,https://yylunbo.ottiptv.cc/yy/1354932379,网络源,,1812,未分组,200
经典剧集,http://www.douzhicloud.site:35455/douyu/6863367,网络源,,1808,未分组,200
末日系列外国电影合集,https://yylunbo.ottiptv.cc/yy/1354889019,网络源,,1839,未分组,200
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8,网络源,,1845,未分组,200
电影百团大战,https://yylunbo.ottiptv.cc/yy/1382736871,网络源,,1859,未分组,200
梅艳芳主演喜剧电影,https://yylunbo.ottiptv.cc/yy/1382735627,网络源,,1894,未分组,200
谈判专家,http://www.douzhicloud.site:35455/yy/1382735560,网络源,,1958,未分组,200
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv,网络源,,1972,未分组,200
热血抗日电影,https://yylunbo.ottiptv.cc/yy/1382749907,网络源,,1991,未分组,200
欧美配音电影,https://yylunbo.ottiptv.cc/yy/1354693629,网络源,,1989,未分组,200
老卓电影,https://yylunbo.ottiptv.cc/yy/1354770516,网络源,,1423,未分组,200
郸城新闻综合,http://tvpull.dxhmt.cn:9081/tv/11625-1.m3u8?wsSecret=df15530a0abec41b14bca00fc96270d1&amp;wsTime=1654956569,网络源,,2032,未分组,403
清官难当看芝麻官如何破局,https://yylunbo.ottiptv.cc/yy/1382749909,网络源,,2052,未分组,200
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8,网络源,,2059,未分组,403
科幻片来看神奇的地球,https://yylunbo.ottiptv.cc/yy/1354930897,网络源,,2058,未分组,200
靓剑乐乐陪看,https://yylunbo.ottiptv.cc/yy/1352946111,网络源,,2058,未分组,200
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8,网络源,,2061,未分组,403
飞碟之谜01,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8,网络源,,2060,未分组,200
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8,网络源,,2168,未分组,200
重温经典,https://other.ottiptv.cc/cwjd.m3u8,网络源,,1735,未分组,200
科幻电影,https://yylunbo.ottiptv.cc/yy/1355065896,网络源,,2335,未分组,200
自然传奇,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/81a1ad3a661748bfb8560c92d38204ca/1200.m3u8,网络源,,1128,未分组,200
浪客剑心传说的完结篇,https://yylunbo.ottiptv.cc/yy/1382736820,网络源,,2416,未分组,200
影视小艺,https://yylunbo.ottiptv.cc/yy/1382737886,网络源,,2413,未分组,200
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8,网络源,,2443,未分组,403
王晶电影,http://www.douzhicloud.site:35455/huya/11602058,网络源,,2456,未分组,200
这部剧你居然没看过,https://yylunbo.ottiptv.cc/yy/1354932355,网络源,,2483,未分组,200
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8,网络源,,2574,未分组,200
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,网络源,,2582,未分组,200
精彩动作电影,https://yylunbo.ottiptv.cc/yy/1382736823,网络源,,2592,未分组,200
爆笑电影王牌大贱谍23,https://yylunbo.ottiptv.cc/yy/1382735556,网络源,,2624,未分组,200
精灵宝可梦,http://www.douzhicloud.site:35455/huya/23749096,网络源,,2626,未分组,200
沈腾电影,http://www.douzhicloud.site:35455/huya/11601968,网络源,,1496,未分组,200
贺岁电影,http://www.douzhicloud.site:35455/huya/11601986,网络源,,2662,未分组,200
笑看风云,http://www.douzhicloud.site:35455/huya/29465858,网络源,,2681,未分组,200
洗冤录,http://www.douzhicloud.site:35455/huya/29465851,网络源,,2722,未分组,200
成龙电影,http://www.douzhicloud.site:35455/huya/11342386,网络源,,2274,未分组,200
电影功夫片,http://live.metshop.top/huya/11352941?cdn=alicdn,网络源,,1744,未分组,200
扫黄先锋,http://www.douzhicloud.site:35455/huya/29465855,网络源,,1456,未分组,200
科幻电影,https://yylunbo.ottiptv.cc/yy/1354930209,网络源,,2760,未分组,200
鉴证实录,http://www.douzhicloud.site:35455/huya/23903183,网络源,,2773,未分组,200
精彩动作电影享不停,https://yylunbo.ottiptv.cc/yy/1382736809,网络源,,2771,未分组,200
飞碟之谜02,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/d2454bbb542d4613a9db478dab2addfd/2000.m3u8,网络源,,2809,未分组,200
活佛济公3,http://www.douzhicloud.site:35455/huya/23903123,网络源,,2816,未分组,200
强森电影,http://www.douzhicloud.site:35455/huya/21059581,网络源,,2840,未分组,200
李连杰电影,http://www.douzhicloud.site:35455/huya/11342390,网络源,,2849,未分组,200
罪犯电影,http://www.douzhicloud.site:35455/huya/11352962,网络源,,2382,未分组,200
怪兽电影,http://www.douzhicloud.site:35455/huya/21059577,网络源,,2873,未分组,200
来看修牛蹄,https://yylunbo.ottiptv.cc/yy/1382749887,网络源,,2882,未分组,200
寻秦记,http://www.douzhicloud.site:35455/huya/29465848,网络源,,2883,未分组,200
西游记2,http://www.douzhicloud.site:35455/huya/29465859,网络源,,2887,未分组,200
武侠电影,http://www.douzhicloud.site:35455/huya/11342427,网络源,,2932,未分组,200
电影犯罪片,http://live.metshop.top/huya/11352974?cdn=alicdn,网络源,,2964,未分组,200
战争电影,http://www.douzhicloud.site:35455/huya/21059574,网络源,,2011,未分组,200
电影战争片,http://live.metshop.top/huya/21059574?cdn=alicdn,网络源,,1628,未分组,200
电影丧尸片,http://live.metshop.top/huya/21059578?cdn=alicdn,网络源,,2531,未分组,200
楚汉骄雄,http://www.douzhicloud.site:35455/huya/29465854,网络源,,2981,未分组,200
黄渤电影,http://www.douzhicloud.site:35455/huya/11352876,网络源,,3009,未分组,200
电影梁家辉,http://live.metshop.top/huya/11342429?cdn=alicdn,网络源,,3018,未分组,200
野蛮亲家,http://www.douzhicloud.site:35455/huya/23863796,网络源,,1990,未分组,200
电影搞笑喜剧,http://live.metshop.top/huya/11342423?cdn=alicdn,网络源,,1637,未分组,200
新三国萌儿陪看,https://yylunbo.ottiptv.cc/yy/29216766,网络源,,3041,未分组,200
金庸武侠,http://www.douzhicloud.site:35455/huya/11342435,网络源,,1693,未分组,200
邢台生活,https://jwcdnqx.hebyun.com.cn/live/xtcsshpd/1500k/tzwj_video.m3u8,网络源,,3056,未分组,200
电影八点档,http://live.metshop.top/huya/880261?cdn=alicdn,网络源,,2598,未分组,200
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8,网络源,,2790,未分组,403
悬疑武侠电影九门,https://yylunbo.ottiptv.cc/yy/1382828768,网络源,,3365,未分组,200
百家讲坛红楼梦篇,https://yylunbo.ottiptv.cc/yy/1382741639,网络源,,3383,未分组,200
林正英经典电影,https://yylunbo.ottiptv.cc/yy/34229877,网络源,,3442,未分组,200
超精彩系列动作电影,https://yylunbo.ottiptv.cc/yy/1382745096,网络源,,3517,未分组,200
无心法师,http://www.douzhicloud.site:35455/huya/30080233,网络源,,3781,未分组,200
青海卫视,http://120.238.94.10:9901/tsfile/live/1073_1.m3u8,网络源,,4028,未分组,200
热血动作电影,https://yylunbo.ottiptv.cc/yy/1382736804,网络源,,4206,未分组,200
斗鱼港剧,http://www.douzhicloud.site:35455/douyu/5061550,网络源,,4620,未分组,200
远去的飞鹰影视剧,https://yylunbo.ottiptv.cc/yy/1354930912,网络源,,5052,未分组,200
西藏卫视,http://120.238.94.10:9901/tsfile/live/1077_1.m3u8,网络源,,5596,未分组,200
钟馗传说,https://yylunbo.ottiptv.cc/yy/1382736839,网络源,,5904,未分组,200
野山鹰影视剧,https://yylunbo.ottiptv.cc/yy/1354932395,网络源,,1039,未分组,200
珍珠港电影,https://yylunbo.ottiptv.cc/yy/1354936234,网络源,,1293,未分组,200
粟裕大将影视,https://yylunbo.ottiptv.cc/yy/1354926542,网络源,,3098,未分组,200
