频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
[VGA]tvi internacional,https://stream1.freetv.fun/tvi-internacional-6.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173750013761_42.png,0.803,未分组,,error,0.0
[HD]ช่อง nesn,https://stream1.freetv.fun/ch-ng-nesn-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/06/01/large/20230601220959793959_91.png,2.565,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]rts 2[geo-blocked],https://stream1.freetv.fun/rts-2-3.m3u8,网络源,https://epg.pw/media/,5.769,未分组,,error,0.0
[HD]ช่อง sky sports premier league,https://stream1.freetv.fun/ch-ng-sky-sports-premier-league-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/04/large/20230904161002034102_45.png,1.490,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]Okey *t[geo-blocked],https://stream1.freetv.fun/okey--t-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921223037870739_89.jpg,5.019,未分组,,error,0.0
[HD]ช่อง sky racing,https://stream1.freetv.fun/ch-ng-sky-racing-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/09/07/large/20190907212020803818_26.png,1.470,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]ช่อง sky sports plus,https://stream1.freetv.fun/ch-ng-sky-sports-plus-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/07/large/20220807222724425696_46.jpg,1.295,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]relax 8,https://stream1.freetv.fun/relax-8-1.m3u8,网络源,https://epg.pw/media/,1.012,未分组,,ok; 伪源相似度: 1.0000,1.0
[SD]cctv-02[geo-blocked],https://stream1.freetv.fun/cctv-02-1.ctv,网络源,https://epg.pw/media/img/logo/1_124.jpg,15.747,未分组,,error,0.0
[BD]nhan dan tv[geo-blocked],https://stream1.freetv.fun/nhan-dan-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2017/12/25/large/20171225202316819491_57.jpg,1.921,未分组,,error,0.0
[HD]rts svet[geo-blocked],https://stream1.freetv.fun/rts-svet-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821162550002140_40.jpg,4.757,未分组,,error,0.0
[HD]ช่อง nbc sports network,https://stream1.freetv.fun/ch-ng-nbc-sports-network-2.m3u8,网络源,https://epg.pw/media/images/channel/2017/01/05/large/20170105145517180728_73.png,1.516,未分组,,ok; 伪源相似度: 1.0000,1.0
[SD]rtp 1[geo-blocked],https://stream1.freetv.fun/rtp-1-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/17/large/20221217141327172034_32.png,0.782,未分组,,error,0.0
[HD]ช่อง nhk world tv,https://stream1.freetv.fun/ch-ng-nhk-world-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513225311089225_30.jpg,1.275,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]tmz,https://stream1.freetv.fun/tmz-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/10/20170210220252614593_53.png,2.056,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]tvbplus,https://stream1.freetv.fun/tvbplus-5.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722193451659796_71.png,0.949,未分组,,error,0.0
[VGA]tvm internacional[geo-blocked],https://stream1.freetv.fun/tvm-internacional-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173750013761_42.png,15.193,未分组,,error,0.0
[HD]ช่อง nickelodeon,https://stream1.freetv.fun/ch-ng-nickelodeon-2.m3u8,网络源,https://epg.pw/media/,1.396,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]rtp1[geo-blocked],https://stream1.freetv.fun/rtp1-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/17/large/20221217141327172034_32.png,0.610,未分组,,error,0.0
[HD]qatar tv,https://stream1.freetv.fun/qatar-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2024/03/13/large/20240313145531758833_64.png,0.693,未分组,,error,0.0
[BD]tve rs,https://stream1.freetv.fun/tve-rs-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719183133854178_23.png,6.283,未分组,,error,0.0
[HD]ช่อง sky sports golf,https://stream1.freetv.fun/ch-ng-sky-sports-golf-2.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/21/large/20190121143639349572_52.png,1.529,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]saga tv,https://stream1.freetv.fun/saga-tv-2.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174201524147_24.png,14.983,未分组,,ok; 伪源相似度: 0.9844,0.9844
[HD]ช่อง red bull tv,https://stream1.freetv.fun/ch-ng-red-bull-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/16/large/20220516155835221115_90.jpg,1.422,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]qatar tv,https://stream1.freetv.fun/qatar-tv-3.m3u8,网络源,https://epg.pw/media/images/channel/2024/03/13/large/20240313145531758833_64.png,0.647,未分组,,error,0.0
[HD]ช่อง tsn 1,https://stream1.freetv.fun/ch-ng-tsn-1-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821155352783803_74.png,1.339,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]ช่อง sportsnet ontario,https://stream1.freetv.fun/ch-ng-sportsnet-ontario-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/31/large/20250131031730760929_90.png,1.571,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]tmc[geo-blocked],https://stream1.freetv.fun/tmc-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821115725352682_68.png,3.942,未分组,,error,0.0
[HD]ช่อง sportsnet,https://stream1.freetv.fun/ch-ng-sportsnet-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/10/large/20230910194953438917_10.png,1.605,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]o2tv,https://stream1.freetv.fun/o2tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/24/20150424231848703885_68.png,10.688,未分组,,error,0.0
[BD]globo sp 2,https://stream1.freetv.fun/globo-sp-2-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/09/09/20140909014643643615_17.jpg,1.068,未分组,,error,0.0
[BD]ndr international[geo-blocked],https://stream1.freetv.fun/ndr-international-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/23/20140523214937210461_54.jpg,19.317,未分组,,error,0.0
[HD]ช่อง superone,https://stream1.freetv.fun/ch-ng-superone-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/02/20150202091024178897_37.jpg,1.543,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]ช่อง showcase,https://stream1.freetv.fun/ch-ng-showcase-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020501078351_12.png,1.198,未分组,,ok; 伪源相似度: 1.0000,1.0
[VGA]nick music,https://stream1.freetv.fun/nick-music-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126163604239747_36.jpg,2.503,未分组,,ok; 伪源相似度: 0.9531,0.9531
[HD]noos tv,https://stream1.freetv.fun/noos-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/06/21/20150621112447455088_59.png,4.532,未分组,,ok; 伪源相似度: 0.9688,0.9688
[BD]super,https://stream1.freetv.fun/super-2.ctv,网络源,https://epg.pw/media/,2.700,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]src tv,https://stream1.freetv.fun/src-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/10/20170210220052448942_95.png,1.890,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]tv5 monde info,https://stream1.freetv.fun/tv5-monde-info-3.m3u8,网络源,https://epg.pw/media/img/logo/6_11.jpg,0.734,未分组,,error,0.0
[HD]ช่อง sportsnet one,https://stream1.freetv.fun/ch-ng-sportsnet-one-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/10/large/20230910194953438917_10.png,1.345,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]ช่อง tsn 3,https://stream1.freetv.fun/ch-ng-tsn-3-1.m3u8,网络源,https://epg.pw/media/images/channel/2016/06/23/large/20160623141803049604_40.png,1.435,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]now新闻,https://stream1.freetv.fun/nowxin-wen-4.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/17/large/20240417171909234814_40.png,0.754,未分组,,error,0.0
[HD]premier sports 1,https://stream1.freetv.fun/premier-sports-1-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,6.537,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]rts 1[geo-blocked],https://stream1.freetv.fun/rts-1-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/06/09/20160609232225581913_90.png,5.121,未分组,,error,0.0
[HD]tnt,https://stream1.freetv.fun/tnt-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/02/26/large/20220226172918924851_37.png,0.944,未分组,,error,0.0
[HD]globo rj 3,https://stream1.freetv.fun/globo-rj-3-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/09/09/20140909014643643615_17.jpg,1.063,未分组,,error,0.0
[HD]ช่อง spectrum sportsnet,https://stream1.freetv.fun/ch-ng-spectrum-sportsnet-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/10/27/large/20231027181432143729_67.png,1.387,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]ช่อง premier sports 1,https://stream1.freetv.fun/ch-ng-premier-sports-1-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/06/09/large/20220609233720370622_81.png,1.414,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]spotv 2 *wj,https://stream1.freetv.fun/spotv-2--wj-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/10/07/large/20231007170610471054_74.png,6.179,未分组,,error,0.0
