频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
å››å·å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=WteRvK&tk=FgM0vQMejxvG,网络源,,0.712,未分组,,error,0.0
æµ·å—å«è§†,https://www.yangshipin.cn/tv/home?pid=600002506,网络源,,2.128,未分组,,error,0.0
ä¸œæ–¹å«è§†,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8,网络源,,2.230,未分组,,ok; 伪源相似度: 1.0000,1.0
åŒ—äº¬å«è§†,https://stream1.freetv.fun/81c57e64229ee26513ec49252330adea92adafa87cfe9d56626cf1847172632e.m3u8,网络源,,2.724,未分组,,ok; 伪源相似度: 1.0000,1.0
å®‰å¾½å«è§†,https://stream1.freetv.fun/f81f172236a3ae061ebfa4f744e0e4df0a98e55499dc57d585073c81d366eb54.m3u8,网络源,,2.788,未分组,,ok; 伪源相似度: 1.0000,1.0
æµ·å—å«è§†,https://stream1.freetv.fun/b7bf07489a9de8adfcf3a4762367c5ce59e94a2f3baf19a81b0611748784dad8.m3u8,网络源,,2.616,未分组,,ok; 伪源相似度: 1.0000,1.0
å®‰å¾½å«è§†,https://stream1.freetv.fun/4578c4cc1ec1e3a44b49c0377bcc7ad2f839ca97cf3f744a9959ab9a30f736fb.m3u8,网络源,,2.695,未分组,,ok; 伪源相似度: 1.0000,1.0
å®å¤å«è§†,https://stream1.freetv.fun/8ae71558d492ac43ed16dd0b77a95c7c5a8e5b4d435b3c35bc4adc0048b7d33c.m3u8,网络源,,2.822,未分组,,ok; 伪源相似度: 1.0000,1.0
åŒ—äº¬å«è§†,https://stream1.freetv.fun/5836a93c4e0bc4d1b0cb3313e2dbe6ee812e31fbb2cbe5eb73b33d087ce62746.m3u8,网络源,,2.866,未分组,,ok; 伪源相似度: 1.0000,1.0
æ±Ÿè‹å«è§†,https://stream1.freetv.fun/0649ab465998e527a93053f995b4a2ccd9ecb2a7b1eb05653f4d3a6033383fe2.m3u8,网络源,,2.666,未分组,,ok; 伪源相似度: 1.0000,1.0
æ·±åœ³å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ncZXax&tk=FgM0vQMejxvG,网络源,,0.561,未分组,,error,0.0
æµ·å—å«è§†,https://shyd.695847.xyz/cms001/ch00000090990000001183/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12,网络源,,2.897,未分组,,error,0.0
å‰æ—å«è§†,https://stream1.freetv.fun/8543613a4b69a8de52f4a1fa8052115426d328c8ee5989951dccffaedeace382.m3u8,网络源,,2.450,未分组,,ok; 伪源相似度: 1.0000,1.0
æ±Ÿè‹å«è§†,https://stream1.freetv.fun/8ed0870d4280b3b28954d9ae067b37ff8885ea15549512273090c7833634d40d.m3u8,网络源,,2.456,未分组,,ok; 伪源相似度: 1.0000,1.0
å¤©æ´¥å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=LrJui7&tk=FgM0vQMejxvG,网络源,,0.371,未分组,,error,0.0
æµ·å—å«è§†,http://139.196.214.238/rtp/239.45.1.81:5140,网络源,,3.599,未分组,,error,0.0
å››å·å«è§†,https://stream1.freetv.fun/si-chuan-wei-shi-gao-qing-7.ctv,网络源,,1.443,未分组,,ok; 伪源相似度: 1.0000,1.0
å¤©æ´¥å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=B15m1u&tk=FgM0vQMejxvG,网络源,,0.422,未分组,,error,0.0
æµ·å—å«è§†,https://stream1.freetv.fun/eb41049bd834ddfb4cd47ed858ee349a815138cb85042afded58871be645cc67.m3u8,网络源,,0.739,未分组,,error,0.0
ä¸œå—å«è§†,https://stream1.freetv.fun/70abcb0b881539f6eca28137e803ff5f7ec964873f03cbb563f5dd595940ab2c.m3u8,网络源,,1.269,未分组,,error,0.0
å®å¤å«è§†,https://stream1.freetv.fun/zhu-xia-wei-shi-24.m3u8,网络源,,1.379,未分组,,error,0.0
