频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
æ–°ç™½å¨˜å­ä¼ å¥‡,http://lu.wqwqwq.sbs/yy/1354490667,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ–°ç™½å¨˜å­ä¼ å¥‡.png,0.656,未分组,,error,0.0
é–å¤©æ˜ ç”»,https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æ˜ ç”».png,1.017,未分组,,ok; 伪源相似度: 1.0000,1.0
ä¸œæ£®è¶…è§†,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¸œæ£®è¶…è§†.png,1.059,未分组,,ok; 伪源相似度: 1.0000,1.0
çº¬æ¥è‚²ä¹,https://live.catvod.com/live.php?id=videolandyule&token=29d66f02bb445a2069a8f31cbb216cf3f2cbf9de61528e66d4c52126be7431e7%3A1761182302%3ANTIuMjM0LjQzLjE3Nw%3D%3D,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥è‚²ä¹.png,1.065,未分组,,ok; 伪源相似度: 1.0000,1.0
ä¸‰ç«‹æ–°é—»,https://hls-gateway.vpstv.net/streams/492922.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¸‰ç«‹æ–°é—».png,0.115,未分组,,error,0.0
CHCå®¶åº­å½±é™¢,http://goo.bkpcp.top/mg/jtyy,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CHCå®¶åº­å½±é™¢.png,1.272,未分组,,error,0.0
CHCå®¶åº­å½±é™¢,http://gat.bkpcp.top/ymg.php?id=jtyy,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CHCå®¶åº­å½±é™¢.png,1.336,未分组,,error,0.0
æ˜ç å°,https://live.tvfix.org/live/pearl/1/v4000000/index.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ˜ç å°.png,1.325,未分组,,error,0.0
[BD]靖天映画[geo-blocked],https://stream1.freetv.fun/jing-tian-ying-hua-1.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720211824734749_31.png,0.802,未分组,,ok; 伪源相似度: 1.0000,1.0
äº”æ˜Ÿä½“è‚²,https://stream1.freetv.fun/wu-xing-ti-yu-4.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/äº”æ˜Ÿä½“è‚².png,2.122,未分组,,ok; 伪源相似度: 1.0000,1.0
æ˜ç å°,https://stream1.freetv.fun/ming-zhu-10.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ˜ç å°.png,2.181,未分组,,ok; 伪源相似度: 1.0000,1.0
CHCåŠ¨ä½œç”µå½±,http://z.b.bkpcp.top/m.php,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CHCåŠ¨ä½œç”µå½±.png,2.236,未分组,,ok; 伪源相似度: 1.0000,1.0
CNå¡é€š,https://stream1.freetv.fun/cnqia-tong-1.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CNå¡é€š.png,2.354,未分组,,ok; 伪源相似度: 1.0000,1.0
ç²¾å“ä½“è‚²,https://epg.pw/stream/866a097a0907c9832440f8df38272dd555abf05200dfbafcc137e214c9b30ca7.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç²¾å“ä½“è‚².png,2.586,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]东森综合[geo-blocked],https://stream1.freetv.fun/8140559a5d4385739699c12accb202af6011bbff486d4ceb42f8391a127ad212.ctv,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722105831030948_83.png,0.785,未分组,,ok; 伪源相似度: 1.0000,1.0
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-15.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CHCå®¶åº­å½±é™¢.png,1.722,未分组,,ok; 伪源相似度: 1.0000,1.0
æ¸¸æˆé£äº‘,https://www.freetv.top/migu/790188417.m3u8?migutoken=0276ef43726b0a3df46f95059cfba0dc88fb58e0682005aef78c7fcce5c7101a4d1199cd5aa05c58eaed75bf3a107385ce216cf787ceb58c1839c276b121b05b72a1ec8d7c6f23c240511643c0,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ¸¸æˆé£äº‘.png,1.289,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]b站王者荣耀[geo-blocked],https://stream1.freetv.fun/bzhan-wang-zhe-rong-yao-1.ctv,网络源,https://epg.pw/media/images/channel/2022/02/10/large/20220210222702096387_48.png,2.096,未分组,,error,0.0
[BD]三立新闻[geo-blocked],https://stream1.freetv.fun/san-li-xin-wen-4.ctv,网络源,https://epg.pw/media/images/channel/2023/07/21/large/20230721173220819747_86.png,0.979,未分组,,ok; 伪源相似度: 1.0000,1.0
çº¬æ¥è‚²ä¹,https://live.catvod.com/live.php?id=videolandyule&token=e36fcda3f4b7e8b5909afdfb1f84325efd61edc43f87499f92b5ce17f8583f78%3A1761441669%3ANDguMjExLjIxMC4xMTM%3D,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥è‚²ä¹.png,0.525,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]靖天映画[geo-blocked],https://stream1.freetv.fun/jing-tian-ying-hua-3.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720211824734749_31.png,0.785,未分组,,ok; 伪源相似度: 1.0000,1.0
å¤§åº†æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/da-qing-xin-wen-zong-he-1.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¤§åº†æ–°é—»ç»¼åˆ.png,1.554,未分组,,ok; 伪源相似度: 1.0000,1.0
çº¬æ¥è‚²ä¹,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥è‚²ä¹.png,0.871,未分组,,error,0.0
æ¸¸æˆé£äº‘,https://www.freetv.top/migu/790188417.m3u8?migutoken=4bb23a171d4d63d4362dfba9a795c0f4ae95e2190f17a502e900947df23bda8e7a18b21aa9e6b578071ed4ced654a44a80d0fb8970ac8330432d19255fb721f3c1ee552fa186e2c9427e18e082,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ¸¸æˆé£äº‘.png,1.354,未分组,,ok; 伪源相似度: 1.0000,1.0
é–å¤©æ˜ ç”»,http://pullpackage.alivecdn.com/live/hTZYTLKukHNqDnshCwsOBdnFoZs5a4UeCJ396iYBSzJGOEv6kg.flv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æ˜ ç”».png,0.158,未分组,,error,0.0
CNå¡é€š,https://cdn.iptv8k.top/dl/jrys.php?id=364&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CNå¡é€š.png,0.339,未分组,,ok; 伪源相似度: 1.0000,1.0
ä¸œæ£®ç”µå½±,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¸œæ£®ç”µå½±.png,0.333,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]靖天资讯[geo-blocked],https://stream1.freetv.fun/jing-tian-zi-xun-4.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720211439196918_86.png,0.877,未分组,,ok; 伪源相似度: 1.0000,1.0
å‡¤å‡°å«è§†,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å‡¤å‡°å«è§†.png,1.248,未分组,,error,0.0
å‡¤å‡°é¦™æ¸¯,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å‡¤å‡°é¦™æ¸¯.png,0.890,未分组,,error,0.0
[BD]台视新聞,https://stream1.freetv.fun/tai-shi-xin-wen-21.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/11/22/20161122123940121042_91.png,2.584,未分组,,ok; 伪源相似度: 1.0000,1.0
é‡‘é¹°å¡é€š,https://stream1.freetv.fun/jin-ying-qia-tong-41.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é‡‘é¹°å¡é€š.png,1.674,未分组,,ok; 伪源相似度: 1.0000,1.0
å¤©æ˜ ç»å…¸,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¤©æ˜ ç»å…¸.png,1.497,未分组,,ok; 伪源相似度: 1.0000,1.0
[HD]dazn ringside,https://stream1.freetv.fun/06b6214f3d5ee5f7d354b14fe53ac947012b5e07efc6d1b2b8599a5200bdafa5.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,0.638,未分组,,error,0.0
çº¬æ¥ä½“è‚²,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥ä½“è‚².png,2.005,未分组,,ok; 伪源相似度: 1.0000,1.0
[BD]hollywood,https://stream1.freetv.fun/95a8b50ee9ca6c3c94b6bdf5ac8fcbbbea9de08e4eaa4ec3263f37b0c9a8a9d2.m3u8,网络源,https://epg.pw/media/images/channel/2023/03/05/large/20230305234858603161_67.png,6.960,未分组,,error,0.0
çˆ±ç”µç«,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000230630,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çˆ±ç”µç«.png,0.624,未分组,,error,0.0
[BD]cctv-4k[geo-blocked],https://stream1.freetv.fun/cctv-4k-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125055421788601_18.png,2.098,未分组,,ok; 伪源相似度: 1.0000,1.0
å“ˆå°”æ»¨å½±è§†,http://111.43.126.240:9003/hls/5/index.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å“ˆå°”æ»¨å½±è§†.png,0.455,未分组,,error,0.0
