频道名,地址,来源,图标,检测时间,分组,视频信息,相似度
CreaTV The Outlet Channel 30 (San Jose CA) (720p),https://reflect-creatv.cablecast.tv/live-16/live/live.m3u8,网络源,https://i.imgur.com/O5GXlmE.png,0.999,未分组,,0.7812
Cupertino City Channel (720p),https://cdn3.wowza.com/5/dk84U1p2UUdoMGxT/cupertino/G0067_003/playlist.m3u8,网络源,https://i.imgur.com/p9Jn0Dy.png,1.036,未分组,,0.7969
Euronews English (720p),https://a-cdn.klowdtv.com/live3/euronews_720p/playlist.m3u8,网络源,https://i.imgur.com/8t9mdg9.png,0.971,未分组,,0.625
DD Jharkhand,https://d3eyhgoylams0m.cloudfront.net/v1/manifest/93ce20f0f52760bf38be911ff4c91ed02aa2fd92/ed7bd2c7-8d10-4051-b397-2f6b90f99acb/2c6c5c20-6afe-47c4-934f-a0d7002cb151/2.m3u8,网络源,https://i.imgur.com/VKpjoD9.png,1.011,未分组,,0.6875
Fasso TV Kankan,https://dvrfl06.bozztv.com/astv-fassotv/index.m3u8,网络源,https://i.imgur.com/xrV3Qrr.png,1.527,未分组,,0.4375
El Camino TV (480p),https://5d32e2b9b7eed.streamlock.net:4443/ectv/ectv/playlist.m3u8,网络源,https://i.imgur.com/ZSktjGB.png,1.697,未分组,,0.5625
Decades,https://dvrfl03.bozztv.com/hdirect/hdirect-ovair1-decades/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Decades_Logo.svg/512px-Decades_Logo.svg.png,1.604,未分组,,0.4062
DAAI TV,https://pull.daaiplus.com/live-DAAIPLUS/live-DAAIPLUS_HD.m3u8,网络源,https://i.imgur.com/YC7JCHo.png,1.849,未分组,,0.6094
Cooking Panda (576p),https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=46,网络源,https://i.imgur.com/bhY0Zcs.png,3.018,未分组,,0.5469
èTv Marche (720p),https://live.ipstream.it/etvmarche/etvmarche.stream/playlist.m3u8,网络源,https://i.imgur.com/U6OW577.png,3.144,未分组,,0.5781
E! Keeping Up,https://xumo-xumoent-vc-117-a3ga4.fast.nbcuni.com/live/master.m3u8,网络源,,3.232,未分组,,0.9219
FBI Files,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62bdaa32a1b2fd00076693e8/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7a2d95-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=53708f79-4a2b-4285-8fa6-e950fc36fb48,网络源,https://i.imgur.com/vzYDSLo.png,2.351,未分组,,0.7344
