频道名,地址,来源,图标,检测时间,分组,视频信息
[HD]espn brasil 2,https://stream1.freetv.fun/espn-brasil-2-2.ctv,网络源,https://epg.pw/media/images/channel/2020/11/14/large/20201114212523756889_54.png,1.713,未分组,
[BD]motortrend =,https://stream1.freetv.fun/motortrend-3.ctv,网络源,https://epg.pw/media/images/channel/2019/01/10/large/20190110224925174615_29.jpg,1.823,未分组,
[BD]us motortrend,https://stream1.freetv.fun/us-motortrend-1.ctv,网络源,https://epg.pw/media/images/channel/2019/01/10/large/20190110224925174615_29.jpg,1.883,未分组,
[HD]fox sports =,https://stream1.freetv.fun/fox-sports-4.ctv,网络源,https://epg.pw/media/images/channel/2024/03/14/large/20240314005216219785_15.png,1.922,未分组,
[SD]hbo zone =,https://stream1.freetv.fun/hbo-zone-8.ctv,网络源,https://epg.pw/media/images/channel/2024/04/11/large/20240411180058847905_35.png,2.005,未分组,
[SD]kqsl channel 8 (720p),https://stream1.freetv.fun/kqsl-channel-8-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/22/large/20230922164216308037_71.png,2.217,未分组,
[HD]music hits,https://stream1.freetv.fun/music-hits-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/20/20150220164147765237_80.jpg,2.344,未分组,
[BD]muzangala tv,https://stream1.freetv.fun/muzangala-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/07/22/20150722093236034526_79.png,2.336,未分组,
[HD]horse and country,https://stream1.freetv.fun/horse-and-country-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/19/20150419153713628730_64.jpg,2.722,未分组,
[BD]multishow,https://stream1.freetv.fun/multishow-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/07/27/20170727164051233389_25.png,2.700,未分组,
[HD]hbo 2 east *m[geo-blocked],https://stream1.freetv.fun/hbo-2-east--m-1.ctv,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020554404518_29.png,2.732,未分组,
[HD]dieu tv,https://stream1.freetv.fun/dieu-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173820438012_69.png,2.759,未分组,
[BD]imam hussein tv 2,https://stream1.freetv.fun/imam-hussein-tv-2-3.m3u8,网络源,https://epg.pw/media/,2.836,未分组,
[HD]hmong tv network,https://stream1.freetv.fun/hmong-tv-network-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/28/20140528160602880583_13.png,1.567,未分组,
[SD]history2(usa) *s[geo-blocked],https://stream1.freetv.fun/history2--s-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/23/large/20220523014821537815_27.jpg,3.323,未分组,
[SD]black cinema,https://stream1.freetv.fun/black-cinema-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/23/20170223014334664873_51.png,3.339,未分组,
[HD]black cinema,https://stream1.freetv.fun/black-cinema-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/23/20170223014334664873_51.png,3.444,未分组,
[HD]mutv =,https://stream1.freetv.fun/mutv-1.ctv,网络源,https://epg.pw/media/images/channel/2024/07/15/large/20240715153321877236_20.png,1.061,未分组,
[SD]pluto tv classic movies,https://stream1.freetv.fun/pluto-tv-classic-movies-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/19/20140519075921354843_41.png,3.939,未分组,
[SD]e!entertainment =,https://stream1.freetv.fun/e-entertainment-2.ctv,网络源,https://epg.pw/media/images/channel/2021/11/07/large/20211107010609393877_29.png,0.815,未分组,
[SD]mytime movie network,https://stream1.freetv.fun/mytime-movie-network-5.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/15/large/20240415121455440051_22.png,2.226,未分组,
[HD]metv,https://stream1.freetv.fun/metv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164603528342_17.png,2.918,未分组,
[BD]nh network,https://stream1.freetv.fun/nh-network-1.ctv,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/11/20150211201012423363_25.jpg,2.898,未分组,
[VGA]ebs plus 1,https://stream1.freetv.fun/ebs-plus-1-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/24/large/20221224164513139147_76.jpeg,4.878,未分组,
[BD]komala tv,https://stream1.freetv.fun/komala-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/01/06/20160106032658540833_94.jpg,2.398,未分组,
[SD]russia 24 international[geo-blocked],https://stream1.freetv.fun/russia-24-international-3.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174912035196_59.png,3.165,未分组,
[HD]brividy cinema,https://stream1.freetv.fun/brividy-cinema-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/23/20170223014334664873_51.png,1.433,未分组,
