频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8,网络源,,20.001,未分组,,,,无音频,timeout
乐家购物,http://112.46.105.20:8009/hls/23/index.m3u8,网络源,,20.001,未分组,,,,无音频,timeout
陕西秦腔,http://112.46.105.20:8009/hls/22/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
快乐垂钓,http://drive.mxmy.net:8888/udp/239.3.1.164:8001,网络源,,20.001,未分组,,,,无音频,timeout
陕西银龄,http://112.46.105.20:8009/hls/20/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
内蒙古卫视,http://182.150.23.74:808/hls/37/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8,网络源,,20.001,未分组,,,,无音频,timeout
[BD]经济科教高清,https://stream1.freetv.fun/jing-ji-ke-jiao-gao-qing-10.ctv,网络源,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,20.002,未分组,,,,无音频,timeout
[BD]广东少儿高清,https://stream1.freetv.fun/yan-dong-shao-er-gao-qing-3.ctv,网络源,https://epg.pw/media/images/channel/2023/12/26/large/20231226205555048307_40.png,20.003,未分组,,,,无音频,timeout
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8,网络源,,20.004,未分组,,,,无音频,timeout
