频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
山东卫视,http://183.11.239.36:808/hls/43/index.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
[BD]звезда,https://t.freetv.fun/live/zvezda-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174948569612_67.png,20.002,未分组,,,,无音频,timeout
[BD]нтв,https://t.freetv.fun/live/ntv-2-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506175050395781_63.png,20.001,未分组,,,,无音频,timeout
[BD]тнт,https://t.freetv.fun/live/tnt.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174349957501_91.png,20.001,未分组,,,,无音频,timeout
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
西安新闻,http://112.46.105.20:8009/hls/28/index.m3u8,网络源,,20.001,未分组,,,,无音频,timeout
[BD]тнт4,https://t.freetv.fun/live/tnt4.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174349957501_91.png,20.002,未分组,,,,无音频,timeout
[SD]радость моя,https://t.freetv.fun/live/radost-moia-1.m3u8,网络源,https://epg.pw/media/,20.002,未分组,,,,无音频,timeout
[BD]广东经济,https://t.freetv.fun/live/yan-dong-jing-ji.php,网络源,https://epg.pw/media/images/channel/2024/01/11/large/20240111224412616123_60.png,20.002,未分组,,,,无音频,timeout
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
南宁影视娱乐,https://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
[SD]тнт4,https://t.freetv.fun/live/tnt4-5.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174349957501_91.png,20.002,未分组,,,,无音频,timeout
武汉新闻,http://vapi.91kds.cc/live2/hbwhtv.m3u8?apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=hbwhtv1,网络源,,20.003,未分组,,,,无音频,timeout
[BD]广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-3.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/21/large/20230721133553685102_74.png,20.003,未分组,,,,无音频,timeout
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild,网络源,,20.005,未分组,,,,无音频,timeout
