频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
Mithila Nepal TV (1080p),http://150.107.205.212:1935/live/mithila/playlist.m3u8?DVR=,网络源,https://i.ibb.co/CWn3fH9/1689333550464.jpg,20.215,未分组,,,,无音频,timeout
NDR Fernsehen International (720p),https://ndrint.akamaized.net/hls/live/2020766/ndr_int/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Logo_NDR_Fernsehen_2017.svg/512px-Logo_NDR_Fernsehen_2017.svg.png,20.213,未分组,,,,无音频,timeout
Orler TV (420p) [Not 24/7],https://w1.mediastreaming.it/orlertv/livestream/playlist.m3u8,网络源,https://i.postimg.cc/RZH2z89h/orlertv.png,20.004,未分组,,,,无音频,timeout
More4 HD,https://viamotionhsi.netplus.ch/live/eds/more4/browser-dash/more4.mpd,网络源,https://i.imgur.com/cx5YcAU.png,20.005,未分组,,,,无音频,timeout
MMA-TV.com,https://streams2.sofast.tv/vglive-sk-462904/playlist.m3u8,网络源,https://i.imgur.com/QhdxNsB.png,20.002,未分组,,,,无音频,timeout
MNB Монголын Мэдээ (1080p),https://cdn4.skygo.mn/live/disk1/MNB2/DASH-FTA/MNB2.mpd,网络源,https://i.imgur.com/KUvJzUD.png,20.002,未分组,,,,无音频,timeout
Minimax (576p) (576p),http://88.212.15.19/live/test_minimax/playlist.m3u8,网络源,https://i.imgur.com/WWOlm1x.png,20.002,未分组,,,,无音频,timeout
NTV (1080p),https://cdn4.skygo.mn/live/disk1/NTVHD/DASH-FTA/NTVHD.mpd,网络源,https://i.imgur.com/2JbqbPY.png,20.004,未分组,,,,无音频,timeout
MNB Гэр бүл (576p),https://live.mnb.mn/hls/mnb_family.stream.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
Now TV 94.3FM Winnipeg (CHNW-FM),https://videostream.jpbgdigital.com/CHNWTV.m3u8,网络源,,20.006,未分组,,,,无音频,timeout
ORF Kids (720p),https://web12.mdn.ors.at/orf/web12/qxa/manifest.mpd,网络源,https://i.imgur.com/Zxuah2b.png,20.002,未分组,,,,无音频,timeout
Miracle TV (576p),https://live.miraclechannel.com/hls/miracle1.m3u8,网络源,https://i.imgur.com/rc68GZJ.png,20.002,未分组,,,,无音频,timeout
ORF 2 Tirol HD (720p),https://viamotionhsi.netplus.ch/live/eds/orf2/browser-dash/orf2.mpd,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/ORF2_logo_n.svg/512px-ORF2_logo_n.svg.png,20.001,未分组,,,,无音频,timeout
Miracle Channel (576p),https://miracle.stream.boxigy.com/hls/miracle1.m3u8,网络源,https://i.imgur.com/yrt7Rw9.png,20.001,未分组,,,,无音频,timeout
MTA7 Asia (1080p),https://livemtaasia.akamaized.net/hls/live/2039224/mtaasia2/playlist.m3u8,网络源,https://i.imgur.com/3Nl8Tpu.png,20.003,未分组,,,,无音频,timeout
MN25 (1080p),https://cdn4.skygo.mn/live/disk1/MN25/DASH-FTA/MN25.mpd,网络源,https://i.imgur.com/F3MMJMd.png,20.002,未分组,,,,无音频,timeout
MTA6 Asia (1080p),https://livemtaasia.akamaized.net/hls/live/2039224/mta6asia/playlist.m3u8,网络源,https://i.imgur.com/nhCNPJI.png,20.002,未分组,,,,无音频,timeout
Mooz Ro!,https://rtmp.digitalbroadcast.ro/moozro/moozro.m3u8,网络源,https://i.imgur.com/Ft24x5T.png,20.002,未分组,,,,无音频,timeout
MNB (1080p),https://cdn4.skygo.mn/live/disk1/MNB/DASH-FTA/MNB.mpd,网络源,https://i.imgur.com/RdRd0to.png,20.003,未分组,,,,无音频,timeout
MNB Sport (1080p),https://cdn4.skygo.mn/live/disk1/MNBSport/DASH-FTA/MNBSport.mpd,网络源,https://i.imgur.com/z854PC3.png,20.004,未分组,,,,无音频,timeout
