频道名,地址,来源,图标,检测时间,分组,视频信息
DC.gov DKN (Washington DC) (1080p),https://video.oct.dc.gov/out/u/DKN.m3u8,网络源,https://i.imgur.com/DIau0GB.png,1.387,未分组,
DC.gov Council Hearing Room 120 (Washington DC) (1080p),https://video.oct.dc.gov/out/u/97_12.m3u8,网络源,https://i.imgur.com/8fljC7g.png,0.503,未分组,
[BD]bbc earth,https://stream1.freetv.fun/8ceea8c7e1961842e551fc90916350de2838ee500e19edf3fdbf2f2c0c3561bf.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,3.914,未分组,
[SD]nickelodeon (uk) =,https://stream1.freetv.fun/nickelodeon-17.ctv,网络源,https://epg.pw/media/,0.681,未分组,
ISTV (720p) [Not 24/7],https://stmv1.srvstm.com/sistema7933/sistema7933/playlist.m3u8,网络源,https://i.imgur.com/RUKVrOH.png,0.445,未分组,
[BD]bbc earth *wj,https://stream1.freetv.fun/5d67e11d9136ee4a616de066ef91b3f0089f54ba64e24e1b3c303c8044196652.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,3.047,未分组,
[HD]brtv,https://stream1.freetv.fun/brtv-5.m3u8,网络源,https://epg.pw/media/,5.317,未分组,
[BD]alpha ard,https://stream1.freetv.fun/alpha-ard-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020443112628_58.png,8.020,未分组,
Isaac TV (720p),https://livecdn.live247stream.com/isaac/tv/playlist.m3u8,网络源,https://i.imgur.com/RHDbsiO.png,2.248,未分组,
Nidae AlIslam Radio (1080p),https://live.kwikmotion.com/sbrksanedaradiolive/srpksanedaradio/playlist.m3u8,网络源,https://i.imgur.com/laEk64E.png,1.814,未分组,
[SD]nicktoons *m[geo-blocked],https://stream1.freetv.fun/nicktoons--m-1.ctv,网络源,https://epg.pw/media/images/channel/2024/04/04/large/20240404170350457530_44.png,1.916,未分组,
CCTV12,http://123.130.84.106:8154/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,16.062,未分组,
CCTV13,https://migu.188766.xyz/?migutoken=d61b55ed10139864a341ece4a1f5272e&id=CCTV13&type=yy,网络源,,3.761,未分组,
Nieta TV,http://69.64.57.208/nieta/playlist.m3u8,网络源,https://i.imgur.com/5RoXTaN.png,0.360,未分组,
