频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-8.m3u8,网络源,,1.259,未分组,,ok; 伪源相似度: 1.0000,1.0
çº¬æ¥ä½“è‚²,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥ä½“è‚².png,0.901,未分组,,error,0.0
è¥¿è—å«è§†,https://epg.pw/stream/3eaef55a49d4dc5a29746eab41bbbee88f297063b52e33b0e6a5732e673faf20.m3u8,网络源,,1.668,未分组,,ok; 伪源相似度: 1.0000,1.0
山东新闻 (1080p) [Geo-blocked],http://livealone302.iqilu.com/iqilu/ggpd.m3u8,网络源,,0.062,未分组,,error,0.0
CCTV7,http://61.156.228.12:8154/tsfile/live/0007_1.m3u8,网络源,,3.236,未分组,,error,0.0
è¥¿è—å«è§†,https://stream1.freetv.fun/788bd87f19312df1f95a71b4e35d67b9a106571c1bc88362e11f6a4ba4ca34ed.m3u8,网络源,,1.196,未分组,,error,0.0
çº¬æ¥è‚²ä¹,https://cdn.iptv8k.top/dl/jrys.php?id=289&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥è‚²ä¹.png,0.528,未分组,,ok; 伪源相似度: 1.0000,1.0
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-6.m3u8,网络源,,1.372,未分组,,ok; 伪源相似度: 1.0000,1.0
山东生活 (1080p) [Geo-blocked],http://livealone302.iqilu.com/iqilu/shpd.m3u8,网络源,https://i.imgur.com/bWPiC14.png,0.065,未分组,,error,0.0
CHCå®¶åº­å½±é™¢,http://kkk.888.3116598.xyz/api.php?n=tttt&id=QwBHMi&tk=FgM0vQMejxvG,网络源,,0.266,未分组,,error,0.0
[SD]fnx [geo-blocked][geo-blocked],https://stream1.freetv.fun/fnx-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/02/29/large/20200229001608560661_60.png,0.846,未分组,,ok; 伪源相似度: 1.0000,1.0
山东综艺 (406p) [Geo-blocked],http://livealone302.iqilu.com/iqilu/zypd.m3u8,网络源,https://i.imgur.com/a2XK8N9.png,0.061,未分组,,error,0.0
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8,网络源,,10.159,未分组,,error,0.0
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-12.m3u8,网络源,,1.245,未分组,,ok; 伪源相似度: 1.0000,1.0
åŒ—äº¬å«è§†,http://61.156.228.12:8154/tsfile/live/0122_1.m3u8,网络源,,8.008,未分组,,error,0.0
è¥¿è—å«è§†,https://stream1.freetv.fun/xi-cang-wei-shi-17.m3u8,网络源,,1.428,未分组,,error,0.0
Global TV,http://181.188.216.5:18000/play/a0m5/index.m3u8,网络源,https://i.imgur.com/yuEou9C.png,0.216,未分组,,error,0.0
山东齐鲁 (1080p) [Geo-blocked],http://livealone302.iqilu.com/iqilu/qlpd.m3u8,网络源,https://i.imgur.com/U9wNMmm.png,0.062,未分组,,error,0.0
è¿äº‘æ¸¯æ–°é—»ç»¼åˆ,https://migu.188766.xyz/?migutoken=1b0d5ada0a7a68f9bc0ad66f4464a69d&id=%E8%BF%9E%E4%BA%91%E6%B8%AF%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88&type=yy,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/è¿äº‘æ¸¯æ–°é—»ç»¼åˆ.png,0.557,未分组,,ok; 伪源相似度: 1.0000,1.0
çº¬æ¥ä½“è‚²,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/çº¬æ¥ä½“è‚².png,1.606,未分组,,ok; 伪源相似度: 1.0000,1.0
è¥¿è—å«è§†,https://stream1.freetv.fun/e9b551911f75a12de9d10157ac98a47d34040438240edc0626e3a1d0dfe7b3d2.m3u8,网络源,,1.619,未分组,,ok; 伪源相似度: 1.0000,1.0
è‹å·æ–°é—»ç»¼åˆ,http://z.b.bkpcp.top/m.php?id=szxwzh,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/è‹å·æ–°é—»ç»¼åˆ.png,1.128,未分组,,error,0.0
è¿äº‘æ¸¯æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/lian-yun-gang-xin-wen-zong-he-3.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/è¿äº‘æ¸¯æ–°é—»ç»¼åˆ.png,1.430,未分组,,ok; 伪源相似度: 1.0000,1.0
CHCå®¶åº­å½±é™¢,https://stream1.freetv.fun/chcjia-ting-ying-yuan-23.m3u8,网络源,,1.668,未分组,,ok; 伪源相似度: 1.0000,1.0
