频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
å‡¤å‡°ä¸­æ–‡,https://stream1.freetv.fun/feng-huang-zhong-wen-18.m3u8,网络源,,1.088,未分组,,ok; 伪源相似度: 1.0000,1.0
Ланет.TV (486p),https://kiev1-cdn.lanet.tv/live/1008.m3u8,网络源,https://i.imgur.com/Jdy4SoG.png,3.383,未分组,,ok; 伪源相似度: 1.0000,1.0
Canal 7 Neuquén (1080p),https://stream.arcast.com.ar/c7nq/ngrp:c7nq_all/playlist.m3u8,网络源,https://i.ibb.co/BrvQsWm/C7neuquenlogo2023.png,2.489,未分组,,error,0.0
åŠ¨æ¼«ç§€åœº,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031113,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åŠ¨æ¼«ç§€åœº.png,0.721,未分组,,error,0.0
å‡¤å‡°ä¸­æ–‡,https://stream1.freetv.fun/fe3d3346f748e4ec230691be958aff27e91c225b43b5855685cd1fbe79c56f60.m3u8,网络源,,1.421,未分组,,ok; 伪源相似度: 1.0000,1.0
å—äº¬æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/nan-jing-xin-wen-zong-he-6.ctv,网络源,,1.157,未分组,,ok; 伪源相似度: 1.0000,1.0
Fibwi (1080p) [Not 24/7],https://hostcdn3.fibwi.com/fibwi_diario/index.fmp4.m3u8,网络源,https://i.imgur.com/4vcGzcC.png,0.912,未分组,,error,0.0
Курай (Уфа) (576p),https://bsttv.bonus-tv.ru/cdn/kurai/playlist.m3u8,网络源,https://i.imgur.com/hZXBD9F.png,10.123,未分组,,error,0.0
åŠ¨æ¼«ç§€åœº,https://stream1.freetv.fun/dong-man-xiu-chang-12.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åŠ¨æ¼«ç§€åœº.png,1.240,未分组,,ok; 伪源相似度: 1.0000,1.0
æ²³å—å«è§†,http://113.15.109.216:59901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.193,未分组,,error,0.0
å‡¤å‡°ä¸­æ–‡,https://stream1.freetv.fun/feng-huang-zhong-wen-11.m3u8,网络源,,1.091,未分组,,ok; 伪源相似度: 1.0000,1.0
Alhurra (720p),https://mbn-ingest-worldsafe.akamaized.net/hls/live/2038900/MBN_Alhurra_Worldsafe_HLS/master.m3u8,网络源,https://i.imgur.com/tiQp2sR.png,1.737,未分组,,ok; 伪源相似度: 1.0000,1.0
åŠ¨æ¼«ç§€åœº,https://stream1.freetv.fun/dong-man-xiu-chang-7.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åŠ¨æ¼«ç§€åœº.png,1.259,未分组,,ok; 伪源相似度: 1.0000,1.0
å‡¤å‡°ä¸­æ–‡,https://stream1.freetv.fun/feng-huang-zhong-wen-15.m3u8,网络源,,1.155,未分组,,ok; 伪源相似度: 1.0000,1.0
Alhurra Iraq (720p),https://mbn-ingest-worldsafe.akamaized.net/hls/live/2038899/MBN_Iraq_Worldsafe_HLS/master.m3u8,网络源,https://i.postimg.cc/d0MGPcf3/alhurrairaq.png,1.889,未分组,,error,0.0
Матч! Страна,http://31.148.48.15/Match_Strana/index.m3u8,网络源,https://i.imgur.com/X02s2UE.png,11.108,未分组,,error,0.0
CCTV4,https://piccpndali.v.myalicdn.com/audio/cctv4_2.m3u8,网络源,,2.374,未分组,,error,0.0
åŠ¨æ¼«ç§€åœº,https://stream1.freetv.fun/dong-man-xiu-chang-5.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åŠ¨æ¼«ç§€åœº.png,1.179,未分组,,error,0.0
æ±Ÿè‹å«è§†,https://stream1.freetv.fun/8354132b8e31bd5a6b540978f17386c71e93f50df4454b0019475e887152850d.m3u8,网络源,,1.664,未分组,,ok; 伪源相似度: 1.0000,1.0
æ­¦ä¹¡æ–°é—»ç»¼åˆ,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8?zshanxd,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ­¦ä¹¡æ–°é—»ç»¼åˆ.png,7.734,未分组,,ok; 伪源相似度: 1.0000,1.0
å—é€šæ–°é—»ç»¼åˆ,http://kkk.888.3116598.xyz/api.php?n=tttt&id=sbddYS&tk=FgM0vQMejxvG,网络源,,0.256,未分组,,error,0.0
å‡¤å‡°ä¸­æ–‡,https://stream1.freetv.fun/feng-huang-zhong-wen-9.m3u8,网络源,,3.826,未分组,,error,0.0
æ±Ÿè‹å«è§†,https://stream1.freetv.fun/0649ab465998e527a93053f995b4a2ccd9ecb2a7b1eb05653f4d3a6033383fe2.m3u8,网络源,,1.621,未分组,,ok; 伪源相似度: 1.0000,1.0
Alföld TV (1080p),https://cloudfront41.lexanetwork.com:1344/relay01/livestream006.sdp/playlist.m3u8,网络源,https://i.imgur.com/W6jg8iM.png,0.730,未分组,,error,0.0
[BD]厦门卫视[geo-blocked],https://stream1.freetv.fun/sha-men-wei-shi-34.ctv,网络源,https://epg.pw/media/images/channel/2022/04/27/large/20220427145557789544_92.jpg,7.758,未分组,,error,0.0
CCTV4,https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8,网络源,,1.757,未分组,,error,0.0
