频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=76643d97dedd9d3c8f942bccc253faeb22def73d3881bd632c23f126dbad7d21d9d9bd6e6e6a1b304806d9329d9aa09b7f511c452d571d618644122578b3e4981e7c99aec8a1b987a41d01276d,网络源,,1.183,未分组,,ok; 伪源相似度: 1.0000,1.0
æ¹–åŒ—å«è§†,https://stream1.freetv.fun/6596b480fc6b099b72d49f6a87d4f056a3b9d04651cdd0ee732d1b35577dbdf4.m3u8,网络源,,1.603,未分组,,ok; 伪源相似度: 1.0000,1.0
CCTV5,http://lt.hxtre.com:35455/itv/1000000005000265005.m3u8?cdn=ystenlive,网络源,,0.851,未分组,,error,0.0
Pluto TV Cine Estelar (720p),https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5f1ac1f1b66c76000790ef27/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&is_lat=1&platform=web&rdid=channel&tags=ROKU_CONTENT_TAGS,网络源,https://i.imgur.com/v3BO4nW.png,1.291,未分组,,ok; 伪源相似度: 1.0000,1.0
æ±ªæ¸…ç»¼åˆ,http://stream5.jlntv.cn/wq/sd/live.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ±ªæ¸…ç»¼åˆ.png,2.017,未分组,,ok; 伪源相似度: 1.0000,1.0
è¾½å®å…¬å…±,http://ygbh.site/php/bfgd.php?id=481,网络源,,1.023,未分组,,error,0.0
æ±Ÿè‹å«è§†,https://www.freetv.top/migu/623899368.m3u8?migutoken=eeab3d17b63b4c7e121ca8b24be0708254418f2e6cf6a24e94e18f79f97719fcea9930b4df2add6349f47b4bbb429f376c6d63c64916f5c43cdc2c87c201be1688d9db3211827c78605443a1f0,网络源,,1.145,未分组,,ok; 伪源相似度: 1.0000,1.0
Рен ТВ,https://streaming.televizor-24-tochka.ru/live/14.m3u8,网络源,https://i.imgur.com/0Tu5lte.png,0.621,未分组,,error,0.0
ç¬¬ä¸€è´¢ç»,http://ls.qingting.fm/live/276.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç¬¬ä¸€è´¢ç».png,2.060,未分组,,error,0.0
Fortuna TV (1080p),https://streamtv.intervenhosting.net:3355/live/fortunatvlive.m3u8,网络源,https://i.imgur.com/RPiTPnK.png,0.491,未分组,,error,0.0
è¾½å®å…¬å…±,http://ygbh.site/php/bfgd.php?id=077,网络源,,1.036,未分组,,error,0.0
æ¹–åŒ—å«è§†,https://stream1.freetv.fun/ce1abf22084a306c1058b614f0dc156557acb96111d2816dc78007bd890a6e0c.m3u8,网络源,,1.629,未分组,,ok; 伪源相似度: 1.0000,1.0
RFD-TV,https://rfdtv-jw.cdn.vustreams.com/live/7cba1a3b-318a-4097-8492-374478370b91/live.isml/7cba1a3b-318a-4097-8492-374478370b91.m3u8,网络源,https://i.imgur.com/FcT3beY.png,1.237,未分组,,error,0.0
CCTV5,https://stream1.freetv.fun/1b7611e6b0e4aae05b867aa6a842bae6194ee0f78e11690ba727dcb3d79d8155.ctv,网络源,,1.602,未分组,,ok; 伪源相似度: 1.0000,1.0
Rhema TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119194/rhematv/playlist.m3u8,网络源,https://i.imgur.com/NsqM1Vu.png,0.120,未分组,,error,0.0
å‡¤å‡°èµ„è®¯,https://stream1.freetv.fun/feng-huang-zi-xun-7.ctv,网络源,,1.254,未分组,,ok; 伪源相似度: 1.0000,1.0
è¾½å®åŒ—æ–¹,http://ygbh.site/php/bfgd.php?id=071,网络源,,1.046,未分组,,error,0.0
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=f4028150ccebb24672bb134ff9263dc2fa555f760bd7f0624f98a260402d38ab91417925cf800517a7c1b877a15425e85b65b6a16be7fe88d145c2cb2d42af684846c5a89a5c22eb739e0e52cf,网络源,,0.966,未分组,,ok; 伪源相似度: 1.0000,1.0
æ¹–åŒ—å«è§†,https://stream1.freetv.fun/fdc4b5bef9298866531062f5204da8c718de299cb10143f260fb3f8d8ec3ed53.m3u8,网络源,,1.631,未分组,,ok; 伪源相似度: 1.0000,1.0
Canal 21,https://tls-cl.cdnz.cl/canal21tv/live/playlist.m3u8,网络源,https://i.imgur.com/znmWqhW.png,0.779,未分组,,error,0.0
éƒ½å¸‚å‰§åœº,https://hls-gateway.vpstv.net/streams/708845.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/éƒ½å¸‚å‰§åœº.png,0.160,未分组,,error,0.0
æŸ³æ²³ç»¼åˆ,http://stream3.jlntv.cn:80/aac_lhgb/sd/live.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æŸ³æ²³ç»¼åˆ.png,2.384,未分组,,error,0.0
Trece + (720p),https://stream.logicideas.media/canaltreceplus-live/smil:live1plus.smil/playlist.m3u8,网络源,https://i.imgur.com/jySvMsw.png,1.027,未分组,,error,0.0
æ²³å—å«è§†,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8,网络源,,3.520,未分组,,error,0.0
