频道名,地址,来源,图标,检测时间,分组,视频信息,未通过信息,相似度
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=URpjqF&tk=FgM0vQMejxvG,网络源,,0.256,未分组,,error,0.0
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=fMMDXe&tk=FgM0vQMejxvG,网络源,,0.249,未分组,,error,0.0
é’æµ·å«è§†,https://stream1.freetv.fun/d6cb8a9b2d3d4f555418141ecb008cc61e84a6278690a855241eb57bf43fdf75.m3u8,网络源,,5.610,未分组,,error,0.0
é¦™æ¸¯å«è§†,https://stream1.freetv.fun/xiang-gang-wei-shi-13.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é¦™æ¸¯å«è§†.png,1.102,未分组,,ok; 伪源相似度: 1.0000,1.0
Crave 1,https://fl1.moveonjoy.com/CRAVE_1/index.m3u8,网络源,https://i.imgur.com/ZkRQ0r1.png,0.787,未分组,,error,0.0
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=UD8j7z&tk=FgM0vQMejxvG,网络源,,0.273,未分组,,error,0.0
é’æµ·å«è§†,https://stream1.freetv.fun/deaa20e0dee0586cff9865553a834a8c953550e0536954e6e150c89839aefab8.m3u8,网络源,,1.756,未分组,,ok; 伪源相似度: 1.0000,1.0
é¦™æ¸¯å«è§†,https://stream1.freetv.fun/xiang-gang-wei-shi-8.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é¦™æ¸¯å«è§†.png,1.039,未分组,,ok; 伪源相似度: 1.0000,1.0
å¹¿ä¸œä½“è‚²,http://8.138.7.223/tv/gd.php?id=00031,网络源,,17.873,未分组,,ok; 伪源相似度: 1.0000,1.0
é’æµ·å«è§†,https://stream1.freetv.fun/e0551db6bc9512b248a2da5f2455dee2c1d3164fb9ece82daa77b0c1b7ffb8a4.m3u8,网络源,,1.598,未分组,,ok; 伪源相似度: 1.0000,1.0
NBC 26 Green Bay WI (WGBA-DT1) (720p),https://content.uplynk.com/channel/1fbfb28ae5044f619f75ae0adb011989.m3u8,网络源,https://i.imgur.com/bzgfmRL.png,9.432,未分组,,ok; 伪源相似度: 1.0000,1.0
