频道名,地址,来源,图标,检测时间,分组,状态,状态码
å¤©æ´¥å«è§†,http://111.14.181.15:9901/tsfile/live/0135_1.m3u8,网络源,,,未分组,失败(404),404
ä¸œå—å«è§†,http://111.14.181.15:9901/tsfile/live/0137_1.m3u8,网络源,,,未分组,失败(404),404
å››å·å«è§†,http://111.14.181.15:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(404),404
æµ·å—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_x/SD/lvyou/711/index.m3u8?msisdn=2025110700003581fd58787fcc433fab6f8508a5c39ad5&mdspid=&spid=600633&netType=0&sid=5910022165&pid=2028597139&timestamp=20251107000035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472502&ParentNodeID=-99&assertID=5910022165&client_ip=106.13.250.90&SecurityKey=20251107000035&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d5beb9fd2c1fd64f251365dbe2873977&ddCalcu=7d75e9b03e77b0892fedb2dc516f3d16542f,网络源,,,未分组,失败(660),660
åŒ—äº¬å«è§†,http://111.14.181.15:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(404),404
å‰æ—å«è§†,http://111.14.181.15:9901/tsfile/live/0116_1.m3u8,网络源,,,未分组,失败(404),404
å‰æ—å«è§†,http://111.14.181.15:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(404),404
ä¸œæ–¹å«è§†,http://111.14.181.15:9901/tsfile/live/1020_1.m3u8,网络源,,,未分组,失败(404),404
ä¸œå—å«è§†,http://lt.hxtre.com:35455/itv/1000000002000009263.m3u8?cdn=ystenlive,网络源,,,未分组,失败(None),
ä¸œæ–¹å«è§†,http://lt.hxtre.com:35455/itv/1000000005000265018.m3u8?cdn=ystenlive,网络源,,,未分组,失败(None),
å‰æ—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=20251107000035bbbe3edaa1264a9e9c0e06d715a2c25e&mdspid=&spid=600633&netType=0&sid=5910022164&pid=2028597139&timestamp=20251107000035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472500&ParentNodeID=-99&assertID=5910022164&client_ip=106.13.250.90&SecurityKey=20251107000035&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ba18564fed47cf778b50b25dd1bc78e3&ddCalcu=3beae810787c50b614dfde5d24b70c5fb787,网络源,,,未分组,失败(660),660
ä¸œå—å«è§†,http://111.14.181.15:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(404),404
æµ·å—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_x/SD/lvyou/711/index.m3u8?msisdn=202511100800568669eb5a0fa24be5abb568fda158dd93&mdspid=&spid=600633&netType=0&sid=5910022165&pid=2028597139&timestamp=20251110080056&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472502&ParentNodeID=-99&assertID=5910022165&client_ip=106.13.250.83&SecurityKey=20251110080056&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ec32240b26ded0ce67d8ec59b4a74c77&ddCalcu=7e7cec31427720a440bb9256cdee8dd07c6e,网络源,,,未分组,失败(660),660
æ±Ÿè‹å«è§†,http://111.14.181.15:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,,未分组,失败(404),404
æµ·å—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_x/SD/lvyou/711/index.m3u8?msisdn=20251111040030a84078019a8a460ca0fb590500e401f9&mdspid=&spid=600633&netType=0&sid=5910022165&pid=2028597139&timestamp=20251111040030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472502&ParentNodeID=-99&assertID=5910022165&client_ip=106.13.250.83&SecurityKey=20251111040030&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0855d0dfdec56fb37cb8cb2c4d71c23c&ddCalcu=c038e251c571d070dd4fcd2ebcc586bfcb73,网络源,,,未分组,失败(660),660
å¤©æ´¥å«è§†,http://113.106.171.234:8899/rtp/239.20.0.89:3044,网络源,,,未分组,失败(None),
æµ·å—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_x/SD/lvyou/711/index.m3u8?msisdn=20251110160037f3051b46a63a42c0a8fad07796e9083b&mdspid=&spid=600633&netType=0&sid=5910022165&pid=2028597139&timestamp=20251110160037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472502&ParentNodeID=-99&assertID=5910022165&client_ip=106.13.250.89&SecurityKey=20251110160037&promotionId=&mvid=5900004359&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=94e750f179a2d8a8585dbbdca4818d8c&ddCalcu=c984ede1877150804fa1c7d9bab2dd588a58,网络源,,,未分组,失败(660),660
åŒ—äº¬å«è§†,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw1929426305_708351096/ott.mobaibox.com/PLTV/3/224/3221228410/index.m3u8?icpid=3&RTS=1674386339&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3,网络源,,,未分组,失败(None),
ä¸œæ–¹å«è§†,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=202511070000342a59cae922994a2a8a3560882ea27277&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20251107000034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=106.13.250.90&SecurityKey=20251107000034&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=16cf5359a583adce9b9c6cef4246dd73&ddCalcu=3176edc0df1650432549fae5c863ca9dbc9e,网络源,,,未分组,失败(660),660
å‰æ—å«è§†,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/jilin/1000/index.m3u8?msisdn=20251110080055e1051284efdb47a0b23201da6c6e1d03&mdspid=&spid=600633&netType=0&sid=5910022164&pid=2028597139&timestamp=20251110080055&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=947472500&ParentNodeID=-99&assertID=5910022164&client_ip=106.13.250.83&SecurityKey=20251110080055&promotionId=&mvid=5900004357&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=5f3c3158d6deac6767ab82b8d9b8cc12&ddCalcu=251fec31cc7830b195d88db62d8ebaac7667,网络源,,,未分组,失败(660),660
