频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
è†é—¨æ–°é—»ç»¼åˆ,https://t.freetv.fun/live/jing-men-xin-wen-zong-he.m3u8,网络源,,2.644,未分组,h264,1920x1080,25.0,有音频,0.5521,False,False,0.4688,0.0
å¹¿ä¸œæ–°é—»,https://t.freetv.fun/live/yan-dong-xin-wen-6.m3u8,网络源,,2.911,未分组,h264,1920x1080,25.0,有音频,0.5312,False,False,0.4844,0.0
è§£è¯´_é˜¿é’™æ‰’ç,http://live.nctv.top/huya.php?id=15978172,网络源,,3.228,未分组,,,,无音频,0.5573,False,False,0.4375,0.0
è§£è¯´_é¹¿å“¥ç”µå½±,http://live.nctv.top/huya.php?id=24396360,网络源,,3.311,未分组,h264,1920x1080,60.0,有音频,0.526,False,False,0.0,0.0
è§£è¯´_é»˜çˆ·ä¾ƒç”µå½±,http://live.nctv.top/huya.php?id=17204307,网络源,,3.747,未分组,h264,1920x1080,60.0,有音频,0.0,False,False,0.0,0.0
å“ˆå“ˆç‚«åŠ¨,https://t.freetv.fun/live/ha-ha-xuan-dong.m3u8,网络源,,0.601,未分组,h264,1280x720,25.0,有音频,0.5521,False,False,0.513,0.0339
æ¹–å—ç”µè§†å‰§,http://8.138.7.223/tv/mgtv.php?id=484,网络源,,1.811,未分组,h264,640x360,25.0,有音频,0.5469,False,False,0.4844,0.0417
çºªæ™“å²š,https://live.metshop.top/yy/1382781415,网络源,,4.659,未分组,h264,800x600,24.0,有音频,0.599,False,False,0.5521,0.0729
çŒç¯®é«˜æ‰‹,http://www.douzhicloud.site:35455/yy/1382735626,网络源,,2.121,未分组,h264,960x720,23.976023976023978,有音频,0.5677,False,False,0.487,0.0495
å¹¿ä¸œæ–°é—»,https://t.freetv.fun/live/yan-dong-xin-wen-1.m3u8,网络源,,0.731,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.4661,0.0234
å¹¿ä¸œä½“è‚²,https://t.freetv.fun/live/yan-dong-ti-yu-12.m3u8,网络源,,4.455,未分组,h264,1920x1080,25.0,有音频,0.0,False,False,0.0,0.0
çˆ¶æ¯çˆ±æƒ…,http://dxa.yiandrive.com:39319/huya/30692708,网络源,,5.326,未分组,h264,1920x1080,30.0,有音频,1.0,False,False,0,0
å˜‰ä½³å¡é€š,https://hk.188766.xyz/?migutoken=6a4ce44c1449c622feac59aa30d2ecaa&id=gd_jjkt&type=sz,网络源,,0.737,未分组,h264,1920x1080,28.0,有音频,1.0,False,False,0,0
è§£è¯´_æ‰è±†çœ‹ç”µå½±,http://dxa.yiandrive.com:39319/huya/16028551,网络源,,3.407,未分组,h264,1920x1080,24.0,有音频,1.0,False,False,0,0
ç”µå½±_å¤å¢“ç³»åˆ—,http://live.nctv.top/huya.php?id=11352913,网络源,,1.272,未分组,h264,1920x1078,30.0,有音频,0.0,False,False,0.0,0.0
ä½ æ˜¯æˆ‘çš„è£è€€,http://live.nctv.top/huya.php?id=11352920,网络源,,1.285,未分组,h264,1920x1080,60.0,有音频,0.0,False,False,0.0,0.0
é‡‘é¹°å¡é€š,https://t.freetv.fun/live/jin-ying-qia-tong-1.m3u8,网络源,,2.011,未分组,h264,640x360,25.0,有音频,0.0,False,False,0.0,0.0
ä¸œæ£®ç¾æ´²å«è§†,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8,网络源,,0.175,未分组,h264,1920x1080,29.97002997002997,有音频,0.5365,False,False,0.6198,0.026
çŸ¥å¦çŸ¥å¦,http://www.douzhicloud.site:35455/yy/21881901,网络源,,2.105,未分组,h264,1280x720,24.0,有音频,0.5365,False,False,0.5026,0.0234
ä¸‰å›½æ¼”ä¹‰,http://www.douzhicloud.site:35455/huya/11602081,网络源,,1.129,未分组,h264,1280x720,25.0,有音频,0.5312,False,False,0.5312,0.0
å¹¿ä¸œä½“è‚²,https://stream1.freetv.fun/yan-dong-ti-yu-19.m3u8,网络源,,8.264,未分组,h264,1920x1080,25.0,有音频,0.5417,False,False,0.5052,0.0156
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8,网络源,,0.258,未分组,h264,1280x720,29.97002997002997,有音频,0.5417,False,False,0.5208,0.0417
å¹¿ä¸œä½“è‚²,https://t.freetv.fun/live/yan-dong-ti-yu-19.m3u8,网络源,,2.348,未分组,h264,1920x1080,25.0,有音频,0.5885,False,False,0.0,0.0
