频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
è´µå·å«è§†,http://23.237.228.134/live6/hainan.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/è´µå·å«è§†.png,1.004,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.4479,0.0365
CCTV-17,http://23.237.228.134/live3/CCTV17.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV17.png,1.009,未分组,h264,1920x1080,25.0,有音频,0.5156,False,False,0.5156,0.0104
CCTV-14,http://23.237.228.134/live3/CCTV14.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV14.png,1.028,未分组,h264,1920x1080,25.0,有音频,0.4948,False,False,0.5,0.0208
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV3.png,1.058,未分组,h264,1920x1080,25.0,有音频,0.5312,False,False,0.513,0.0286
å¹¿è¥¿å«è§†,http://23.237.228.134/live6/guangxi.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¹¿è¥¿å«è§†.png,1.079,未分组,h264,1920x1080,25.0,有音频,0.5677,False,False,0.5104,0.0
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV2.png,1.218,未分组,h264,1920x1080,25.0,有音频,0.4948,False,False,0.4922,0.0599
CCTV-6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV6.png,0.484,未分组,h264,1280x720,25.0,有音频,0.5938,False,False,0.4896,0.026
æµ™æ±Ÿå«è§†,http://23.237.228.134/live6/zhejiang.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æµ™æ±Ÿå«è§†.png,0.757,未分组,h264,1920x1080,25.0,有音频,0.5104,False,False,0.5807,0.0182
æ²³å—å«è§†,http://111.221.137.155:44330/tsfile/live/0123_1.m3u8?key=txiptv,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ²³å—å«è§†.png,2.273,未分组,h264,1920x1080,50.0,有音频,0.5156,False,False,0.5156,0.026
æ²³å—å«è§†,http://1.94.31.214/php/hntv.php?id=hnws,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ²³å—å«è§†.png,0.863,未分组,h264,1920x1080,25.0,有音频,0.5312,False,False,0.4479,0.0417
橙記Orange丶4549169,https://live.ottiptv.cc/douyu/4549169,网络源,,2.711,未分组,h264,1280x720,30.0,有音频,0.5156,False,False,0.4219,0.0
CCTV-14,http://153.0.171.163:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV14.png,2.851,未分组,h264,720x576,25.0,有音频,0.5,False,False,0.5,0.0
æµ·å—å«è§†,http://39.152.103.17:8089/tsfile/live/1046_1.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æµ·å—å«è§†.png,3.077,未分组,h264,1920x1080,25.0,有音频,0.5312,False,False,0.5417,0.0052
å¤®è§†å°çƒ,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¤®è§†å°çƒ.png,0.491,未分组,h264,1920x1080,25.0,有音频,0.5417,False,False,0.5781,0.0
æ¹–å—å«è§†,http://23.237.228.134/live6/hunan.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ¹–å—å«è§†.png,0.616,未分组,h264,1920x1080,25.0,有音频,0.474,False,False,0.4661,0.0234
é’æµ·å«è§†,https://migu.188766.xyz/?migutoken=c18ea41b280bbdf6cb1d21886eb44167&id=%E9%9D%92%E6%B5%B7%E5%8D%AB%E8%A7%86&type=yy,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/é’æµ·å«è§†.png,0.627,未分组,h264,1920x1080,28.0,有音频,0.5,False,False,0.0,0.0
伊太刀刀747764,https://live.ottiptv.cc/douyu/747764,网络源,,2.822,未分组,h264,960x540,25.0,有音频,0.5052,False,False,0.0,0.0
CCTV-16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV16.png,0.472,未分组,h264,1280x720,25.0,有音频,0.5625,False,False,0.4323,0.0156
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV3.png,6.508,未分组,h264,1920x1080,50.0,有音频,0.5156,False,False,0.0,0.0
è¥¿è—å«è§†,http://php.jdshipin.com/xztv.php?id=ws,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/è¥¿è—å«è§†.png,8.346,未分组,h264,1920x1080,25.0,有音频,0.5365,False,False,0.5052,0.1042
CCTV-5,http://23.237.228.134/live5/CCTV5.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV5.png,0.621,未分组,h264,1920x1080,25.0,有音频,0.5417,False,False,0.5339,0.0391
æ²³å—å«è§†,http://183.222.242.31:8088/hls/35/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ²³å—å«è§†.png,2.438,未分组,h264,1920x1080,25.0,有音频,0.5417,False,False,0.5156,0.0208
æ±Ÿè‹å«è§†,http://60.16.0.216:5757/hls/24/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ±Ÿè‹å«è§†.png,10.065,未分组,h264,1920x1080,50.0,有音频,0.526,False,False,0.4375,0.0
å¹¿è¥¿å«è§†,http://23.237.228.134/live6/guizhou.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¹¿è¥¿å«è§†.png,0.625,未分组,h264,1920x1080,25.0,有音频,0.526,False,False,0.4557,0.0339
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV5.png,0.462,未分组,h264,1280x720,25.0,有音频,0.5312,False,False,0.4635,0.0885
CCTV-15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV15.png,0.499,未分组,h264,1280x720,25.0,有音频,0.526,False,False,0.4583,0.0208
äº‘å—å«è§†,http://112.27.235.94:8000/hls/40/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/äº‘å—å«è§†.png,3.426,未分组,h264,1920x1080,50.0,有音频,0.4948,False,False,0.5625,0.0
å…µå™¨ç§‘æŠ€,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å…µå™¨ç§‘æŠ€.png,0.492,未分组,h264,1920x1080,25.0,有音频,0.5833,False,False,0.5391,0.0026
CCTV-1,http://hczn.x3322.net:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV1.png,4.997,未分组,h264,1920x1080,50.0,有音频,0.5469,False,False,0.5208,0.026
苹果Zei甜1174353,https://live.ottiptv.cc/douyu/1174353,网络源,,2.257,未分组,,,,无音频,0.5625,False,False,0.0,0.0
苹果Zei妖2793084,https://live.ottiptv.cc/douyu/2793084,网络源,,2.145,未分组,,,,无音频,0.6094,False,False,0.6927,0.0417
æ¹–åŒ—å«è§†,http://23.237.228.134/live6/hubei.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ¹–åŒ—å«è§†.png,0.629,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.526,0.0052
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV11.png,11.927,未分组,h264,1920x1080,50.0,有音频,0.5573,False,False,0.5417,0.0521
CCTV-4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV4.png,11.913,未分组,h264,720x576,25.0,有音频,0.526,False,False,0.5182,0.0182
ä¸‰æ²™å«è§†,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¸‰æ²™å«è§†.png,0.491,未分组,h264,1920x1080,25.0,有音频,0.5677,False,False,0.4948,0.0573
CCTV-5,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV5.png,14.516,未分组,h264,1920x1080,50.0,有音频,0.6146,False,False,0.5365,0.0156
å®å¤å«è§†,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å®å¤å«è§†.png,0.462,未分组,h264,720x576,25.0,有音频,0.5781,False,False,0.4609,0.1224
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV5.png,10.381,未分组,h264,1920x1080,50.0,有音频,0.5469,False,False,0.487,0.013
ä¸–ç•Œåœ°ç†,http://hmfs.f3322.net:3388/hls/28/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¸–ç•Œåœ°ç†.png,4.882,未分组,h264,1920x1080,50.0,有音频,0.4688,False,False,0.0,0.0
竹叶的熊猫3870925,https://live.ottiptv.cc/douyu/3870925,网络源,,2.735,未分组,h264,960x540,25.0,有音频,0.0,False,False,0.0,0.0
æ–°ç–†å«è§†,http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ–°ç–†å«è§†.png,0.444,未分组,h264,720x576,25.0,有音频,0.625,False,False,0.6302,0.0365
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV17.png,0.894,未分组,h264,888x500,25.0,无音频,0.526,False,False,0.5443,0.0391
小毅主播e11851549,https://live.ottiptv.cc/douyu/11851549,网络源,,2.854,未分组,h264,960x540,25.0,有音频,0.474,False,False,0.5938,0.0
é£äº‘è¶³çƒ,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/é£äº‘è¶³çƒ.png,4.189,未分组,h264,1920x1080,25.0,有音频,0.5781,False,False,0.5599,0.0234
