频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
DC.gov Council Hearing Room 120 (Washington DC) (1080p),https://video.oct.dc.gov/out/u/97_12.m3u8,网络源,https://i.imgur.com/8fljC7g.png,0.897,未分组,h264,1920x1080,29.97002997002997,有音频,0.5625,False,False,0.8359,0.0234
Cypress Public Access Channel 36 (Cypress CA) (360p),https://livestream-us-east-edge-2.granicusops.com/live/cypressca/live-1-a/playlist.m3u8,网络源,https://i.imgur.com/vOvoHBC.png,0.994,未分组,h264,1280x720,30.0,有音频,0.4427,False,False,0.5547,0.013
Dark Matter TV (720p),https://tricoast-tv-dark-matter-01-us.ono.wurl.tv/playlist.m3u8,网络源,https://i.imgur.com/9K8T3ND.png,1.120,未分组,h264,1280x720,29.97002997002997,有音频,0.5,False,False,0.5938,0.0573
Four in a Bed (720p),https://all3media-four-in-a-bed-1-nz.samsung.wurl.tv/playlist.m3u8,网络源,,1.223,未分组,h264,1280x720,29.97002997002997,有音频,0.5833,False,False,0.4297,0.0026
Comedy Central South Park,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/60c716084d842c00085f6e64/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=84acf2d0-4b92-11ef-aece-533610f1ea34&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=97acadcb-fbad-44de-8539-290d36c83227,网络源,https://i.imgur.com/7GKO6Fp.png,1.372,未分组,h264,426x240,30.0,有音频,0.5521,False,False,0.4089,0.0182
Cotubanama TV (1080p),https://host.streamingnation.live/p/3588/hybrid/play.m3u8,网络源,https://i.imgur.com/D6gAezp.png,1.371,未分组,h264,1920x1080,29.97002997002997,有音频,0.5365,False,False,0.5182,0.0599
DSTV (614p) [Not 24/7],http://46.249.95.140:8081/hls/data.m3u8,网络源,https://i.imgur.com/YMgzzkf.png,1.483,未分组,h264,1920x1080,25.0,有音频,0.5677,False,False,0.5182,0.0182
Crímenes Imperfectos,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5e94cd036cc69d0007e8a1ba/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c282e26-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=5d8759e1-73d6-4b32-b216-07bf992c281a,网络源,https://i.imgur.com/kzUrWR5.png,1.514,未分组,h264,426x240,30.0,有音频,0.5104,False,False,0.6068,0.0078
Diagnosis Murder,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65fd548f29adfd00089c662c/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7a0681-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=aed07097-3592-47e8-bac5-f9f578b23c54,网络源,,1.535,未分组,h264,426x240,30.0,有音频,0.5417,False,False,0.5443,0.013
FailArmy,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62bdb5500c21270007218ce1/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7a2d92-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=ecaff509-d568-42e3-8ce7-0595119efeac,网络源,https://i.imgur.com/VIpQJxL.png,1.555,未分组,h264,426x240,30.0,有音频,0.5833,False,False,0.4141,0.0026
