频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[HD]actv,https://stream1.freetv.fun/actv-1.m3u8,网络源,https://epg.pw/media/img/logo/1_86.jpg,1.434,未分组,h264,1280x720,29.97002997002997,有音频,0.75
[HD]al horreya tv,https://stream1.freetv.fun/al-horreya-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/04/21/20170421053628262694_69.jpg,1.881,未分组,h264,1280x720,30.0,有音频,0.625
[HD]axn,https://stream1.freetv.fun/axn-6.ctv,网络源,https://epg.pw/media/img/logo/AXN_HD.jpg,1.964,未分组,h264,1280x720,29.97002997002997,有音频,0.6406
[HD]beverly hills television 10 (720p),https://stream1.freetv.fun/beverly-hills-television-10-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,2.093,未分组,h264,1280x720,25.0,有音频,0.5938
[HD]cbs news 24/7,https://stream1.freetv.fun/cbs-news-24-7-4.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,2.271,未分组,h264,1280x720,29.97002997002997,有音频,0.5
[HD]bbc,https://stream1.freetv.fun/bbc-4.m3u8,网络源,https://epg.pw/media/images/channel/2024/03/13/large/20240313161716574036_61.png,2.464,未分组,h264,1280x720,50.0,有音频,0.5156
[SD]cartoonito *m[geo-blocked],https://stream1.freetv.fun/cartoonito--m-3.ctv,网络源,https://epg.pw/media/images/channel/2022/01/19/large/20220119215706220661_57.png,2.600,未分组,h264,960x540,25.0,有音频,0.375
[HD]ici television,https://stream1.freetv.fun/ici-television-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,1.143,未分组,h264,640x360,29.97002997002997,有音频,0.2969
[HD]csi en español,https://stream1.freetv.fun/csi-en-espanol-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174411879285_41.png,3.271,未分组,h264,426x240,30.0,有音频,0.5781
[SD]miami,https://stream1.freetv.fun/miami-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/06/09/large/20230609161040674869_63.jpg,3.323,未分组,h264,426x240,30.0,有音频,0.5625
[HD]canale 7,https://stream1.freetv.fun/canale-7-6.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174259130222_15.png,2.103,未分组,h264,1280x720,25.0,有音频,0.6094
[BD]cnn int[geo-blocked],https://stream1.freetv.fun/cnn-int-4.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/13/large/20190113215800701920_63.jpg,3.566,未分组,h264,640x360,25.0,有音频,0.375
[SD]csi,https://stream1.freetv.fun/csi-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/02/large/20211102205540041026_31.png,3.596,未分组,h264,426x240,30.0,有音频,0.625
[BD]haunt tv,https://stream1.freetv.fun/haunt-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/16/20170216061058520639_81.png,3.616,未分组,h264,1920x1080,29.97002997002997,有音频,0.3438
[BD]bfm business,https://stream1.freetv.fun/bfm-business-4.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/07/22/20150722023356555432_88.jpg,1.720,未分组,h264,1920x1080,25.0,有音频,0.4688
[SD]cgtn (1080p),https://stream1.freetv.fun/cgtn-36.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,3.914,未分组,h264,1920x1080,30.0,有音频,0.4375
[HD]mlb network,https://stream1.freetv.fun/mlb-network-6.m3u8,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,3.969,未分组,h264,1280x720,59.94005994005994,有音频,0.5938
[BD]bibel tv impuls,https://stream1.freetv.fun/bibel-tv-impuls-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173736374467_66.png,4.085,未分组,h264,1920x1080,25.0,有音频,0.375
[BD]accuweather now,https://stream1.freetv.fun/accuweather-now-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/11/06/large/20231106225416662165_46.png,4.181,未分组,h264,1920x1080,29.97002997002997,有音频,0.75
[SD]bfm tv,https://stream1.freetv.fun/bfm-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821105035822912_56.jpg,2.200,未分组,h264,480x270,25.0,有音频,0.5938
[BD]ช่อง california music channel,https://stream1.freetv.fun/ch-ng-california-music-channel-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106151417112281_33.png,2.192,未分组,h264,1920x1080,29.97002997002997,有音频,0.6094
[SD]cbs network ==,https://stream1.freetv.fun/cbs-network-1.ctv,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,1.003,未分组,h264,960x540,29.97002997002997,有音频,0.5
[HD]canal 8,https://stream1.freetv.fun/canal-8-5.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174853139444_50.png,2.421,未分组,h264,1280x720,59.94005994005994,有音频,0.4688
[SD]al istiqama,https://stream1.freetv.fun/al-istiqama-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2018/05/10/20180510220312186710_39.png,5.042,未分组,h264,640x360,25.0,有音频,0.6094
[BD]cctv2,https://stream1.freetv.fun/cctv2-44.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,1.037,未分组,h264,1920x1080,25.0,有音频,0.6094
[HD]arirang,https://stream1.freetv.fun/arirang-23.ctv,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,5.387,未分组,h264,1280x720,29.97002997002997,有音频,0.375
[HD]abc news live 7,https://stream1.freetv.fun/abc-news-live-7-1.m3u8,网络源,https://epg.pw/media/,1.138,未分组,h264,1280x720,29.97002997002997,有音频,0.9062
[HD]bbc news *m[geo-blocked],https://stream1.freetv.fun/bbc-news--m-1.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164717897792_32.png,1.899,未分组,h264,1280x720,25.0,有音频,0.375
[BD]american ninja warrior,https://stream1.freetv.fun/american-ninja-warrior-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/12/10/20141210103012478893_82.jpg,2.316,未分组,h264,426x240,30.0,有音频,0.6094
[VGA]cnn indonesia,https://stream1.freetv.fun/cnn-indonesia-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173712756710_20.png,5.831,未分组,h264,640x360,25.0,有音频,0.4062
[VGA]al sharqiya min kabla,https://stream1.freetv.fun/al-sharqiya-min-kabla-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174746429595_47.png,6.028,未分组,h264,426x240,25.0,有音频,0.5781
[SD]animal planet *m[geo-blocked],https://stream1.freetv.fun/animal-planet--m-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128061020658752_30.png,1.815,未分组,h264,720x576,25.0,有音频,0.4062
[BD]berita rtm[geo-blocked],https://stream1.freetv.fun/berita-rtm-2.m3u8,网络源,https://epg.pw/media/images/channel/2020/01/17/large/20200117235234993475_81.PNG,6.416,未分组,h264,1920x1080,25.0,有音频,0.5938
[SD]bbc america =,https://stream1.freetv.fun/bbc-america-2.ctv,网络源,https://epg.pw/media/images/channel/2020/06/04/large/20200604225821916068_55.png,0.981,未分组,h264,960x540,29.97002997002997,有音频,0.6562
[HD]rightnow tv,https://stream1.freetv.fun/rightnow-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020526894544_12.png,1.545,未分组,h264,1280x720,29.97002997002997,有音频,0.5625
[HD]abc news live 4,https://stream1.freetv.fun/abc-news-live-4-1.m3u8,网络源,https://epg.pw/media/,1.104,未分组,h264,1280x720,29.97002997002997,有音频,0.4219
[VGA]abn tv india,https://stream1.freetv.fun/abn-tv-india-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/01/06/20160106034442314754_15.png,1.073,未分组,h264,640x360,24.0,有音频,0.5469
[SD]animal planet uhd *m[geo-blocked],https://stream1.freetv.fun/animal-planet-uhd--m-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128061020658752_30.png,1.797,未分组,h264,720x576,25.0,有音频,0.4531
[SD]nolly africa [geo-blocked],https://stream1.freetv.fun/nolly-africa-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,2.313,未分组,h264,640x360,29.97002997002997,有音频,0.5781
[BD]cctv风云足球[geo-blocked],https://stream1.freetv.fun/cctvfeng-yun-zu-qiu-10.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/10/large/20220510165533742367_97.jpg,7.900,未分组,h264,1920x1080,50.0,有音频,0.8281
[HD]action 24,https://stream1.freetv.fun/action-24-2.m3u8,网络源,https://epg.pw/media/,3.484,未分组,h264,854x480,25.0,有音频,0.3906
[BD]cbs *wj,https://stream1.freetv.fun/cbs--wj-1.m3u8,网络源,https://epg.pw/media/img/logo/1_82.jpg,3.253,未分组,h264,1280x720,29.97002997002997,有音频,0.3594
[SD]biz tv (1080p),https://stream1.freetv.fun/biz-tv-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/12/14/20151214024323374879_30.png,1.800,未分组,h264,1920x1080,29.97002997002997,有音频,0.2812
[BD]nuestro canal,https://stream1.freetv.fun/nuestro-canal-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174853139444_50.png,3.439,未分组,h264,1920x1080,30.0,有音频,0.4688
[BD]band sports,https://stream1.freetv.fun/band-sports-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/11/05/large/20231105222730944950_63.png,1.792,未分组,h264,1920x1080,30.0,有音频,0.0
[HD]ช่อง boomerang thai,https://stream1.freetv.fun/ch-ng-boomerang-thai-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/03/20/large/20200320170406546948_74.png,6.525,未分组,h264,1280x720,50.0,有音频,0.5938
[BD]cgtn français,https://stream1.freetv.fun/cgtn-francais-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/20/large/20220520002319040251_53.jpg,1.566,未分组,h264,1920x1080,25.0,有音频,0.3281
