频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
ТВК 24 (576p),https://air.tvk6.ru/tvk24/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/e/e7/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B5%D0%BB%D0%B5%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D0%B0_%D0%A2%D0%92%D0%9A_%282015%29.png,13.965,未分组,h264,1024x576,25.0,有音频,0.5208,False,False,0.5104,0.0
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8,网络源,,3.139,未分组,h264,1920x1080,25.0,有音频,0.5104,False,False,0.5833,0.0
ТВ Центр,https://tvc-hls.cdnvideo.ru/tvc-res/smil:vd9221.smil/playlist.m3u8,网络源,https://i.postimg.cc/KcgtT9C7/tvcentr.png,5.140,未分组,h264,640x360,25.0,有音频,0.5677,False,False,0.4896,0.0
ТВА (Чернiвцi) (576p),http://hls.cdn.ua/tva.ua_live/livestream/playlist.m3u8,网络源,https://i.imgur.com/PtTQ5lv.png,2.704,未分组,h264,1280x720,25.0,有音频,0.4896,False,False,0.6198,0.0
云南 Ⅰ 文山综合台 (1080p) [Not 24/7],http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv,网络源,,3.316,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.5521,0.0
Радио Шансон (720p) [Not 24/7],http://chanson-video.hostingradio.ru:8080/hls/chansonabr/live.m3u8,网络源,https://i.postimg.cc/5t1gR934/radioshanson.png,10.627,未分组,h264,1280x720,25.0,有音频,0.4792,False,False,0.6094,0.0
Перец International,https://cdn4.skygo.mn/live/disk1/Che/HLSv3-FTA/Che.m3u8,网络源,https://i.imgur.com/On6ggLe.png,11.224,未分组,h264,640x480,25.0,有音频,0.5365,False,False,0.5208,0.0
CCTV2,http://m.061899.xyz/mg/cctv2,网络源,,2.049,未分组,h264,1920x1080,25.0,有音频,0.5156,False,False,0.5312,0.0
四平新闻综合 [Geo-blocked],https://stream2.jlntv.cn/sptv/sd/live.m3u8,网络源,,3.505,未分组,h264,1280x720,25.0,有音频,0.3958,False,False,0.6042,0.0
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8,网络源,,3.343,未分组,h264,1920x1080,25.0,有音频,0.5729,False,False,0.5365,0.0
萧山新闻综合 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8,网络源,,3.230,未分组,h264,1280x720,25.0,有音频,0.5573,False,False,0.599,0.0
Орбіта ТВ (360p) [Not 24/7],http://ftp.orbita.dn.ua/hls/orbita.m3u8,网络源,https://i.ibb.co/Bj4T9wB/logo-Orbita-fin14.png,3.408,未分组,h264,854x480,25.0,有音频,0.5,False,False,0.4896,0.0
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8,网络源,,3.051,未分组,h264,1920x1080,25.0,有音频,0.526,False,False,0.5833,0.0
松原新闻综合 [Geo-blocked],https://stream2.jlntv.cn/sytv/sd/live.m3u8,网络源,,3.146,未分组,h264,720x576,25.0,有音频,0.5208,False,False,0.5573,0.0
Союз (576p),https://hls-tvsoyuz.cdnvideo.ru/tvsoyuz/soyuz/playlist.m3u8,网络源,https://i.imgur.com/w3OewHc.png,2.505,未分组,h264,1920x1080,25.0,有音频,0.5521,False,False,0.5312,0.0
Сочи 24 HD,http://serv30.vintera.tv:8081/sochi/sochi24_tv/playlist.m3u8,网络源,https://i.imgur.com/iwWxkl6.png,3.216,未分组,h264,1280x720,50.0,有音频,0.5,False,False,0.5729,0.0
Сибирь 24 (Красноярск),https://vgtrkregion-reg.cdnvideo.ru/vgtrk/krasnoyarsk/sibir24-hd/index.m3u8,网络源,https://i.imgur.com/jgwQPl0.png,7.467,未分组,h264,,,有音频,0.4896,False,False,0.5417,0.0
通化新闻 [Geo-blocked],https://stream2.jlntv.cn/tonghua1/sd/live.m3u8,网络源,,3.947,未分组,h264,1280x720,25.0,有音频,0.5156,False,False,0.4896,0.0
CHANNEL[V],http://39.107.120.164:8080/live/diyp_channelv.flv,网络源,,2.886,未分组,h264,720x576,50.0,有音频,0.0,False,False,0.0,0.0
星空卫视,http://39.107.120.164:8080/live/diyp_xingkong.flv,网络源,,4.970,未分组,h264,720x576,50.0,有音频,0.5469,False,False,0.5625,0.0
Телеканал Репортер Одесса (720p),http://cdn1.live-tv.od.ua:8081/31chod/31chod-abr/31chod/31chod/playlist.m3u8,网络源,https://i.imgur.com/LyA3kBR.png,2.669,未分组,h264,1280x720,25.0,有音频,0.5208,False,False,0.4219,0.0
凤凰卫视电影台,http://39.107.120.164:8080/live/diyp_fhdy.flv,网络源,,1.374,未分组,h264,720x576,25.0,有音频,0.599,False,False,0.6302,0.0
Север (Нарьян-Мар) (1080p),https://live2.mediacdn.ru/sr1/sever/playlist.m3u8,网络源,https://i.imgur.com/sTOQLYl.png,10.435,未分组,h264,640x360,25.0,有音频,0.4948,False,False,0.5521,0.0
Открытый мир. Здоровье,https://v4.proofix.ru/0mir/index.m3u8,网络源,https://i.imgur.com/7orZOJA.png,6.896,未分组,h264,1024x576,25.0,有音频,0.5,False,False,0.4688,0.0
Россия 1,https://vgtrkregion-reg.cdnvideo.ru/vgtrk/0/russia1-hd/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/11-%D0%B9_%D0%BB%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F-1.svg/512px-11-%D0%B9_%D0%BB%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F-1.svg.png,5.548,未分组,h264,1024x576,25.0,有音频,0.4844,False,False,0.5833,0.0
РЕН ТВ International,https://cdn4.skygo.mn/live/disk1/RenTV/HLSv3-FTA/RenTV.m3u8,网络源,https://i.imgur.com/gBjk9oF.png,10.010,未分组,h264,1280x720,25.0,有音频,0.5052,False,False,0.4948,0.0
吉林市新闻综合 [Geo-blocked],https://stream2.jlntv.cn/jilin1/sd/live.m3u8,网络源,,3.060,未分组,h264,720x576,25.0,有音频,0.526,False,False,0.6979,0.0
兴隆综合,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8,网络源,,4.431,未分组,h264,1920x1080,30.0,有音频,0.5469,False,False,0.6302,0.0
Телерадиокомпания 555 (Алушта) (720p),http://trk555.tv:8888/live,网络源,https://i.imgur.com/JQZkxeA.png,6.440,未分组,h264,1280x720,50.0,有音频,0.526,False,False,0.4219,0.0
罗山电视台 (1080p) [Not 24/7],http://live.dxhmt.cn:9081/tv/11521-1.m3u8,网络源,,3.134,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5,0.0
宿州科教 (1080p) [Not 24/7],http://live.ahsz.tv/video/s10001-kxjy/index.m3u8,网络源,,4.085,未分组,h264,1920x1080,25.0,有音频,0.0,False,False,0.0,0.0
中視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv040,网络源,,14.946,未分组,h264,1920x1080,30.0,有音频,0.0,False,False,0.0,0.0
Тернопіль 1 (720p),https://ott.columbus.te.ua/ternopil1/index.m3u8,网络源,https://i.imgur.com/f5EtIzV.png,4.166,未分组,h264,1280x720,50.0,有音频,0.5677,False,False,0.4219,0.0
Сибирь 24 (Новосибирск),https://vgtrkregion-reg.cdnvideo.ru/vgtrk/novosibirsk/sibir24-hd/index.m3u8,网络源,https://i.imgur.com/jgwQPl0.png,10.605,未分组,h264,,,有音频,0.5573,False,False,0.651,0.0
宿州新闻综合 (1080p) [Not 24/7],http://live.ahsz.tv/video/s10001-szzh/index.m3u8,网络源,,12.967,未分组,h264,1920x1080,25.0,有音频,0.4948,False,False,0.5469,0.0
靖江新闻綜合 (480p) [Not 24/7],http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8,网络源,,3.191,未分组,h264,1280x720,25.0,有音频,0.5365,False,False,0.4167,0.0
Россия К,https://vgtrkregion-reg.cdnvideo.ru/vgtrk/0/kultura-hd/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Russia-Cultura.svg/512px-Russia-Cultura.svg.png,6.681,未分组,h264,1920x1080,25.0,有音频,0.4427,False,False,0.0,0.0
上虞1新闻综合 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8,网络源,,3.559,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.4271,0.0
Соён Гэгээрүүлэгч (720p),https://cdn4.skygo.mn/live/disk1/SoyonGegeeruulegch/HLSv3-FTA/SoyonGegeeruulegch.m3u8,网络源,https://i.imgur.com/iBZVvtW.png,5.583,未分组,h264,854x480,25.0,有音频,0.4844,False,False,0.6406,0.0
粤语电影3,http://epg.112114.xyz/douyu/1226741,网络源,,3.700,未分组,h264,1280x720,30.0,有音频,0.5677,False,False,0.474,0.0
Сити Эдем КиноДок [Not 24/7],https://cityeden.catcast.tv/content/38354/index.m3u8,网络源,https://i.imgur.com/itRbMX3.png,19.479,未分组,h264,1280x720,25.0,有音频,0.4479,False,False,0.0,0.0
ТКР (Рязань) (1080p) [Not 24/7],http://live.tkr.cdnvideo.ru/tkr/tkr.sdp/playlist.m3u8,网络源,https://i.imgur.com/VqtPB7L.png,2.451,未分组,h264,1920x1080,50.0,有音频,0.5677,False,False,0.4896,0.0
上虞3新商都 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8,网络源,,3.485,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.4427,0.0
欧美大片1,http://epg.112114.xyz/douyu/20415,网络源,,3.247,未分组,h264,1280x720,30.0,有音频,0.6042,False,False,0.5885,0.0
Страна FM (720p) [Not 24/7],http://live.stranafm.cdnvideo.ru/stranafm/stranafm_hd.sdp/playlist.m3u8,网络源,https://i.imgur.com/WsPlKJJ.png,4.662,未分组,h264,1280x720,30.0,有音频,0.5521,False,False,0.4167,0.0
ТК Алмазный край (576p),https://stream.almaz-media.tv:8080/hls/576.m3u8,网络源,https://i.imgur.com/zErXTdF.png,4.305,未分组,h264,1024x576,25.0,有音频,0.5781,False,False,0.5208,0.0
Хөгжим (720p),https://cdn4.skygo.mn/live/disk1/Khugjim/HLSv3-FTA/Khugjim.m3u8,网络源,,11.890,未分组,h264,1280x720,25.0,有音频,0.4688,False,False,0.5469,0.0
РБК (576p),https://uiptv.do.am/1ufc/701293058/playlist.m3u8,网络源,https://i.imgur.com/CwhmJby.png,12.599,未分组,h264,1024x576,50.0,有音频,0.5521,False,False,0.4219,0.0
Хузур ТВ (1080p) [Not 24/7],https://hls-mycdn08724960135.cdnvideo.ru/mycdn08724960135/stream1/playlist.m3u8,网络源,https://i.imgur.com/Abg1fct.png,2.463,未分组,h264,1920x1080,30.0,有音频,0.5781,False,False,0.4323,0.0
Сити Эдем ТелеНовелла [Not 24/7],https://cityeden.catcast.tv/content/46209/index.m3u8,网络源,https://i.imgur.com/mT5liTh.png,14.727,未分组,h264,852x480,25.0,有音频,0.5052,False,False,0.625,0.0
Соловьев LIVE,https://player.smotrim.ru/iframe/stream/live_id/985d5c7b-9727-4942-a4ba-a6e852caf0c1,网络源,https://i.imgur.com/v0OYe1d.png,4.885,未分组,h264,1024x576,25.0,有音频,0.5938,False,False,0.401,0.0
浙江 Ⅰ 绍兴影视 (720p),http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8,网络源,,2.121,未分组,h264,1280x720,25.0,有音频,0.5156,False,False,0.7135,0.0
СТС International,https://cdn4.skygo.mn/live/disk1/STS/HLSv3-FTA/STS.m3u8,网络源,https://i.imgur.com/mwiC0RG.png,9.348,未分组,h264,720x576,25.0,有音频,0.5208,False,False,0.651,0.0
РТР Планета СНГ,https://player.smotrim.ru/iframe/stream/live_id/3b73bf76-7245-4981-a865-38478e21df1f,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RTR-Planeta_Logo.svg/512px-RTR-Planeta_Logo.svg.png,3.974,未分组,h264,426x240,25.0,有音频,0.5729,False,False,0.5208,0.0
Өлзий ТВ (720p),https://cdn4.skygo.mn/live/disk1/UlziiTV/HLSv3-FTA/UlziiTV.m3u8,网络源,https://i.imgur.com/p7tsUTI.png,8.829,未分组,h264,1280x720,25.0,有音频,0.5521,False,False,0.4479,0.0
Патриот (576i),http://catchup.videoline.ru/asvtv/index.m3u8,网络源,https://patriotkanal.ru/assets/cached/2025/02/resize/264_112_q100_patriot-only-logo.png,2.613,未分组,h264,720x576,25.0,有音频,0.5417,False,False,0.5521,0.0
唯心電視 (480p),https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8,网络源,https://i.imgur.com/s8tiTeb.png,3.443,未分组,h264,854x480,29.97002997002997,有音频,0.5208,False,False,0.5052,0.0
浙江 Ⅰ 绍兴综合 (576p),http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8,网络源,,1.735,未分组,h264,720x576,25.0,有音频,0.526,False,False,0.4531,0.0
农安新闻综合 [Geo-blocked],https://stream2.jlntv.cn/naxw/sd/live.m3u8,网络源,,3.695,未分组,h264,720x576,25.0,有音频,0.5365,False,False,0.4896,0.0
欧美大片2,http://epg.112114.xyz/douyu/2793084,网络源,,3.123,未分组,h264,1280x720,25.0,有音频,0.526,False,False,0.5833,0.0
ТНТ International,https://cdn4.skygo.mn/live/disk1/THT/HLSv3-FTA/THT.m3u8,网络源,https://i.imgur.com/l0RGbRI.png,5.402,未分组,h264,850x480,25.0,有音频,0.5521,False,False,0.5312,0.0
Смотрим Честный Детектив,https://live-vgtrksmotrim.cdnvideo.ru/vgtrksmotrim/smotrim-live-01.smil/playlist.m3u8,网络源,https://cdn-st3.smotrim.ru/vh/pictures/svg/444/241/8.svg,10.126,未分组,h264,,,有音频,0.5,False,False,0.5365,0.0
CCTV7,http://m.061899.xyz/mg/cctv7,网络源,,5.085,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.6094,0.0
РТР Планета Евро,https://player.smotrim.ru/iframe/stream/live_id/1525504b-449d-432d-ab5d-1f11081f8603,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RTR-Planeta_Logo.svg/512px-RTR-Planeta_Logo.svg.png,3.401,未分组,h264,426x240,25.0,有音频,0.5,False,False,0.3906,0.0
РТР Планета Азия,https://player.smotrim.ru/iframe/stream/live_id/683d9649-a96c-4a4d-b468-91c0ee2bf363,网络源,https://i.imgur.com/DTtK0z7.png,4.315,未分组,h264,426x240,25.0,有音频,0.526,False,False,0.4948,0.0
Толк HD,http://live-tolknews.cdnvideo.ru/tolknews/stream/playlist.m3u8,网络源,https://i.imgur.com/l7JZ79P.png,1.606,未分组,h264,1280x720,50.0,有音频,0.5573,False,False,0.5156,0.0
Студия Факт,https://042auhsnh0x.a.trbcdn.net/livemaster/rmhtb_live-7td9v6w34o6.smil/playlist.m3u8,网络源,https://i.imgur.com/y73pRGZ.png,3.661,未分组,h264,1280x720,50.0,有音频,0.5208,False,False,0.5521,0.0
白城新闻综合 [Geo-blocked],https://stream2.jlntv.cn/baicheng1/sd/live.m3u8,网络源,https://www.tvchinese.net/uploads/tv/baicheng.jpg,3.464,未分组,h264,720x576,25.0,有音频,0.5312,False,False,0.5677,0.0
ТНТ4 International,https://cdn4.skygo.mn/live/disk1/TNT4/HLSv3-FTA/TNT4.m3u8,网络源,https://i.imgur.com/SjdOaya.png,8.597,未分组,h264,720x576,25.0,有音频,0.5625,False,False,0.4219,0.0
РТР Планета США,https://player.smotrim.ru/iframe/stream/live_id/cf22fa5c-e21a-433e-8317-7e8dd3150d6a,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RTR-Planeta_Logo.svg/512px-RTR-Planeta_Logo.svg.png,4.522,未分组,h264,426x240,25.0,有音频,0.5365,False,False,0.5156,0.0
Первый городской (Одесса) (1080p) [Not 24/7],http://91.194.79.46:8081/stream1/channel1/playlist.m3u8,网络源,https://i.imgur.com/8qdc6aO.png,2.630,未分组,h264,1920x1080,25.0,有音频,0.5,False,False,0.0,0.0
Суббота!,http://hls2.hd-tv.club/2_super/index.m3u8,网络源,https://i.imgur.com/nsk8PpB.png,3.247,未分组,h264,720x576,25.0,有音频,0.4323,False,False,0.5677,0.0
武进新闻 (576p) [Not 24/7],https://live.wjyanghu.com/live/CH1.m3u8,网络源,,4.119,未分组,h264,720x576,25.0,有音频,0.5677,False,False,0.4948,0.0
Просвещение (540p) [Geo-blocked],https://cdn-01.bonus-tv.ru/prosveschenie_edge/playlist.m3u8,网络源,https://i.imgur.com/uppFhhq.png,5.587,未分组,h264,720x576,25.0,有音频,0.5885,False,False,0.5052,0.0
НТК ТВ (1080p) [Not 24/7],https://stream.ntktv.ua/s/ntk/ntk.m3u8,网络源,https://www.ntktv.ua/bitrix/templates/ntk_copy/images/logo.png,4.086,未分组,h264,1920x1080,50.0,有音频,0.5156,False,False,0.4635,0.0
武进生活 (576p) [Not 24/7],https://live.wjyanghu.com/live/CH2.m3u8,网络源,,3.824,未分组,h264,720x576,25.0,有音频,0.5208,False,False,0.5521,0.0
红牛REDBULL TV (720p),https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8,网络源,,0.514,未分组,h264,1280x720,30.0,有音频,0.5,False,False,0.4688,0.0
НТМ (Народное телевидение Мордовии) (720p) [Not 24/7],https://live-ntm13.cdnvideo.ru/ntm13/smil:ntm13.smil/playlist.m3u8,网络源,https://i.imgur.com/AH50pGT.png,5.564,未分组,h264,426x240,25.0,有音频,0.5417,False,False,0.5469,0.0
Солнце,http://tv.mediacdn.ru/live/solntse/playlist.m3u8,网络源,https://i.imgur.com/HCefxaK.png,5.119,未分组,h264,480x270,25.0,有音频,0.4792,False,False,0.5052,0.0
Пятница!,https://vod.tuva.ru/friday/index.m3u8,网络源,https://i.imgur.com/UfmlXxe.png,7.372,未分组,h264,720x576,50.0,有音频,0.4948,False,False,0.4271,0.0
Смайл ТВ,https://5f05e059699ae.streamlock.net/WEB_Smilik/ngrp:Smilik.stream-adaptive/playlist.m3u8,网络源,https://static.tildacdn.com/tild3936-3138-4234-b536-326531343933/-_13x.png,9.666,未分组,h264,640x360,25.0,有音频,0.4792,False,False,0.6094,0.0
Три Ангела (720p),https://hls.tv.3angels.ru/stream.m3u8,网络源,https://i.imgur.com/4fhBbam.png,12.602,未分组,h264,1280x720,25.0,有音频,0.5208,False,False,0.6406,0.0
Шансон ТВ (576p) [Geo-blocked],https://uiptv.do.am/1ufc/602079679/playlist.m3u8,网络源,https://i.imgur.com/Fk4sd8t.png,18.247,未分组,h264,720x404,25.0,有音频,0.5365,False,False,0.0,0.0
Пятница! International,https://cdn4.skygo.mn/live/disk1/Friday/HLSv3-FTA/Friday.m3u8,网络源,https://i.imgur.com/N2z3EZC.png,14.782,未分组,h264,720x576,25.0,有音频,0.6042,False,False,0.0,0.0
