频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
[BD]东森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-1-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/18/large/20230718005514425865_72.jpg,1.629,未分组,h264,1920x1080,29.97002997002997,有音频,0.5156,False,False,0.5911,0.0078
[HD]gold star,https://t.freetv.fun/live/gold-star.m3u8,网络源,https://epg.pw/media/images/channel/2022/04/25/large/20220425163927207256_43.png,2.234,未分组,h264,1280x720,25.0,有音频,0.5365,False,False,0.5391,0.0495
è¾‰å—æ–°é—»ç»¼åˆ,http://stream5.jlntv.cn/hn/sd/live.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/è¾‰å—æ–°é—»ç»¼åˆ.png,2.312,未分组,h264,720x576,25.0,有音频,0.4948,False,False,0.4948,0.0
å¹¿ä¸œä½“è‚²,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¹¿ä¸œä½“è‚².png,0.247,未分组,h264,1280x720,25.0,有音频,0.4844,False,False,0.5469,0.0
[HD]中天新闻,https://t.freetv.fun/live/zhong-tian-xin-wen-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/03/05/large/20220305151207450324_69.png,1.840,未分组,h264,1280x720,30.0,有音频,0.599,False,False,0.7135,0.2865
éŸ³ä¹å¹¿æ’­,https://tv.iill.top/fm/552&token=0ba82b0a75c65ff5f1a8198b9de48d0532f0cf804be54dac2eacd7d0dbd56b0a,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/éŸ³ä¹å¹¿æ’­.png,0.782,未分组,h264,1920x1080,25.0,有音频,0.0,False,False,0.0,0.0
ä¼ŠçŠç»æµæ³•åˆ¶,http://110.153.180.106:55555/out_4/index.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¼ŠçŠç»æµæ³•åˆ¶.png,4.091,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.4792,0.0
ä¼ŠçŠç»æµæ³•åˆ¶,http://110.153.180.106:55555/out_4/index.m3u8?zxinjd,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/ä¼ŠçŠç»æµæ³•åˆ¶.png,4.125,未分组,h264,1920x1080,25.0,有音频,0.5104,False,False,0.4844,0.0
[BD]bbc earth,https://t.freetv.fun/live/bbc-earth.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,4.184,未分组,h264,426x240,29.97002997002997,有音频,0.5469,False,False,0.5,0.0469
ç»å…¸ç”µå½±,https://yylunbo.ottiptv.cc/yy/1414812324,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/ç»å…¸ç”µå½±.png,1.152,未分组,h264,1920x1080,30.0,有音频,0.5,False,False,0.0,0.0
[BD]东森美洲新闻台,https://t.freetv.fun/live/dong-sen-mei-zhou-xin-wen-tai.m3u8,网络源,https://epg.pw/media/images/channel/2022/03/08/large/20220308133519318409_56.jpg,0.679,未分组,h264,1920x1080,29.97002997002997,有音频,0.5208,False,False,0.4661,0.0234
[BD]discovery *s,https://t.freetv.fun/live/discovery-s.m3u8,网络源,https://epg.pw/media/images/channel/2023/08/05/large/20230805000246427864_44.png,1.916,未分组,h264,1280x720,29.97002997002997,有音频,0.526,False,False,0.5208,0.0677
é€šæµ·ç”µè§†å°,https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8,网络源,https://gh-proxy.com/https://raw.githubusercontent.com/fanmingming/live/main/tv/é€šæµ·ç”µè§†å°.png,4.459,未分组,h264,1920x1080,25.0,有音频,0.5312,False,False,0.5677,0.0
