频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
å¤©æ´¥å«è§†,https://stream1.freetv.fun/b174433fa74b990a5146d8f6ee46307b62bde3e61df3a44eb8aaa649af3cc6fd.m3u8,网络源,,1.024,未分组,h264,1920x1080,25.0,有音频,0.5677,False,False,0.4427,0.0052
åŒ—äº¬å«è§†,https://t.freetv.fun/live/bei-jing-wei-shi-10.m3u8,网络源,,0.609,未分组,h264,1920x1080,25.0,有音频,0.5365,False,False,0.599,0.0104
æµ™æ±Ÿå«è§†,http://go.bkpcp.top/mg/zjws,网络源,,2.681,未分组,hevc,3840x2160,50.0,有音频,0.7969,False,False,0.8698,0.0156
å¤©æ´¥å«è§†,https://t.freetv.fun/live/tian-jin-wei-shi-5.m3u8,网络源,,3.281,未分组,h264,1920x1080,50.0,有音频,0.0,False,False,0.0,0.0
å¤©æ´¥å«è§†,http://113.15.109.216:59901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.415,未分组,h264,1920x1080,50.0,有音频,0.5417,False,False,0.4948,0.0781
æ¹–å—å«è§†,http://go.bkpcp.top/mg/hunws,网络源,,3.779,未分组,hevc,3840x2160,25.0,有音频,0.5469,False,False,0.5156,0.0
æµ™æ±Ÿå«è§†,http://111.221.137.234:44330/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0,网络源,,3.774,未分组,h264,1280x720,25.0,有音频,0.5312,False,False,0.6849,0.0391
æµ™æ±Ÿå«è§†,https://t.freetv.fun/live/zhe-jiang-wei-shi-20.m3u8,网络源,,0.582,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5677,0.0
ä¸œæ–¹å«è§†,https://t.freetv.fun/live/dong-fang-wei-shi-8.m3u8,网络源,,5.271,未分组,h264,1280x720,25.0,有音频,0.6198,False,False,0.5365,0.0
æ·±åœ³å«è§†,http://yncbn.ks-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8,网络源,,5.310,未分组,h264,1920x1080,25.0,有音频,1.0,False,False,0.8776,0.0391
å‰æ—å«è§†,https://t.freetv.fun/live/ji-lin-wei-shi-8.php,网络源,,4.563,未分组,h264,1920x1080,25.0,有音频,0.5156,False,False,0.4531,0.0
