频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
闲暇观看综艺,https://yylunbo.ottiptv.cc/yy/1354932379,网络源,,0.896,未分组,h264,1920x1080,30.0,有音频,0.5,False,False,0.5625,0.0729
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv,网络源,,0.998,未分组,h264,960x540,25.0,有音频,0.5052,False,False,0.4714,0.0911
[BD]韓國娛樂,https://stream1.freetv.fun/han-guo-yu-le-8.m3u8,网络源,https://epg.pw/media/images/channel/2018/07/28/large/20180728224232081806_43.png,2.940,未分组,h264,1920x1080,30.0,有音频,0.5469,False,False,0.5104,0.0208
新蔡综合,http://live.dxhmt.cn:9081/tv/11729-1.m3u8,网络源,,3.231,未分组,h264,1920x1080,25.0,有音频,0.5781,False,False,0.5208,0.0365
郏县综合,http://live.dxhmt.cn:9081/tv/10425-1.m3u8,网络源,,3.288,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5964,0.0703
[BD]韓國娛樂,https://stream1.freetv.fun/han-guo-yu-le-7.m3u8,网络源,https://epg.pw/media/images/channel/2018/07/28/large/20180728224232081806_43.png,3.780,未分组,h264,1920x1080,30.0,有音频,0.5208,False,False,0.526,0.0365
[BD]肇庆综合,https://stream1.freetv.fun/zhao-qing-zong-he-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/01/large/20221101000157850612_73.jpg,3.876,未分组,h264,1920x1080,25.0,有音频,0.5156,False,False,0.5,0.0156
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8,网络源,,1.653,未分组,h264,1920x1080,29.97002997002997,有音频,0.5,False,False,0.4036,0.0859
[BD]西安商务资讯,https://stream1.freetv.fun/xi-an-shang-wu-zi-xun-1.ctv,网络源,https://epg.pw/media/images/channel/2022/06/11/large/20220611224831692755_47.jpg,4.321,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.5547,0.0495
老卓电影,https://yylunbo.ottiptv.cc/yy/1354770516,网络源,,4.271,未分组,h264,1280x720,,有音频,0.5625,False,False,0.5026,0.0391
新县综合,http://live.dxhmt.cn:9081/tv/11523-1.m3u8,网络源,,4.444,未分组,h264,1920x1080,25.0,有音频,0.526,False,False,0.5078,0.0286
[HD]老卓电影,https://stream1.freetv.fun/lao-zhuo-dian-ying-2.ctv,网络源,https://epg.pw/media/img/logo/1_366.jpg,4.507,未分组,h264,1280x720,,有音频,0.5677,False,False,0.5,0.1198
大江大河高分影视推荐,https://yylunbo.ottiptv.cc/yy/1382736806,网络源,,4.913,未分组,h264,1280x720,30.0,有音频,0.6354,False,False,0.625,0.0677
[VGA]自贡综合,https://stream1.freetv.fun/zi-gong-zong-he-1.ctv,网络源,https://epg.pw/media/uploads/tmp_logo/2017/03/15/20170315180040859436_26.jpg,3.889,未分组,h264,720x480,25.0,有音频,0.5521,False,False,0.5286,0.0286
[BD]海峡卫视,https://stream1.freetv.fun/hai-xia-wei-shi-9.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128060839855238_81.jpg,4.183,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5,0.0833
岳云鹏宋小宝也来演电影了,https://yylunbo.ottiptv.cc/yy/1354926612,网络源,,5.515,未分组,h264,1280x720,30.0,有音频,0.5521,False,False,0.5052,0.0104
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8,网络源,,5.529,未分组,h264,3840x2160,25.0,有音频,0.5573,False,False,0.5026,0.0443
热血抗日电影,https://yylunbo.ottiptv.cc/yy/1382749907,网络源,,4.261,未分组,h264,1280x720,30.0,有音频,0.5156,False,False,0.513,0.0026
[BD]西安商务资讯,https://stream1.freetv.fun/xi-an-shang-wu-zi-xun-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/06/11/large/20220611224831692755_47.jpg,3.802,未分组,h264,1920x1080,25.0,有音频,0.4844,False,False,0.4531,0.0
8090电影一哥,https://yylunbo.ottiptv.cc/yy/29197808,网络源,,2.393,未分组,h264,800x600,24.0,有音频,0.5729,False,False,0.5625,0.0417
[BD]登封新闻综合频道,https://stream1.freetv.fun/deng-feng-xin-wen-zong-he-1.m3u8,网络源,https://epg.pw/media/img/logo/2_16.jpg,6.037,未分组,h264,1920x1080,25.0,有音频,0.5052,False,False,0.4635,0.0781
[BD]经济科教高清,https://stream1.freetv.fun/jing-ji-ke-jiao-gao-qing-7.ctv,网络源,https://epg.pw/media/images/channel/2022/11/01/large/20221101015212417692_86.jpg,6.334,未分组,h264,1920x1080,25.0,有音频,0.5521,False,False,0.4167,0.0
鄢陵综合,http://live.dxhmt.cn:9081/tv/11024-1.m3u8,网络源,,2.946,未分组,h264,1920x1080,25.0,有音频,0.5104,False,False,0.5391,0.0547
这部剧你居然没看过,https://yylunbo.ottiptv.cc/yy/1354932355,网络源,,6.470,未分组,h264,1280x720,30.0,有音频,0.5885,False,False,0.5286,0.0234
林正英经典电影,https://yylunbo.ottiptv.cc/yy/34229877,网络源,,6.444,未分组,h264,800x600,24.0,有音频,0.6562,False,False,0.526,0.0677
经典电影港片枪战,https://yylunbo.ottiptv.cc/yy/1355076627,网络源,,2.306,未分组,h264,800x600,24.0,有音频,0.5469,False,False,0.5156,0.1042
