频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
æ±Ÿè¥¿å«è§†,https://t.freetv.fun/live/jiang-xi-wei-shi-5.m3u8,网络源,,2.642,未分组,h264,720x576,25.0,有音频,0.474,False,False,0.5521,0.0
å¹¿ä¸œå«è§†,https://t.freetv.fun/live/yan-dong-wei-shi-7.m3u8,网络源,,2.928,未分组,h264,1920x1080,50.0,有音频,0.526,False,False,0.0,0.0
å¹¿ä¸œå«è§†,http://183.215.134.239:19901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.990,未分组,h264,1920x1080,25.0,有音频,0.5156,False,False,0.474,0.0156
å±±è¥¿å«è§†,https://t.freetv.fun/live/shan-xi-wei-shi-5.m3u8,网络源,,1.969,未分组,,,,无音频,0.6719,False,False,0.0,0.0
æ¹–åŒ—å«è§†,http://61.156.228.12:8154/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.972,未分组,h264,1920x1080,25.0,有音频,0.5781,False,False,0.5885,0.0
æ²³åŒ—å«è§†,https://t.freetv.fun/live/he-bei-wei-shi-13.php,网络源,,2.843,未分组,h264,720x576,25.0,有音频,0.5729,False,False,0.526,0.0
å±±ä¸œå«è§†,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0,网络源,,2.219,未分组,h264,1920x1080,25.0,有音频,0.526,False,False,0.0,0.0
å±±è¥¿å«è§†,http://153.0.171.163:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,1.919,未分组,h264,720x576,25.0,有音频,0.5104,False,False,0.5391,0.0339
æ±Ÿè¥¿å«è§†,http://153.0.171.163:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.783,未分组,h264,720x576,25.0,有音频,0.5052,False,False,0.5286,0.0807
äº‘å—å«è§†,http://111.221.137.155:44330/tsfile/live/0116_1.m3u8?key=txiptv,网络源,,1.857,未分组,h264,1920x1080,50.0,有音频,0.5469,False,False,0.5391,0.0599
å¹¿ä¸œå«è§†,https://t.freetv.fun/live/yan-dong-wei-shi-10.m3u8,网络源,,0.614,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.4922,0.0495
æ¹–åŒ—å«è§†,https://t.freetv.fun/live/hu-bei-wei-shi-4.php,网络源,,7.573,未分组,h264,854x480,25.0,有音频,0.5573,False,False,0.4453,0.0443
æ±Ÿè¥¿å«è§†,https://t.freetv.fun/live/jiang-xi-wei-shi-7.php,网络源,,5.824,未分组,h264,854x480,25.0,有音频,0.5052,False,False,0.0,0.0
