频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[SD]tastemade australia (1080p),https://stream1.freetv.fun/tastemade-australia-2.m3u8,网络源,https://epg.pw/media/,2.614,未分组,h264,1920x1080,30.0,有音频,0.6094
å¹¿ä¸œæ°‘ç”Ÿ,https://stream1.freetv.fun/yan-dong-min-sheng-38.ctv,网络源,,2.817,未分组,h264,1920x1080,,有音频,0.625
è¾‰å—æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hui-nan-xin-wen-zong-he-5.m3u8,网络源,,3.400,未分组,h264,720x576,25.0,有音频,0.3906
è±¡å±±æ–°é—»,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed?,网络源,,2.522,未分组,h264,1280x720,25.0,有音频,0.5938
æ±Ÿæ´¥æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/jiang-jin-xin-wen-zong-he-4.m3u8,网络源,,3.503,未分组,h264,1920x1080,25.0,有音频,0.5156
æµ™æ±Ÿç”Ÿæ´»,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-14.m3u8,网络源,,3.515,未分组,h264,1920x1080,25.0,有音频,0.0
[HD]tv 1,https://stream1.freetv.fun/tv-1-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/14/20150414223834529529_70.png,3.579,未分组,h264,1280x720,25.0,有音频,0.5625
ä½›å±±å…¬å…±,https://stream1.freetv.fun/fo-shan-gong-gong-6.ctv,网络源,,1.437,未分组,h264,1280x720,25.0,有音频,0.0
é»„å±±å§‹ä¿¡æ–°é“,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8,网络源,,4.556,未分组,h264,1280x720,25.0,有音频,0.9219
ç»å…´æ–‡åŒ–å½±è§†,https://stream1.freetv.fun/shao-xing-wen-hua-ying-shi-2.m3u8,网络源,,2.699,未分组,h264,1280x720,25.0,有音频,0.6406
æµ·å®æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hai-zhu-xin-wen-zong-he-1.m3u8,网络源,,4.274,未分组,h264,1280x720,25.0,有音频,0.4531
æµ™æ±Ÿç”Ÿæ´»,https://stream1.freetv.fun/zhe-jiang-jing-ji-2.m3u8,网络源,,6.193,未分组,h264,1920x1080,25.0,有音频,0.4375
é¾™æ³‰æ–°é—»ç»¼åˆ,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8?zzhed,网络源,,3.072,未分组,h264,1920x1080,25.0,有音频,0.4375
[BD]walla ! plus וואלה! חדשות,https://stream1.freetv.fun/walla---plus-vvalh--khdshvt-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,6.594,未分组,h264,1920x1080,25.0,有音频,0.5938
ç»å…´æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/shao-xing-xin-wen-zong-he-7.m3u8,网络源,,3.435,未分组,h264,720x576,25.0,有音频,0.5938
[BD]latina noticias,https://stream1.freetv.fun/latina-noticias-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/13/large/20211113231346808634_39.png,4.952,未分组,h264,426x240,,有音频,0.0
ç»å…´å…¬å…±,https://stream1.freetv.fun/shao-xing-gong-gong-5.m3u8,网络源,,2.718,未分组,h264,1280x720,30.0,有音频,0.4375
ä¸œä¸°ç»¼åˆ,http://stream5.jlntv.cn/df/sd/live.m3u8?zjild,网络源,,2.595,未分组,h264,720x576,25.0,有音频,0.5625
[BD]samuel goldwyn films,https://stream1.freetv.fun/samuel-goldwyn-films-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174725923216_74.png,5.546,未分组,h264,1920x1080,29.97002997002997,有音频,0.7188
æµ·å®æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hai-zhu-xin-wen-zong-he-4.m3u8,网络源,,4.066,未分组,h264,1280x720,25.0,有音频,0.4688
è‹å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-5.m3u8,网络源,,4.832,未分组,h264,1920x1080,25.0,有音频,0.5625
ç»å…´æ–‡åŒ–,https://stream1.freetv.fun/shao-xing-wen-hua-1.m3u8,网络源,,3.316,未分组,h264,1280x720,25.0,有音频,0.4844
è¥ç»ç»¼åˆ,https://m3u8channel-yj.yunxya.com/nmip-media/channellive/channel101140/playlist.m3u8,网络源,,6.079,未分组,h264,1920x1080,,有音频,0.4688
å¹¿ä¸œæ°‘ç”Ÿ,http://120.238.94.82:9901/tsfile/live/1011_1.m3u8?key=txiptv,网络源,,4.253,未分组,h264,1920x1080,25.0,有音频,0.0
é‚¢å°ç»¼åˆ,https://stream1.freetv.fun/xing-tai-zong-he-9.m3u8,网络源,,3.914,未分组,h264,1280x720,30.0,有音频,0.4062
æµæºç”µè§†ä¸€å¥—,http://live.dxhmt.cn:9081/tv/19001-1.m3u8,网络源,,7.317,未分组,h264,1920x1080,25.0,有音频,0.0
å—äº¬åå…«,https://migu.188766.xyz/?migutoken=e14fd02510afd192836fad8a034e6679&id=%E5%8D%97%E4%BA%AC%E5%8D%81%E5%85%AB%E9%A2%91%E9%81%93&type=yy,网络源,,0.633,未分组,h264,1920x1080,28.0,有音频,0.0
æµ™æ±Ÿé’±æ±Ÿ,https://stream1.freetv.fun/zhe-jiang-qian-jiang-4.m3u8,网络源,,3.763,未分组,h264,1920x1080,25.0,有音频,0.5625
å¹¿å·ç»¼åˆ,https://stream1.freetv.fun/yan-zhou-zong-he-21.ctv,网络源,,2.668,未分组,h264,1920x1080,25.0,有音频,0.6719
æµ·å—æ–‡æ—…,https://stream1.freetv.fun/hai-nan-wen-lu-8.ctv,网络源,,1.122,未分组,h264,1920x1080,28.0,有音频,0.0
æ™®é™€å±±,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8,网络源,,5.020,未分组,h264,1920x1080,25.0,有音频,0.6875
å®‰å¾½é»Ÿå¿è¥¿é€’ç‰ŒåŠ,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8,网络源,,3.861,未分组,h264,1280x720,25.0,有音频,0.4844
å“ˆå°”æ»¨ç”Ÿæ´»,https://stream1.freetv.fun/ha-er-bin-sheng-huo-4.m3u8,网络源,,5.389,未分组,h264,640x480,25.0,有音频,0.5
ç§¦å®‰ç»¼åˆ,https://play.kankanlive.com/live/1680577080200944.m3u8,网络源,,12.635,未分组,h264,1280x720,25.0,有音频,0.5469
[BD]etv telangana[geo-blocked],https://stream1.freetv.fun/etv-telangana-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/13/large/20211113231453893031_53.png,8.231,未分组,h264,1920x1080,25.0,有音频,0.4531
å¹¿å·ç»¼åˆ,https://stream1.freetv.fun/yan-zhou-zong-he-1.m3u8,网络源,,5.167,未分组,h264,1280x720,25.0,有音频,0.5
å˜‰å…´æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/jia-xing-xin-wen-zong-he-6.m3u8,网络源,,2.726,未分组,h264,1920x1080,30.0,有音频,0.3438
ç£çŸ³ç»¼åˆ,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild,网络源,,2.342,未分组,h264,720x576,25.0,有音频,0.5938
ç»å…´ç”µè§†å°å…¬å…±,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed,网络源,,2.387,未分组,h264,1280x720,30.0,有音频,0.75
å››å·ç§‘æ•™,https://stream1.freetv.fun/si-chuan-ke-jiao-2.m3u8,网络源,,3.144,未分组,h264,1920x1080,25.0,有音频,0.3438
æµ™æ±ŸèˆŸå±±ä¸œæå²›,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8,网络源,,4.871,未分组,h264,1280x720,25.0,有音频,0.875
å¹¿ä¸œæ°‘ç”Ÿ,https://stream1.freetv.fun/yan-dong-min-sheng-19.ctv,网络源,,1.427,未分组,h264,1280x720,25.0,有音频,0.5469
[SD]auto plus,https://stream1.freetv.fun/auto-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.929,未分组,h264,720x576,25.0,有音频,0.5938
æµ™æ±Ÿ-èˆŸå±±ä¸œæå²›,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8?contentid=2820180516001,网络源,,3.615,未分组,h264,1280x720,25.0,有音频,0.9062
æµ™æ±Ÿå›½é™…,http://ali-vl.cztv.com/channels/lantian/channel010/360p.m3u8,网络源,,1.684,未分组,h264,640x360,25.0,有音频,0.5938
æ¹–å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hu-zhou-xin-wen-zong-he-1.m3u8,网络源,,5.480,未分组,h264,1280x720,29.97002997002997,有音频,0.7188
å¹¿å·æ–°é—»,https://stream1.freetv.fun/yan-zhou-xin-wen-6.m3u8,网络源,,15.925,未分组,h264,1280x720,25.0,有音频,0.4531
ç£çŸ³ç»¼åˆ,http://stream5.jlntv.cn/ps/sd/live.m3u8,网络源,,2.226,未分组,h264,720x576,25.0,有音频,0.3906
æ±Ÿæ´¥æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/jiang-jin-xin-wen-zong-he-1.m3u8,网络源,,4.038,未分组,h264,1920x1080,25.0,有音频,0.5781
DJç‰ˆã€Šä¸‰æœˆé‡Œçš„å°é›¨ã€‹,https://vd2.bdstatic.com/mda-mgwegh0bzv4cy6cb/1080p/cae_h264/1627727251470197083/mda-mgwegh0bzv4cy6cb.mp4,网络源,,0.503,未分组,h264,1280x720,25.0,有音频,0.0
[SD]феникс plus кино,https://stream1.freetv.fun/feniks-plus-kino-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.977,未分组,h264,720x576,25.0,有音频,0.3438
è§å±±æ–°é—»,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed?,网络源,,2.635,未分组,h264,1280x720,25.0,有音频,0.6875
[SD]hell's kitchen (1080p),https://stream1.freetv.fun/hell-s-kitchen-7.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,5.209,未分组,h264,1920x1080,25.0,有音频,0.5312
è¾½å®åŒ—æ–¹,http://sh.lnott.top:880/dx25.m3u8,网络源,,4.203,未分组,h264,720x576,25.0,有音频,0.4219
æµ™æ±Ÿæ•™è‚²,https://stream1.freetv.fun/zhe-jiang-jiao-yu-8.ctv,网络源,,2.197,未分组,h264,640x360,25.0,有音频,0.5
ä¼ŠçŠç»æµæ³•åˆ¶,http://110.153.180.106:55555/out_4/index.m3u8,网络源,,3.125,未分组,h264,1920x1080,25.0,有音频,0.5156
è¾½å®æ•™è‚²é’å°‘,http://sh.lnott.top:880/dx24.m3u8,网络源,,3.028,未分组,h264,720x576,25.0,有音频,0.3594
ç»å…´å…¬å…±,https://stream1.freetv.fun/shao-xing-gong-gong-4.m3u8,网络源,,2.709,未分组,h264,1280x720,30.0,有音频,0.4375
è¥¿å®æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/xi-zhu-xin-wen-zong-he-5.m3u8,网络源,,7.305,未分组,h264,1920x1080,25.0,有音频,0.5
ä¹è‡³ç»¼åˆ,http://175.155.106.72:89/live1/live1.m3u8,网络源,,2.257,未分组,h264,1920x1080,25.0,有音频,0.5781
å¹¿å·æ–°é—»,https://stream1.freetv.fun/yan-zhou-xin-wen-13.ctv,网络源,,1.356,未分组,h264,1280x720,25.0,有音频,0.0
[BD]in touch plus,https://stream1.freetv.fun/in-touch-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,3.803,未分组,h264,384x216,29.97002997002997,有音频,0.7031
æ¹–å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hu-zhou-xin-wen-zong-he-5.m3u8,网络源,,2.858,未分组,h264,1280x720,29.97002997002997,有音频,0.5
é‚¢å°ç»¼åˆé¢‘é“,https://stream1.freetv.fun/xing-tai-zong-he-5.m3u8,网络源,,4.064,未分组,h264,1280x720,30.0,有音频,0.375
å®‰å¾½ï½œå›ºé•‡æ–°é—»,http://www.guzhenm.com:7001/hls/hd-live.m3u8?zanhd,网络源,,4.123,未分组,h264,1920x1080,25.0,有音频,0.2812
è¾½å®å…¬å…±,http://sh.lnott.top:880/dx27.m3u8,网络源,,3.414,未分组,h264,1920x1080,25.0,有音频,0.3594
[SD]5 star uk *s[geo-blocked],https://stream1.freetv.fun/5-star-uk--s-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/01/20140601214836923490_86.png,2.221,未分组,mpeg2video,704x576,25.0,有音频,0.5781
[BD]hell's kitchen germany,https://stream1.freetv.fun/hell-s-kitchen-germany-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,4.629,未分组,h264,1920x1080,25.0,有音频,0.5625
æµ™æ±Ÿç”Ÿæ´»,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?,网络源,,4.160,未分组,h264,1920x1080,25.0,有音频,0.5
æ²³å—éƒ½å¸‚,https://migu.188766.xyz/?migutoken=d8e3b5e0c15f234b6357a73ef90149bb&id=%E9%83%BD%E5%B8%82%E9%A2%91%E9%81%93&type=yy,网络源,,5.074,未分组,h264,1920x1080,25.0,有音频,0.0
å¹¿ä¸œæ°‘ç”Ÿ,https://stream1.freetv.fun/yan-dong-min-sheng-20.m3u8,网络源,,1.315,未分组,h264,1280x720,25.0,有音频,0.0
å¹¿ä¸œç æ±Ÿ,https://stream1.freetv.fun/yan-dong-zhu-jiang-3.ctv,网络源,,1.662,未分组,,,,有音频,0.3594
å±±ä¸œæ•™è‚²,https://migu.188766.xyz/?migutoken=a0300c4b404147738c3d602f32d726b6&id=%E5%B1%B1%E4%B8%9C%E6%95%99%E8%82%B2&type=yy,网络源,,0.590,未分组,h264,1920x1080,28.0,有音频,0.0
è¾½å®ä½“è‚²ä¼‘é—²,http://sh.lnott.top:880/dx22.m3u8,网络源,,2.685,未分组,h264,720x576,25.0,有音频,0.5
[BD]tv 100,https://stream1.freetv.fun/tv-100-5.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174023110295_42.png,3.720,未分组,h264,640x360,25.0,有音频,0.7344
æŸ³æ²³ç»¼åˆ,http://stream5.jlntv.cn/lh/sd/live.m3u8,网络源,,2.479,未分组,h264,720x576,25.0,有音频,0.4844
[BD]extreme plus[geo-blocked],https://stream1.freetv.fun/extreme-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,2.734,未分组,h264,960x540,29.97002997002997,有音频,0.4531
[HD]3abn kids,https://stream1.freetv.fun/3abn-kids-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/30/large/20220930173605576264_27.jpg,1.869,未分组,h264,640x360,29.97002997002997,有音频,0.6719
ä¸œä¸°ç»¼åˆ,http://stream5.jlntv.cn/df/sd/live.m3u8,网络源,,2.542,未分组,h264,720x576,25.0,有音频,0.5781
[BD]7 канал,https://stream1.freetv.fun/7-kanal-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174819530509_49.png,4.332,未分组,h264,1920x1080,25.0,有音频,0.3438
[BD]RT Doc,https://stream1.freetv.fun/rt-doc-2.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,9.091,未分组,h264,640x360,25.0,有音频,0.5469
é»„å±±é£æ¥çŸ³,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8,网络源,,3.893,未分组,h264,1920x1080,25.0,有音频,0.4219
æµ™æ±Ÿå›½é™…,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8,网络源,,2.704,未分组,h264,1280x720,25.0,有音频,0.5938
é»„é¾™,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8,网络源,,4.069,未分组,h264,1920x1080,25.0,有音频,0.9375
å¹¿ä¸œç æ±Ÿ,https://stream1.freetv.fun/yan-dong-zhu-jiang-17.ctv,网络源,,1.261,未分组,h264,1280x720,25.0,有音频,0.0
é’ç”°ç”µè§†,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8?zzhed?,网络源,,2.172,未分组,h264,1920x1080,25.0,有音频,0.4062
ç»å…´å…¬å…±,https://stream1.freetv.fun/shao-xing-gong-gong-6.m3u8,网络源,,2.560,未分组,h264,1280x720,30.0,有音频,0.625
[BD]dw russian,https://stream1.freetv.fun/dw-russian-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/23/20140523214300181944_19.jpg,14.071,未分组,h264,1920x1080,50.0,有音频,0.4844
æµ™æ±Ÿç”Ÿæ´»,https://stream1.freetv.fun/zhe-jiang-jing-ji-1.m3u8,网络源,,5.133,未分组,h264,1920x1080,25.0,有音频,0.625
[BD]tv 100,https://stream1.freetv.fun/tv-100-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174023110295_42.png,6.559,未分组,h264,640x360,25.0,有音频,0.5469
å¹¿è¥¿æ¡‚æ—æ¼“æ±Ÿæ™¯åŒº,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8,网络源,,4.792,未分组,h264,1280x720,25.0,有音频,0.5781
æµ·å®æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/hai-zhu-xin-wen-zong-he-5.m3u8,网络源,,4.343,未分组,h264,1280x720,25.0,有音频,0.6875
æ¹–å—å¼ å®¶ç•Œå¤©é—¨å±±è¥¿çº¿ç»ç’ƒæ ˆé“,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8,网络源,,4.125,未分组,h264,1920x1080,25.0,有音频,0.9219
å¤ªè°·æ–°é—»ç»¼åˆ,https://p2.vzan.com/slowlive/596867413819827251/live.m3u8?zbid=1725814272&amp;amp;tpid=1516989100&amp;amp;type=0,网络源,,3.206,未分组,h264,1920x1080,25.0,有音频,0.8438
[HD]ns shop plus,https://stream1.freetv.fun/ns-shop-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,5.680,未分组,h264,1280x720,30.0,有音频,0.4688
ä¼ŠçŠç»´å¾å°”,http://110.153.180.106:55555/out_2/index.m3u8?zxinjd,网络源,,3.123,未分组,h264,1920x1080,25.0,有音频,0.5781
[SD]4more uk ==[geo-blocked],https://stream1.freetv.fun/4more-uk-2.ctv,网络源,https://epg.pw/media/,0.968,未分组,mpeg2video,704x576,25.0,有音频,0.5938
æ²³å—éƒ½å¸‚,https://migu.188766.xyz/?migutoken=317fb455775bd1ba714d243c2eb3aea0&id=%E9%83%BD%E5%B8%82%E9%A2%91%E9%81%93&type=yy,网络源,,0.611,未分组,h264,1920x1080,28.0,有音频,0.0
å—å®éƒ½å¸‚ç”Ÿæ´»,https://stream1.freetv.fun/nan-zhu-du-shi-sheng-huo-4.m3u8,网络源,,3.494,未分组,h264,1280x720,25.0,有音频,0.5469
ç»å…´æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/shao-xing-xin-wen-zong-he-6.m3u8,网络源,,2.976,未分组,h264,720x576,25.0,有音频,0.5312
[SD]5usa uk *s[geo-blocked],https://stream1.freetv.fun/5usa-uk--s-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/01/20140601214910095304_28.png,1.745,未分组,h264,854x480,25.0,有音频,0.625
ç”˜å—ç»¼åˆ,https://play.kankanlive.com/live/1711955176432990.m3u8,网络源,,6.228,未分组,h264,1920x1080,25.0,有音频,0.0
å¹¿ä¸œç æ±Ÿ,https://stream1.freetv.fun/943a56c1980ac8d65adeb0603437a8cd8da6241b019e93bba89c37ff050946e5.m3u8,网络源,,7.673,未分组,h264,1920x1080,25.0,有音频,0.0
å—å›½éƒ½å¸‚,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4,网络源,,17.957,未分组,h264,1920x1080,25.0,有音频,0.5781
[BD]9x tashan,https://stream1.freetv.fun/9x-tashan-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164732623933_11.png,5.895,未分组,h264,1920x1080,25.0,有音频,0.625
é’å²›å´‚å±±å…«æ°´æ²³,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8,网络源,,3.701,未分组,h264,1280x720,25.0,有音频,0.8438
å—äº¬æ–°é—»ç»¼åˆ,https://migu.188766.xyz/?migutoken=792ab75ecbca0893c9d3e499ce8fe466&id=%E5%8D%97%E4%BA%AC%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88%E9%A2%91%E9%81%93&type=yy,网络源,,0.658,未分组,h264,1920x1080,28.0,有音频,0.0
æµ™æ±Ÿé’±æ±Ÿ,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-3.m3u8,网络源,,4.735,未分组,h264,854x480,25.0,有音频,0.4531
ä¹Œé•‡è“å°èŠ±å¸ƒ,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8,网络源,,3.617,未分组,h264,1280x720,25.0,有音频,0.3594
å—é€šæ–°é—»ç»¼åˆ,https://migu.188766.xyz/?migutoken=1be4a3ced73cc43a5eec3acea385ea5d&id=%E5%8D%97%E9%80%9A%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88&type=yy,网络源,,0.737,未分组,h264,1920x1080,28.0,有音频,0.0
ç›çº³æ–¯ç»¼åˆ,http://218.84.127.245:1026/hls/main1/playlist.m3u8,网络源,,2.840,未分组,h264,1920x1080,25.0,有音频,0.4844
ä¸­å¤®ç”µè§†å¡”ä¸œ,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8,网络源,,4.160,未分组,h264,1920x1080,25.0,有音频,0.5
è‹å·ç”Ÿæ´»èµ„è®¯,https://stream1.freetv.fun/su-zhou-sheng-huo-zi-xun-2.m3u8,网络源,,3.906,未分组,h264,1280x720,25.0,有音频,0.5156
ä¹è‡³ç»¼åˆ,http://175.155.106.72:89/live1/live1.m3u8?zsicd,网络源,,2.166,未分组,h264,1920x1080,25.0,有音频,0.4531
åŒ—äº¬ç”Ÿæ´»,https://migu.188766.xyz/?migutoken=78717f7be6e3f2923c02860c2c769bd8&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=yy,网络源,,0.671,未分组,h264,1920x1080,28.0,有音频,0.0
