频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
IBN TV Africa (720p),http://68.183.41.209:8080/live/5d9a537c64b9c/index.m3u8,网络源,https://i.imgur.com/eKy2ocd.png,1.155,未分组,h264,720x576,,有音频,0.5469
GEM Life,https://still-mud-3642.nqanzvyuupxwcahtfq.workers.dev/?url=https://ca-rt.onetv.app/gemlife/index-0.m3u8,网络源,https://i.imgur.com/gI8qePa.png,0.870,未分组,h264,720x576,25.0,有音频,0.5
Impact Network (720p),https://edge1.lifestreamcdn.com/live/impactroku1/index.m3u8,网络源,https://i.imgur.com/57NH9sS.png,1.602,未分组,h264,1280x720,59.94005994005994,有音频,0.3594
FUEL TV (1080p),https://amg01074-fueltv-fueltvemeaen-rakuten-b6j62.amagi.tv/hls/amagi_hls_data_rakutenAA-fueltvemeaen/CDN/master.m3u8,网络源,https://i.imgur.com/I8mviBy.png,1.058,未分组,h264,1920x1080,25.0,有音频,0.5156
Inside Outside (720p),https://all3media-international-insideoutside-1-nz.samsung.wurl.tv/playlist.m3u8,网络源,,2.013,未分组,h264,1280x720,29.97002997002997,有音频,0.4688
GoodNews TV (720p),https://bpgdlwwar3ze-hls-live.wmncdn.net/goodnews/live.stream/playlist.m3u8,网络源,https://i.imgur.com/ZrvoGqS.png,2.416,未分组,h264,640x360,25.0,有音频,0.5469
Filmrise Horror (720p),https://livetv-fa.tubi.video/filmrise-horror/index.m3u8,网络源,,2.515,未分组,h264,1280x720,29.97002997002997,有音频,0.5625
Fox News Radio (720p),https://radiovid.foxnews.com/hls/live/661547/RADIOVID/index.m3u8,网络源,https://radio.foxnews.com/wp-content/uploads/2017/10/default_logo-150x150.png,2.531,未分组,h264,256x144,29.97002997002997,有音频,0.5156
Happy Days,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62e917b5e354cf0007b97a67/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7aa2c3-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=b9cae61e-6671-48b9-8e36-973e2921034d,网络源,https://i.imgur.com/LPjoORg.png,2.624,未分组,h264,426x240,30.0,有音频,0.7344
FM Mundo (1080p),https://video2.makrodigital.com/fmmundo/fmmundo/playlist.m3u8,网络源,https://i.imgur.com/1nNnYQO.png,2.674,未分组,h264,1920x1080,60.0,有音频,0.4844
Italia 2 TV (480p) [Geo-blocked],http://wms.shared.streamshow.it/italia2/mp4:italia2/playlist.m3u8,网络源,https://i.imgur.com/TDSgG28.png,2.823,未分组,h264,1280x720,25.0,有音频,0.4219
Iman TV (480p),https://live.relentlessinnovations.net:1936/imantv/imantv/playlist.m3u8,网络源,,3.258,未分组,h264,1280x720,29.97002997002997,有音频,0.375
Gh One TV,https://g2qd3exjy7an-hls-live.5centscdn.com/ghonetv/ghanaweb.stream/playlist.m3u8,网络源,https://i.imgur.com/AefbIR3.png,3.270,未分组,h264,960x540,25.0,有音频,0.5156
Galaxia TV (360p),https://streaming.grupomediosdelnorte.com:19360/galaxiateve/galaxiateve.m3u8,网络源,https://grupomediosdelnorte.com/iptv/galaxia.png,0.634,未分组,h264,1280x720,30.0,有音频,0.2812
Global News Kingston,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62cbf4964446e2000742073e/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7a54a8-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=2703358d-cd85-4e18-b252-dad10d86dc4a,网络源,,3.393,未分组,h264,426x240,30.0,有音频,0.4062
Frasier,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62cebf042ffc6d0007c4e59a/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=84ad6800-4b92-11ef-aece-533610f1ea34&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=f552b359-8c8e-4816-8106-6f91f060d965,网络源,https://images.pluto.tv/channels/62f4f90e39183b000769f12b/colorLogoPNG.png,3.625,未分组,h264,426x240,30.0,有音频,0.6406
Fonte TV (1080p) [Not 24/7],http://flash.softhost.com.br:1935/fonte/fontetv/live.m3u8,网络源,https://i.imgur.com/7q2BmNc.png,3.655,未分组,h264,1280x720,29.97002997002997,有音频,0.4375
Iunior TV (720p) [Not 24/7],https://5f22d76e220e1.streamlock.net/iuniortv/iuniortv/playlist.m3u8,网络源,,3.746,未分组,h264,1280x720,25.0,有音频,0.5469
Huntington Beach TV Channel 3 (720p),https://reflect-huntingtonbeach.cablecast.tv/live-4/live/stream-1/live.m3u8,网络源,https://i.imgur.com/xADoSqE.png,3.810,未分组,h264,480x270,30.0,有音频,0.6406
Hallmark Drama (720p),https://fl1.moveonjoy.com/HALLMARK_DRAMA/index.m3u8,网络源,,3.856,未分组,h264,1280x720,29.97002997002997,有音频,0.5312
Infinita TV (1080p),https://s2.tvdatta.com:3753/hybrid/play.m3u8,网络源,https://i.imgur.com/1nHxdkR.png,1.245,未分组,h264,1920x1080,29.97002997002997,有音频,0.3281
Haber Global (720p) [Not 24/7],https://tv.ensonhaber.com/haberglobal/haberglobal.m3u8,网络源,https://i.postimg.cc/fbQQPsGB/haberglobal.png,4.102,未分组,h264,640x360,25.0,有音频,0.5156
Fresno CMAC 1 Public Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/stream-1/live.m3u8,网络源,https://i.imgur.com/PYhdQy9.png,4.107,未分组,h264,480x270,30.0,有音频,0.5156
Inspira TV (720p) [Not 24/7],https://inspiratv.siar.us/inspiratv/live/playlist.m3u8,网络源,https://i.imgur.com/BF5orkg.png,4.140,未分组,h264,1280x720,25.0,有音频,0.5312
FX Movie Channel (720p) [Not 24/7],https://tvpass.org/live/FXMovieChannel/hd,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/FXM_Logo.svg/512px-FXM_Logo.svg.png,3.209,未分组,h264,640x360,29.97002997002997,有音频,0.4219
FITE 24/7 (1080p),https://d3d85c7qkywguj.cloudfront.net/scheduler/scheduleMaster/263.m3u8,网络源,https://i.imgur.com/ESV6qgH.png,1.287,未分组,h264,960x540,29.97002997002997,有音频,0.5938
Ishwar Bhakti TV (720p),https://6n3yow8pl9ok-hls-live.5centscdn.com/ishwartvlive/tv.stream/playlist.m3u8,网络源,https://i.imgur.com/tsPPU1Y.png,2.595,未分组,h264,640x360,25.0,有音频,0.5
FOX 5 New York NY (WNYW) (720p),https://livetv-fa.tubi.video/wnyw/index.m3u8,网络源,https://i.imgur.com/zZd9Tkt.png,4.836,未分组,h264,854x480,29.97002997002997,有音频,0.4688
Global News Regina,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62cbff53ca8f2200080253b5/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7a7bb5-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=c1d76b1b-8c4c-4a05-bf77-7cdb5ffff309,网络源,,3.254,未分组,h264,426x240,30.0,有音频,0.6562
GMTV (1080p),https://livechannel.mdc.akamaized.net/stitch/livechannel/1341/master1400000.m3u8;session=live_stream_1341,网络源,https://i.imgur.com/GJYb8c8.png,1.232,未分组,h264,640x360,30.0,有音频,0.6094
Homeful,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62e92967cd663f0007e604fd/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=2c7aa2c7-35fc-11ef-a031-2b5d494037a2&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=9e465781-895f-4709-824c-bed19afe2c34,网络源,,4.347,未分组,h264,426x240,30.0,有音频,0.6719
Hechicera TV (720p),https://video.misistemareseller.com/corporationhc/corporationhc/playlist.m3u8,网络源,https://i.imgur.com/I6tRVkA.png,1.707,未分组,h264,1280x720,60.0,有音频,0.6562
Hévízi TV (1080p),https://cloudfront44.lexanetwork.com:1344/relay03/livestream003.sdp/playlist.m3u8,网络源,https://i.imgur.com/zuWQKDm.png,5.380,未分组,h264,1920x1080,25.0,有音频,0.3438
Fresno CMAC 3 Government Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/stream-3/live.m3u8,网络源,https://i.imgur.com/ToZzguz.png,3.214,未分组,h264,480x270,30.0,有音频,0.4219
Gospel Cartoon (360p),https://stmv1.srvif.com/gospelcartoon/gospelcartoon/playlist.m3u8,网络源,https://i.imgur.com/yxjPno5.png,0.937,未分组,h264,640x360,24.0,有音频,0.6406
Giovanni Paolo TV (1080p),https://media2021.rtvweb.com/giovannipaolotv/web/playlist.m3u8,网络源,https://www.lyngsat.com/logo/tv/gg/giovanni-paolo-tv-it.png,4.210,未分组,h264,856x480,25.0,有音频,0.4062
FXM East,https://fl1.moveonjoy.com/FX_MOVIE/index.m3u8,网络源,https://i.postimg.cc/j27hBV04/fxm.png,3.230,未分组,h264,1280x720,59.94005994005994,有音频,0.3906
Forever Kids,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/56171fafada51f8004c4b40f/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c28f171-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=1acb41ce-ae24-4bbc-bf7d-831de72589e8,网络源,https://i.imgur.com/deeQqYZ.png,2.809,未分组,h264,426x240,30.0,有音频,0.4844
iSTUFF (720p) [Not 24/7],https://relay2.cdn.fem-net.de/hls/loop/istuff_live/istuff_live-720p.m3u8,网络源,https://i.imgur.com/1V3UXVb.jpg,2.037,未分组,h264,1280x720,50.0,有音频,0.4844
Hamaika Telebista (1080p),https://cdn3.wowza.com/1/RERMR282dnU5eE5Z/OHY0dVFs/hls/live/playlist.m3u8,网络源,https://i.imgur.com/HR3G3Ie.png,1.122,未分组,h264,1920x1080,25.0,有音频,0.7344
