频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
è®¸å›èªå°å“,https://www.goodiptv.club/douyu/10419558,网络源,,1.773,未分组,h264,1920x1080,30.303030303030305,有音频,0.4688
å˜‰ä½³å¡é€š,https://stream1.freetv.fun/ipv6-jia-jia-qia-tong-32.m3u8,网络源,,2.168,未分组,h264,1280x720,25.0,有音频,0.0
æ¹–åŒ—ï½œè†é—¨æ–°é—»ç»¼åˆ,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd,网络源,,2.224,未分组,h264,1920x1080,25.0,有音频,0.4688
è´¾ç²å°å“,https://www.goodiptv.club/douyu/10419541,网络源,,2.277,未分组,h264,1280x720,25.0,有音频,0.4062
CHCåŠ¨ä½œç”µå½±,http://113.195.172.192:808/hls/114/index.m3u8,网络源,,3.595,未分组,h264,1920x1080,25.0,有音频,0.0
å˜‰ä½³å¡é€š,https://stream1.freetv.fun/jia-jia-qia-tong-2.ctv,网络源,,1.535,未分组,h264,1280x720,25.0,有音频,0.0
åŸ‹å †å †1,http://cfss.cc/cdn/hy/23749096.flv,网络源,,1.526,未分组,h264,1280x720,30.0,有音频,0.0
é–å¤©å¡é€š,https://live.catvod.com/live.php?id=jingtiancartoon_twn&token=4f26239d3a98dafc388f21d0e9e88d5abe734a56ecc705835121ede1f526ef51%3A1762392062%3AMjAuNDkuNjEuNTI%3D,网络源,,1.001,未分组,h264,1920x1080,30.0,有音频,0.0
ç”„å­ä¸¹,http://live.nctv.top/huya.php?id=11352935,网络源,,2.146,未分组,h264,1280x720,24.0,有音频,0.0
æµ™æ±Ÿå°‘å„¿,https://stream1.freetv.fun/zhe-jiang-shao-er-6.m3u8,网络源,,4.372,未分组,h264,1920x1080,25.0,有音频,0.3594
æ¹–å—éƒ½å¸‚,http://8.138.7.223/tv/mgtv.php?id=346,网络源,,2.571,未分组,h264,640x360,25.0,有音频,0.3906
