频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
CGTN,https://0472.org/hls/cgtn.m3u8,网络源,,0.999,未分组,h264,1280x720,25.0,有音频,0.6198,False,False,0.5182,0.0078
[BD]汕尾综合高清[geo-blocked],https://stream1.freetv.fun/shan-wei-zong-he-gao-qing-9.ctv,网络源,https://epg.pw/media/uploads/tmp_logo/2018/10/18/20181018000557428409_85.jpg,1.647,未分组,,,,无音频,0.5104,False,False,0.0,0.0
[HD]泸州新闻综合,https://stream1.freetv.fun/lu-zhou-xin-wen-zong-he-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/01/large/20221101020031305070_25.jpg,0.718,未分组,,,,无音频,0.4688,False,False,0.0,0.0
[BD]吉林卫视,https://stream1.freetv.fun/ji-lin-wei-shi-14.ctv,网络源,https://epg.pw/media/images/channel/2024/07/28/large/20240728163659540434_96.png,2.051,未分组,,,,无音频,0.5833,False,False,0.0,0.0
靓剑乐乐陪看,https://yylunbo.ottiptv.cc/yy/1352946111,网络源,,2.123,未分组,h264,800x600,24.0,有音频,0.4792,False,False,0.0,0.0
[BD]dw德國之聲,https://stream1.freetv.fun/dwde-guo-zhi-sheng-9.m3u8,网络源,https://epg.pw/media/img/logo/1_203.jpg,0.797,未分组,,,,无音频,0.4948,False,False,0.0,0.0
[BD]韓國娛樂台 *4g,https://stream1.freetv.fun/han-guo-yu-le-tai---4g-1.m3u8,网络源,https://epg.pw/media/images/channel/2018/07/28/large/20180728224232081806_43.png,0.873,未分组,,,,无音频,0.5052,False,False,0.0,0.0
[BD]安徽卫视[geo-blocked],https://stream1.freetv.fun/an-hui-wei-shi-92.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719113027191823_22.jpg,0.898,未分组,,,,无音频,0.0,False,False,0.0,0.0
[BD]翡翠[geo-blocked],https://stream1.freetv.fun/fei-cui-1.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720173151124119_90.png,0.941,未分组,,,,无音频,0.5417,False,False,0.0,0.0
[SD]山东教育,https://stream1.freetv.fun/shan-dong-jiao-yu-5.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719115915514158_88.jpg,0.776,未分组,,,,无音频,1.0,False,False,0,0
CGTN纪录,https://0472.org/hls/cgtnd.m3u8,网络源,,1.217,未分组,h264,1280x720,25.0,有音频,0.4896,False,False,0.487,0.0391
西游记2,http://www.douzhicloud.site:35455/huya/29465859,网络源,,1.671,未分组,h264,848x476,30.0,有音频,1.0,False,False,0,0
[BD]吉林卫视[geo-blocked],https://stream1.freetv.fun/ji-lin-wei-shi-24.ctv,网络源,https://epg.pw/media/images/channel/2024/07/28/large/20240728163659540434_96.png,0.722,未分组,,,,无音频,1.0,False,False,0,0
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv,网络源,,0.690,未分组,h264,960x540,25.0,有音频,0.5729,False,False,0.4818,0.013
靖宇综合,"http://stream8.jlntv.cn/jytv/sd/live.m3u8?zjild,",网络源,,1.620,未分组,h264,720x576,25.0,有音频,1.0,False,False,0,0
温县综合,http://live.dxhmt.cn:9081/tv/10825-1.m3u8,网络源,,3.822,未分组,h264,1920x1080,25.0,有音频,0.4531,False,False,0.0,0.0
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8,网络源,,0.830,未分组,h264,1920x1080,25.0,有音频,0.5365,False,False,0.6068,0.0026
[BD]江苏影视[geo-blocked],https://stream1.freetv.fun/jiang-su-ying-shi-1.ctv,网络源,https://epg.pw/media/images/channel/2022/05/30/large/20220530230645676753_16.jpg,0.701,未分组,,,,无音频,0.0,False,False,0.0,0.0
郏县综合,http://live.dxhmt.cn:9081/tv/10425-1.m3u8,网络源,,2.640,未分组,h264,1920x1080,25.0,有音频,0.5833,False,False,0.5781,0.0
野山鹰影视剧,https://yylunbo.ottiptv.cc/yy/1354932395,网络源,,2.249,未分组,h264,1280x720,25.0,有音频,0.5312,False,False,0.5104,0.0
国产大片电影,https://yylunbo.ottiptv.cc/yy/1354926655,网络源,,3.116,未分组,h264,1280x720,30.0,有音频,0.5312,False,False,0.4948,0.0573
潢川综合,http://live.dxhmt.cn:9081/tv/11526-1.m3u8,网络源,,2.988,未分组,h264,1920x1080,25.0,有音频,0.6406,False,False,0.0,0.0
[BD]海峡卫视,https://stream1.freetv.fun/hai-xia-wei-shi-4.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128060839855238_81.jpg,1.327,未分组,h264,1920x1080,29.97002997002997,有音频,0.4271,False,False,0.0,0.0
