频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
CCTV2,https://www.freetv.top/migu/631780532.m3u8?migutoken=317722ab220ea7aa14f0f18816b423a2ce5181a72d8b1f02e4aba95d7d7707dc123fcbb113b41a2406a823e2a738dbdbfb23c22ccfe936e40e63d389ab3f0f2e4ae3f3ec3e46f3d2f021b3c7b5,网络源,,5.785,未分组,h264,1920x1080,30.0,有音频,0.5,False,False,0.0,0.0
[BD]寰宇新聞台灣,https://t.freetv.fun/live/huan-yu-xin-wen-tai-wan-14.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134538350977_27.png,9.588,未分组,h264,1920x1080,30.0,有音频,0.5938,False,False,0.5964,0.0078
[HD]ivoire channel,https://stream1.freetv.fun/e6fd793af18d33af5d733cfb4a92c312133939ea2ffc38a57d1ee5e41cae05a7.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,1.892,未分组,h264,1280x720,50.0,有音频,1.0,False,False,0,0
[BD]好消息,https://t.freetv.fun/live/hao-xiao-xi-20.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126210954040708_43.jpg,11.054,未分组,h264,1920x1080,30.0,无音频,0.5469,False,False,0.6068,0.013
[HD]dazn ringside,https://stream1.freetv.fun/06b6214f3d5ee5f7d354b14fe53ac947012b5e07efc6d1b2b8599a5200bdafa5.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/24/large/20240424024936868909_61.png,4.333,未分组,h264,426x240,30.0,有音频,0.0,False,False,0.0,0.0
ã€Œæ–—é±¼ã€ç©¿è¶Šç«çº¿ ğŸ™,https://live.iill.top/douyu/605964,网络源,https://epg-1.iill.top/logo/æ–—é±¼.png,5.280,未分组,h264,1280x720,30.0,有音频,0.5521,False,False,0.526,0.0521
[BD]台視,https://stream1.freetv.fun/5f1647f69faf035a2edf66cf6a0c119ea2ce317c155073f842dd4661b72cec9f.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/09/29/20150929121750759037_14.jpg,1.833,未分组,h264,1920x1080,30.0,无音频,0.5312,False,False,0.4375,0.0104
[BD]寰宇新聞台灣,https://t.freetv.fun/live/huan-yu-xin-wen-tai-wan-15.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134538350977_27.png,9.631,未分组,h264,1920x1080,30.0,无音频,0.5365,False,False,0.5182,0.0026
[HD]國會 2,https://stream1.freetv.fun/e7ec9f01c2aa814adefbef622a2ca46e4744ad04922ad8919d298e111f26ddc9.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171909653190_67.jpg,4.676,未分组,h264,1280x720,30.0,有音频,0.5417,False,False,0.5104,0.0104
[HD]tvbs闽南[geo-blocked],https://stream1.freetv.fun/f634b30feb2314084b09bf4d382e222ad6a4d9dec34f48b1bd291d201a23d565.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720162650498510_75.png,1.397,未分组,h264,1280x720,29.97002997002997,有音频,0.5729,False,False,0.5833,0.026
[BD]food network[geo-blocked],https://stream1.freetv.fun/3a471fc3cf067146eacb6089e8135616096692ef19ee4cbdf54136b4dba669ec.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/27/large/20220827225917116348_71.png,4.250,未分组,h264,640x360,25.0,有音频,0.5417,False,False,0.5,0.0677
[BD]东森超视 34.5,https://t.freetv.fun/live/dong-sen-chao-shi-34-5-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722105657399125_36.png,0.487,未分组,h264,1920x1080,29.97002997002997,有音频,0.5625,False,False,0.5078,0.0182
[BD]寰宇新聞,https://stream1.freetv.fun/0517aebb01500bf56ba28b35193b93e188c07450e97491e3ce12d8cd67a11130.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134624405697_90.png,6.099,未分组,h264,1920x1080,30.0,有音频,0.526,False,False,0.6354,0.0
[HD]國會 2,https://t.freetv.fun/live/guo-hui-2-16.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171909653190_67.jpg,2.435,未分组,h264,1280x720,30.0,无音频,0.5417,False,False,0.5339,0.0026
[BD]好消息[geo-blocked],https://stream1.freetv.fun/274443f7003a9bd081748dc125c5e6dfcb4a8b148c40e997c30bc1482e2fcb53.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126210954040708_43.jpg,9.658,未分组,h264,1920x1080,30.0,有音频,0.5312,False,False,0.513,0.0547
ä¸‰å›½æ¼”ä¹‰,http://www.douzhicloud.site:35455/huya/11602081,网络源,ä¸‰å›½æ¼”ä¹‰.png,1.262,未分组,h264,1280x720,25.0,有音频,0.526,False,False,0.599,0.0208
[BD]八大精彩,https://stream1.freetv.fun/bfaefb1a3e20cf0eaeed3c9fa49ea637160e477ef637bb9fc2945bbf872b590d.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/18/large/20230718002502772228_50.png,1.734,未分组,h264,1920x1080,30.0,无音频,0.5521,False,False,0.5339,0.0339
[BD]東森美洲,https://stream1.freetv.fun/58095733803c46eb57bb7d5401c87aa9ee2a605c57b9d8ced2c65d9b385610ed.m3u8,网络源,https://epg.pw/media/images/channel/2022/10/23/large/20221023212524554784_66.jpg,2.631,未分组,h264,1920x1080,29.97002997002997,有音频,0.6042,False,False,0.4193,0.0234
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8,网络源,,8.406,未分组,h264,1920x1080,50.0,有音频,0.4948,False,False,0.0,0.0
[BD]镜新闻,https://t.freetv.fun/live/jing-xin-wen.m3u8,网络源,https://epg.pw/media/images/channel/2023/06/05/large/20230605011449264065_58.jpg,1.609,未分组,h264,1920x1080,30.0,有音频,0.5677,False,False,0.6432,0.0078
CCTV2,http://43.251.226.89:8080/play/242.m3u8,网络源,,7.078,未分组,h264,854x480,25.0,有音频,0.4792,False,False,0.0,0.0
CCTV1,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8,网络源,,4.200,未分组,h264,1920x1080,50.0,有音频,0.0,False,False,0.0,0.0
[HD]smithsonian channel selects,https://stream1.freetv.fun/76dba6293f9dc490a833911a3c98b62eb7219e1e39877ee6989f7dcc94e792f5.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/03/large/20230703010539122476_41.jpeg,3.628,未分组,h264,426x240,30.0,有音频,0.5104,False,False,0.5,0.0104
[BD]love nature,https://stream1.freetv.fun/fcb4f4849136f98ed253e6be8bdace33ba0ed547191b5ca4ada25417a14964f6.m3u8,网络源,https://epg.pw/media/images/channel/2023/02/05/large/20230205151332194260_50.jpg,6.292,未分组,h264,1920x1080,30.0,有音频,0.5573,False,False,0.4714,0.0703
[BD]东森美洲,https://t.freetv.fun/live/dong-sen-mei-zhou-2-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/18/large/20230718005514425865_72.jpg,0.727,未分组,h264,1920x1080,29.97002997002997,有音频,0.5208,False,False,0.5286,0.0234
[BD]纬来电影[geo-blocked],https://stream1.freetv.fun/01d83e1a7d4a7a6f1a032892d73866ff7ce398f201466ecd0a86beb08a4857e8.ctv,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722105432854571_34.png,7.164,未分组,h264,1920x1080,29.97002997002997,有音频,0.5625,False,False,0.4635,0.0
[HD]mix hollywood,https://stream1.freetv.fun/66205b3f0abc81d54dbb5b7d4774f3ff44ed63ee7454d7cc342c1e4c62526c1a.m3u8,网络源,https://epg.pw/media/images/channel/2023/03/05/large/20230305234858603161_67.png,17.423,未分组,h264,852x480,25.0,有音频,0.5573,False,False,0.4818,0.0078
CCTV3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8,网络源,,3.224,未分组,h264,1920x1080,50.0,有音频,0.4792,False,False,0.0,0.0
[SD]美亚电影,https://t.freetv.fun/live/mei-ya-dian-ying-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/01/14/large/20240114154701302621_82.png,0.615,未分组,hevc,1024x576,25.0,有音频,0.526,False,False,0.5469,0.0052
[BD]ent channel,https://t.freetv.fun/live/ent-channel.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,1.610,未分组,h264,1920x1080,30.0,有音频,0.5156,False,False,0.4714,0.0026
[BD]寰宇新聞台灣,https://stream1.freetv.fun/74eb3684b1843d9e4621f846f82b73a2e460621e5d0f79667d606946d26fcbe5.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134538350977_27.png,8.993,未分组,h264,1920x1080,30.0,有音频,0.5573,False,False,0.6042,0.0521
æ²»æ„ˆâ€¢æ”¾æ¾ã€ŒéŸ³ä¹ã€,https://live.iill.top/huya/21241811,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,4.769,未分组,h264,1280x720,29.97002997002997,有音频,0.0,False,False,0.0,0.0
å°„é›•è‹±é›„ä¼,http://www.douzhicloud.site:35455/huya/23824164,网络源,å°„é›•è‹±é›„ä¼ .png,1.211,未分组,h264,1274x670,25.0,有音频,0.4948,False,False,0.5651,0.112
[SD]bflix movies,https://t.freetv.fun/live/bflix-movies.m3u8,网络源,https://epg.pw/media/images/channel/2019/07/19/large/20190719001432212041_14.png,8.139,未分组,h264,720x576,25.0,有音频,0.5625,False,False,0.6224,0.0286
[HD]mezzo live,https://t.freetv.fun/live/mezzo-live-11.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/14/large/20240814094908863860_80.png,4.309,未分组,h264,1280x720,30.0,无音频,0.6094,False,False,0.5234,0.0026
ç”µè§†å‰§â€¢1ã€Œè§£è¯´ã€,https://live.iill.top/huya/21277391,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,4.306,未分组,h264,1920x1080,30.0,有音频,0.0,False,False,0.0,0.0
[HD]國會 2,https://stream1.freetv.fun/4235b04e65c2932f19d5ce77dcb27994536052c76af8e384bc3a9367d03acbb5.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171909653190_67.jpg,2.450,未分组,h264,1280x720,30.0,无音频,0.5573,False,False,0.5156,0.0156
é£äº‘éŸ³ä¹,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub,网络源,é£äº‘éŸ³ä¹.png,0.506,未分组,h264,1920x1080,25.0,有音频,0.526,False,False,0.526,0.0156
ã€Œè™ç‰™ã€ç»åœ°æ±‚ç”Ÿ ğŸ™,https://live.iill.top/huya/660004,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,19.105,未分组,h264,1920x1080,59.94005994005994,有音频,0.4844,False,False,0.6302,0.0
[BD]好消息2,https://t.freetv.fun/live/hao-xiao-xi-2-18.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126211024028574_31.jpg,8.333,未分组,h264,1920x1080,30.0,无音频,0.5781,False,False,0.5286,0.0234
[HD]人间卫视,https://stream1.freetv.fun/9f76ad62b7ac59970b10e209f250df382971823ed12f12459c11d5ca71e0d7b9.ctv,网络源,https://epg.pw/media/img/logo/1_164.jpg,2.601,未分组,h264,1280x720,29.97002997002997,有音频,0.5312,False,False,0.474,0.1042
[BD]民視第一,https://stream1.freetv.fun/e4fcbe774413a4dcbd6e0f4cfd4c39b4f9a1989e27df620d654a015cfaf70c93.m3u8,网络源,https://epg.pw/media/images/channel/2022/03/23/large/20220323172047199293_67.png,1.812,未分组,h264,1920x1080,30.0,无音频,0.5052,False,False,0.4766,0.0547
[HD]smithsonian channel selects,https://t.freetv.fun/live/smithsonian-channel-selects-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/03/large/20230703010539122476_41.jpeg,3.005,未分组,h264,426x240,30.0,有音频,0.4948,False,False,0.5208,0.0
[BD]东森美洲2,https://stream1.freetv.fun/eb4ded3c365bf7d42bebf4dbe94e8f4a601ccf18f345bdeb7968b0fb5541c803.m3u8,网络源,https://epg.pw/media/images/channel/2022/10/23/large/20221023212524554784_66.jpg,0.426,未分组,h264,1920x1080,29.97002997002997,有音频,0.5208,False,False,0.5234,0.0286
[HD]cooking channel,https://stream1.freetv.fun/f204d2bcd40362f1b92163527b2e9bfec8ac954ee359600902044070830fa789.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,4.230,未分组,h264,1280x720,29.97002997002997,有音频,0.5469,False,False,0.4583,0.0625
[HD]華視,https://t.freetv.fun/live/hua-shi-2.ts,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164257585081_80.png,5.898,未分组,h264,1280x720,25.0,有音频,0.5365,False,False,0.6406,0.0417
[SD]i am channel,https://t.freetv.fun/live/i-am-channel.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,9.995,未分组,h264,720x576,25.0,有音频,0.5052,False,False,0.6094,0.0156
[HD]智林體育,https://t.freetv.fun/live/zhi-lin-ti-yu-9.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/10/large/20220510161417649264_37.jpg,5.071,未分组,h264,1280x720,30.0,有音频,0.5052,False,False,0.5104,0.0052
CCTV2,https://play.kankanlive.com/live/1698234898628961.m3u8,网络源,,6.187,未分组,h264,800x600,25.0,有音频,0.5312,False,False,0.4766,0.0026
[BD]kartoon channel,https://t.freetv.fun/live/kartoon-channel-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,7.026,未分组,h264,1920x1080,25.0,有音频,0.5104,False,False,0.612,0.0286
ç¾å‰§ã€Œè§£è¯´ã€,https://live.iill.top/huya/20488841,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,6.781,未分组,h264,1920x1080,29.97002997002997,有音频,0.4531,False,False,0.0,0.0
ä¸ƒé¾™ç ã€Œè§£è¯´ã€,https://live.iill.top/huya/25650806,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,0.838,未分组,,,,无音频,0.0,False,False,0.0,0.0
[BD]好消息[geo-blocked],https://stream1.freetv.fun/2ce7ee8563583bd553be94fc58c5f8bea91027ef2f5afc63897e95ff68121170.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126210954040708_43.jpg,1.828,未分组,h264,1920x1080,30.0,有音频,0.599,False,False,0.4479,0.0312
[HD]mezzo live,https://stream1.freetv.fun/d9a6f5f1f74956cc054168d162e253a9d2ce414ceab8517b104d5e09146bd1a5.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/14/large/20240814094908863860_80.png,3.482,未分组,h264,1280x720,30.0,无音频,0.4896,False,False,0.5938,0.0312
CCTV2,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111#http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.89.240.144:59901/tsfile/live/0002_1.m3u8#http://qjrhc.jydjd.top:2911/udp/224.1.100.192:11111#http://39.164.180.36:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111#http://www.freetv.top/migu/631780532.m3u8?migutoken=d69d5e5f850768f4609f5e7c6f63984da2c614f71e21226d8dea3a6e40d20f871ca2d383cd042bac96e3e8178933a15192f0ffaef2e700eb95de835faecc0bb802bd0c50099bf3d1abe4ea5174#http://112.123.206.32:808/hls/2/index.m3u8#https://www.freetv.top/migu/631780532.m3u8?migutoken=0bbd368e56ca239424f7c5ccc970c14b033a2a8ae6ee8749423233b1af2cf31d089694e2a89e22162c6f6ca67d978d52b628c87627d859fd8b0bf99ebbf20a7ec95de4171a037a5e3b65b7c3ce#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8#http://nas.hssvm.com:8888/udp/225.1.1.133:5002#https://www.freetv.top/migu/631780532.m3u8?migutoken=6c76ed4394c8c43f88aac34dab811cbf99f0534dd0deb2fa6a2515925b7e3485de13876836fa6823e42f5c7304cfe44911416d7ad0312b8fbf012adfe4f735fd37abdd31a3b3e6f645512cd090#http://drive.mxmy.net:8888/udp/239.3.1.60:8084#http://113.25.252.226:9901/tsfile/live/0002_1.m3u8#https://www.freetv.top/migu/631780532.m3u8?migutoken=9bacb748dc772b1cfcddf6e6373e3319c6d82105f221862932e3b30a6dc4843c93ace2108ab1d598c2d89ef8eb4225888737ce5895be20612ea7753d025151b9a913bd6fc98ff7666da5979f1d#http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,19.125,未分组,h264,1920x1080,50.0,有音频,0.526,False,False,0.0,0.0
[BD]ช่อง bbc earth,https://stream1.freetv.fun/c5d042d56862cb15b7c1d63632f4af1d1eef22b318719cc48d0190fa4225a6f0.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,6.359,未分组,h264,426x240,29.97002997002997,有音频,0.5833,False,False,0.4688,0.026
[HD]人间卫视,https://t.freetv.fun/live/ren-jian-wei-shi.m3u,网络源,https://epg.pw/media/img/logo/1_164.jpg,2.139,未分组,h264,1280x720,29.97002997002997,有音频,0.526,False,False,0.5078,0.1068
ã€Œæ–—é±¼ã€QQé£è½¦â€¢æ‰‹æ¸¸,https://live.iill.top/douyu/5040227,网络源,https://epg-1.iill.top/logo/æ–—é±¼.png,7.597,未分组,h264,1920x1080,59.94005994005994,有音频,0.4844,False,False,0.4896,0.0521
[HD]智林體育,https://stream1.freetv.fun/e7300e380630889e60de598b4e8aec0710bf54df163cd6f7a0ef3e096bbf9b1d.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/10/large/20220510161417649264_37.jpg,4.778,未分组,h264,1280x720,30.0,有音频,0.5573,False,False,0.5078,0.0026
é˜…è¯»â€¢å­¦ä¹ ã€ŒéŸ³ä¹ã€,https://live.iill.top/huya/21241813,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,7.917,未分组,h264,1472x1080,25.0,有音频,0.0,False,False,0.0,0.0
[BD]寰宇新聞台灣,https://stream1.freetv.fun/541a2cab418d00def52daa2904fbe453027106a11c407f31d2c441f403a9f2e0.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134538350977_27.png,8.606,未分组,h264,1920x1080,30.0,无音频,0.5312,False,False,0.5443,0.0286
[BD]东森电影,https://t.freetv.fun/live/dong-sen-dian-ying.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722105858673463_13.png,7.753,未分组,h264,1920x1080,30.0,有音频,0.5365,False,False,0.4427,0.0833
ä¸ƒé¾™ç ã€ŒåŠ¨æ¼«ã€,https://live.iill.top/huya/11601966,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,3.677,未分组,h264,960x720,30.0,有音频,0.0,False,False,0.0,0.0
èŒ¶å•ŠäºŒä¸­ã€ŒåŠ¨ç”»ã€,https://live.iill.top/huya/11213191,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,9.824,未分组,h264,1280x720,30.0,有音频,0.4583,False,False,0.5573,0.0365
å“†å•¦Aæ¢¦ã€ŒåŠ¨æ¼«ã€,https://live.iill.top/huya/11601963,网络源,https://epg-1.iill.top/logo/è™ç‰™.png,7.617,未分组,h264,960x720,25.0,有音频,0.5312,False,False,0.0,0.0
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8,网络源,,3.368,未分组,mpeg2video,720x576,25.0,有音频,0.0,False,False,0.0,0.0
[BD]靖天電影,https://stream1.freetv.fun/35f84e6c81e6adf04b34fc8f8a050beb664b6f515494a602431519bc51980d27.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720211600121903_76.png,4.541,未分组,h264,1920x1080,30.0,有音频,0.5469,False,False,0.6302,0.0
CCTV3,http://113.15.109.216:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.448,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.5312,0.0156
ã€Œæ–—é±¼ã€è·‘è·‘å¡ä¸è½¦,https://live.iill.top/douyu/7722576,网络源,https://epg-1.iill.top/logo/æ–—é±¼.png,6.164,未分组,h264,1920x1080,60.0,有音频,0.5365,False,False,0.6484,0.1068
[BD]discovery,https://stream1.freetv.fun/9bd5e759f25f9854b49789b047b7a1892c050e526f5ffab0286bfdb1a5985313.m3u8,网络源,https://epg.pw/media/images/channel/2023/08/05/large/20230805000246427864_44.png,15.783,未分组,h264,1920x1080,25.0,有音频,0.5625,False,False,0.5469,0.0208
[HD]gold star,https://t.freetv.fun/live/gold-star.m3u8,网络源,https://epg.pw/media/images/channel/2022/04/25/large/20220425163927207256_43.png,3.031,未分组,h264,1280x720,25.0,有音频,0.5521,False,False,0.4896,0.0
CCTV2,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-202601211138448FA9B998510F771A8747-9PrRHC&unique_id=stream-695106910011261612_684_flv&wsSecret=258653137fb1ed334218de18f528adaa&wsTime=69704a44,网络源,,1.134,未分组,h264,1920x1080,25.0,有音频,0.4844,False,False,0.0,0.0
[BD]东森美洲新闻台,https://t.freetv.fun/live/dong-sen-mei-zhou-xin-wen-tai.m3u8,网络源,https://epg.pw/media/images/channel/2022/03/08/large/20220308133519318409_56.jpg,0.394,未分组,h264,1920x1080,29.97002997002997,有音频,0.474,False,False,0.5026,0.0234
