频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
Bolton Community Voice Channel (CVC) Government (Bolton CT) (480p),https://dlttx48mxf9m3.cloudfront.net/vod_clients/bolton/live/ch3/video.m3u8,网络源,https://i.imgur.com/qLJhNhq.png,1.406,未分组,h264,1280x720,29.97002997002997,有音频,0.6615,False,False,0.5469,0.0052
CG Grandi Film (720p),https://cgentertainment-cgtv-1-it.rakuten.wurl.tv/playlist.m3u8,网络源,,1.861,未分组,h264,1280x720,29.97002997002997,有音频,0.5312,False,False,0.5391,0.013
Canal 10 SOL TV (1080p),http://190.211.140.89:8081/SVTranscoder/SOLTVabr.stream/playlist.m3u8,网络源,https://i.imgur.com/kAbrHqt.jpeg,1.161,未分组,h264,1280x720,60.0,有音频,0.526,False,False,0.4896,0.1094
Bruno Masi TV (720p),https://rds3.desdeparaguay.net/brunomasitv/brunomasitv/playlist.m3u8,网络源,https://i.ibb.co/QFmyjZN/unnamed-1.png,2.264,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.6927,0.276
Beverly Hills Television 35 (720p),https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/beverlyhills/G0072_007/playlist.m3u8,网络源,https://i.imgur.com/3Gqc5f2.png,0.571,未分组,h264,1280x720,25.0,有音频,0.5469,False,False,0.4922,0.0495
CGTN French,https://dash4.antik.sk/live/test_cgtn_fra_tizen/playlist.m3u8,网络源,https://i.imgur.com/BwhledK.png,2.522,未分组,h264,1280x720,25.0,有音频,0.5781,False,False,0.526,0.0052
CCTV-4 Europe,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8,网络源,https://i.imgur.com/HGLFdfk.png,2.537,未分组,h264,1280x720,25.0,有音频,0.5208,False,False,0.5026,0.013
Blaze Live,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/5e46fba0c43b0d00096e5ac1/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=6c2743c3-30d3-11ef-9cf5-e9ddff8ff496&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=70bd007d-e40d-4b1d-9a2b-bdc5dfd3741f,网络源,https://i.imgur.com/GwxneSQ.png,2.604,未分组,h264,426x240,30.0,有音频,0.5208,False,False,0.5833,0.0156
Cine Adrenalina (720p),https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5d8d164d92e97a5e107638d2/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5d8d164d92e97a5e107638d2&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=904&terminate=false&userId=,网络源,https://i.imgur.com/njCKaMv.png,2.639,未分组,h264,426x240,30.0,有音频,0.5469,False,False,0.5052,0.0
Boca Chica TV (720p) [Not 24/7],https://fox.hostlagarto.com:8081/bocachicatv/tracks-v1a1/mono.m3u8,网络源,https://i.imgur.com/npiRBPC.png,0.876,未分组,h264,1280x720,29.97002997002997,有音频,0.5365,False,False,0.5781,0.0156
Chef Champion (720p) [Not 24/7],https://rpn.bozztv.com/gusa/gusa-chefchampion/index.m3u8,网络源,https://i.imgur.com/15a9pG9.png,2.852,未分组,h264,1280x720,29.97002997002997,有音频,0.5521,False,False,0.526,0.0052
Cheers,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/611e7f224676bf00076a4d8d/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=bc835743-4b91-11ef-8a44-83c5e90e038f&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=fdd20197-2ce0-4cb8-b35e-ee6f316a3ff8,网络源,,2.928,未分组,h264,426x240,30.0,有音频,0.5417,False,False,0.6354,0.0208
Cinema,http://catchup.videoline.ru/cinema/playlist.m3u8,网络源,https://i.imgur.com/b5e9qUA.png,2.959,未分组,mpeg2video,720x576,25.0,有音频,0.599,False,False,0.5469,0.0104
Canale 7 (480p),http://wms.shared.streamshow.it/canale7/canale7/playlist.m3u8,网络源,https://i.postimg.cc/qByKyv17/canale7.png,2.964,未分组,h264,1280x720,25.0,有音频,0.5573,False,False,0.474,0.0469
C'est pas sorcier,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/63b579961bdba100071214cb/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=8e06ff23-1f2c-11ef-86d8-5d587df108c6&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=410cc83b-4396-41a0-b726-70e8f1e3fea4,网络源,,2.967,未分组,h264,426x240,30.0,有音频,0.5417,False,False,0.7344,0.0052
CBS News Boston (720p),https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8,网络源,https://i.imgur.com/9un7R3N.png,3.061,未分组,h264,1280x720,29.97002997002997,有音频,0.5573,False,False,0.4974,0.0339
CBS News Chicago (720p),https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8,网络源,https://i.imgur.com/qGbVQir.png,0.784,未分组,h264,320x180,29.97002997002997,有音频,0.5521,False,False,0.4479,0.026
Better Life TV (720p),https://tgn.bozztv.com/betterlife/betterlife/betterlife/index.m3u8,网络源,https://i.imgur.com/OWI7Y0l.png,3.076,未分组,h264,1280x720,29.97002997002997,有音频,0.5938,False,False,0.526,0.0104
Cay TV (720p),https://edge1.socialsmart.tv/caytv/bant1/playlist.m3u8,网络源,https://i.imgur.com/ndupxwu.png,3.081,未分组,h264,1280x720,25.0,有音频,0.5417,False,False,0.5547,0.0807
BeIN SPORTS XTRA en Espanol (720p) [Geo-blocked],https://bein-esp-klowdtv.amagi.tv/playlist.m3u8,网络源,https://i.imgur.com/V562tpO.png,3.209,未分组,h264,426x240,29.97002997002997,有音频,0.5781,False,False,0.4896,0.0729
Cable 14 Hamilton,https://flowcaster1-ch.cdn.clearcable.net/C14/smil:C14.smil/playlist.m3u8?iimae0UC2aendtime=1665196120&iimae0UC2ahash=NzcDbuotaJAVf1DsNxuGHBlfCXSvHDIt5sqMUMgrRMU=&iimae0UC2astarttime=1665181720,网络源,https://i.imgur.com/bJ7ygTq.png,3.211,未分组,h264,1280x720,59.94005994005994,有音频,0.5208,False,False,0.5443,0.0391
Better Health TV (480p),https://tgn.bozztv.com/betterlife/betterhealth/betterhealth/index.m3u8,网络源,https://i.imgur.com/qnwJiji.png,3.348,未分组,h264,704x480,29.97002997002997,有音频,0.4948,False,False,0.5755,0.0182
Canal 56 (576p) [Not 24/7],https://videos.canal56.com/directe/stream/index.m3u8,网络源,https://i.imgur.com/pwRVbCz.png,3.733,未分组,h264,1280x720,25.0,有音频,0.5781,False,False,0.5547,0.0026
CBS Sports Network USA,https://fl1.moveonjoy.com/CBS_SPORTS_NETWORK/index.m3u8,网络源,https://i.imgur.com/A8CnA8g.png,3.885,未分组,h264,1280x720,59.94005994005994,有音频,0.5312,False,False,0.5182,0.013
CMT East,https://fl1.moveonjoy.com/CMT/index.m3u8,网络源,https://i.imgur.com/S7DOpdY.png,4.099,未分组,h264,960x540,29.97002997002997,有音频,0.5677,False,False,0.5104,0.0208
BET Her East,https://fl1.moveonjoy.com/BET_HER/index.m3u8,网络源,https://i.imgur.com/oafsrlo.png,4.236,未分组,h264,1280x720,29.97002997002997,有音频,0.6146,False,False,0.5156,0.0208
Ch4Teen,https://ch14.tv/live/ch4teenclip/playlist.m3u8,网络源,https://i.imgur.com/pHpFGeg.png,1.244,未分组,h264,1920x1080,30.0,有音频,0.5677,False,False,0.5,0.0104
