频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
闲暇观看综艺,https://yylunbo.ottiptv.cc/yy/1354932379,网络源,,1.057,未分组,h264,1920x1080,30.0,有音频,0.5,False,False,0.5052,0.0
李连杰电影,http://www.douzhicloud.site:35455/huya/11342390,网络源,,1.609,未分组,h264,624x352,24.0,有音频,0.4896,False,False,0.0,0.0
罪犯电影,http://www.douzhicloud.site:35455/huya/11352962,网络源,,1.568,未分组,h264,1280x542,25.0,有音频,0.0,False,False,0.0,0.0
电影八点档,http://live.metshop.top/huya/880261?cdn=alicdn,网络源,,1.848,未分组,h264,1280x720,30.0,有音频,0.5,False,False,0.0,0.0
王晶电影,http://www.douzhicloud.site:35455/huya/11602058,网络源,,1.069,未分组,h264,1280x720,23.0,有音频,0.5781,False,False,0.0,0.0
怪兽电影,http://www.douzhicloud.site:35455/huya/21059577,网络源,,1.143,未分组,h264,1280x720,25.0,有音频,0.5365,False,False,0.5234,0.0026
活佛济公3,http://www.douzhicloud.site:35455/huya/23903123,网络源,,1.920,未分组,h264,1280x720,30.0,有音频,0.5156,False,False,0.0,0.0
韩国EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8,网络源,,1.993,未分组,h264,640x360,29.97002997002997,有音频,0.5208,False,False,0.4818,0.1016
陕西新闻咨询,http://112.46.105.20:8009/hls/18/index.m3u8,网络源,,2.161,未分组,h264,720x576,50.0,有音频,0.5625,False,False,0.5286,0.013
陪你一起看好剧,https://yylunbo.ottiptv.cc/yy/1354932359,网络源,,2.355,未分组,h264,1280x720,30.0,有音频,0.5365,False,False,0.6615,0.0
林正英经典电影,https://yylunbo.ottiptv.cc/yy/34229877,网络源,,2.214,未分组,h264,800x600,24.0,有音频,0.5469,False,False,0.5781,0.0
末日电影合集,http://www.douzhicloud.site:35455/yy/1354889019,网络源,,2.478,未分组,h264,1280x720,30.0,有音频,0.5781,False,False,0.5078,0.0234
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8,网络源,,1.118,未分组,h264,1920x1080,29.97002997002997,有音频,0.5156,False,False,0.513,0.0599
末日系列外国电影合集,https://yylunbo.ottiptv.cc/yy/1354889019,网络源,,3.035,未分组,h264,1280x720,30.0,有音频,0.5365,False,False,0.5573,0.0
百家讲坛之明太祖朱元璋,https://yylunbo.ottiptv.cc/yy/1354936149,网络源,,2.415,未分组,h264,1280x720,30.0,有音频,0.4271,False,False,0.7188,0.0
科幻电影,https://yylunbo.ottiptv.cc/yy/1355065896,网络源,,3.241,未分组,h264,1280x720,24.0,有音频,0.5573,False,False,0.4688,0.0
超精彩系列动作电影,https://yylunbo.ottiptv.cc/yy/1382745096,网络源,,2.141,未分组,h264,1280x720,30.0,有音频,0.5417,False,False,0.5573,0.0
百家讲坛红楼梦篇,https://yylunbo.ottiptv.cc/yy/1382741639,网络源,,3.148,未分组,h264,1280x720,30.0,有音频,0.5156,False,False,0.6875,0.0
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8,网络源,,3.308,未分组,h264,1920x1080,50.0,有音频,0.4792,False,False,0.0,0.0
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv,网络源,,0.933,未分组,h264,1120x468,25.0,有音频,0.5104,False,False,0.5521,0.0156
这部剧你居然没看过,https://yylunbo.ottiptv.cc/yy/1354932355,网络源,,2.048,未分组,h264,1280x720,30.0,有音频,0.5312,False,False,0.5938,0.0
影视小艺,https://yylunbo.ottiptv.cc/yy/1382737886,网络源,,3.678,未分组,h264,1280x720,25.0,有音频,0.4896,False,False,0.5104,0.0
西游记2,http://www.douzhicloud.site:35455/huya/29465859,网络源,,1.534,未分组,h264,848x476,30.0,有音频,0.5573,False,False,0.6719,0.0
返乡青年撞破村中隐秘村里有情况,https://yylunbo.ottiptv.cc/yy/1382749940,网络源,,2.163,未分组,h264,1280x720,30.0,有音频,0.5885,False,False,0.6615,0.0
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,网络源,,1.704,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.4583,0.0
邢台生活,https://jwcdnqx.hebyun.com.cn/live/xtcsshpd/1500k/tzwj_video.m3u8,网络源,,4.250,未分组,h264,1280x720,25.0,有音频,0.526,False,False,0.5208,0.0052
电影百团大战,https://yylunbo.ottiptv.cc/yy/1382736871,网络源,,2.885,未分组,h264,1280x720,30.0,有音频,0.5417,False,False,0.4583,0.0
新白娘子4K观看,https://yylunbo.ottiptv.cc/yy/1508961855,网络源,,1.923,未分组,h264,720x1280,24.0,有音频,0.7031,False,False,0.6979,0.0
浪客剑心传说的完结篇,https://yylunbo.ottiptv.cc/yy/1382736820,网络源,,4.274,未分组,h264,1280x720,30.0,有音频,0.6094,False,False,0.5469,0.0
热血动作电影,https://yylunbo.ottiptv.cc/yy/1382736804,网络源,,2.116,未分组,h264,1280x720,30.0,有音频,0.625,False,False,0.6094,0.0
