频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
万州科教 (576p),http://123.146.162.24:8013/tslslive/URetCnP/hls/live_sd.m3u8,网络源,,1.802,未分组,h264,720x576,25.0,有音频,0.5
YTA TV,https://yta.unitedteleports.tv/hls/YTA.m3u8,网络源,https://upload.wikimedia.org/wikipedia/en/8/84/YouToo_America_logo.png,2.044,未分组,h264,1920x1080,59.94005994005994,有音频,0.4375
Кино 1 International [Not 24/7],http://kino-1.catcast.tv/content/38617/index.m3u8,网络源,https://i.imgur.com/zsCPLs4.png,1.203,未分组,h264,768x432,25.0,有音频,0.6562
Губерния (Самара) (576p),http://live.guberniatv.cdnvideo.ru/guberniatv/guberniatv.sdp/playlist.m3u8,网络源,https://i.imgur.com/IlL57Rm.png,2.529,未分组,h264,1024x576,25.0,有音频,0.5625
Енисей (1080p) [Not 24/7],https://hls-eniseytv.cdnvideo.ru/eniseytv/stream1/playlist.m3u8,网络源,https://i.imgur.com/57deE7f.png,2.568,未分组,h264,1920x1080,25.0,有音频,0.6875
荣昌综合 (404p) [Not 24/7],http://183.64.181.25:40023/rongchang01.m3u8,网络源,,2.613,未分组,h264,720x404,25.0,有音频,0.6406
Zhejiang Satellite TV,https://play-qukan.cztv.com/live/1758879019692345.m3u8,网络源,https://i.postimg.cc/mrtBcmTx/zhejiangsatellitetv.png,1.598,未分组,hevc,3840x2160,50.0,有音频,0.75
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/CCTV13.png,2.955,未分组,h264,1920x1080,25.0,有音频,0.2656
Zee Kannada News (720p),https://d3vzwoqcbpfm8p.cloudfront.net/index_4.m3u8,网络源,,1.758,未分组,h264,1280x720,30.0,有音频,0.7188
Zoo Moo (Australia) (1080p),https://zoomoo-samsungau.amagi.tv/playlist.m3u8,网络源,https://i.imgur.com/ciTJrnl.png,3.188,未分组,h264,1920x1080,25.0,有音频,0.375
松原新闻综合 [Geo-blocked],https://stream2.jlntv.cn/sytv/sd/live.m3u8,网络源,,3.832,未分组,h264,720x576,25.0,有音频,0.6562
Арис 24 (720p) [Not 24/7],http://serv25.vintera.tv:8081/test/aris/playlist.m3u8,网络源,https://i.imgur.com/CTFVEAb.png,2.504,未分组,h264,1280x720,25.0,有音频,0.5156
Сити Эдем КиноКомедия [Not 24/7],https://cityeden.catcast.tv/content/41331/index.m3u8,网络源,https://i.imgur.com/Aga2XVA.png,4.590,未分组,h264,1280x528,23.976023976023978,有音频,0.4531
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8,网络源,,3.178,未分组,h264,1920x1080,25.0,有音频,0.5156
Живая Планета,http://31.148.48.15/Zhivaya_Planeta/index.m3u8,网络源,https://i.imgur.com/onNv1tM.png,2.936,未分组,h264,720x576,25.0,有音频,0.6875
上虞1新闻综合 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8,网络源,,3.468,未分组,h264,1920x1080,25.0,有音频,0.375
АБАЗА-ТВ,https://public.apsny.camera/tv_abaza_tv_to_site/index.m3u8,网络源,https://i.imgur.com/7Jo7UAf.png,5.631,未分组,h264,1920x1080,50.0,有音频,0.6719
Yu-Gi-Oh!,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/642d4493aa2d690008f0a03f/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=bc86d9b6-4b91-11ef-8a44-83c5e90e038f&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=cb788c52-b6d0-48f4-99a5-61f412d9e79b,网络源,,5.687,未分组,h264,426x240,30.0,有音频,0.7188
Zee Action (576p),http://87.255.35.150:18507,网络源,https://i.imgur.com/MIzc3I1.png,5.767,未分组,h264,704x576,25.0,有音频,0.7188
Zoom (720p),https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/zoom-tv/master.m3u8,网络源,https://i.imgur.com/kcDJ4g0.png,0.393,未分组,h264,1280x720,25.0,有音频,0.4375
YourTime TV,https://hls.yourtime.live/hls/stream.m3u8,网络源,https://i.imgur.com/X38vWJ1.png,3.162,未分组,h264,1280x720,25.0,有音频,0.5469
云南 Ⅰ 文山综合台 (1080p) [Not 24/7],http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv,网络源,,2.335,未分组,h264,1920x1080,25.0,有音频,0.4531
YOUNIB Media TV (720p) [Not 24/7],https://goliveafrica.media:9998/live/6257fbe7383d6/index.m3u8,网络源,https://i.imgur.com/LtiPOYG.jpg,2.578,未分组,h264,1280x720,25.0,有音频,0.5156
Арктика 24 (Архангельск),https://vgtrkregion-reg.cdnvideo.ru/vgtrk/arhangelsk/arktika24-hd/index.m3u8,网络源,https://i.imgur.com/kmbdyr6.png,6.344,未分组,h264,1920x1080,25.0,有音频,0.4531
上虞3新商都 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8,网络源,,3.483,未分组,h264,1920x1080,25.0,有音频,0.3125
Сфера ТВ,http://cdn10.live-tv.od.ua:8081/sferarv/sferarv-abr/playlist.m3u8,网络源,https://i.imgur.com/S1h1t0G.png,6.539,未分组,h264,848x480,25.0,有音频,0.4219
Надежда (720p),https://live-tvhope.cdnvideo.ru/tvhope-pull/tvhope_1/playlist.m3u8,网络源,https://i.imgur.com/ah6VnFJ.png,1.815,未分组,h264,1280x720,25.0,有音频,0.5312
Zee News (1080p),https://dknttpxmr0dwf.cloudfront.net/index_57.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Zee_news.svg/512px-Zee_news.svg.png,1.361,未分组,h264,1920x1080,25.0,有音频,0.4844
Сити Эдем КиноМистика [Not 24/7],https://cityeden.catcast.tv/content/40783/index.m3u8,网络源,https://i.imgur.com/s1Pid0K.png,4.223,未分组,h264,1280x536,24.0,有音频,0.0
嵊州综合 (720p) [Not 24/7],https://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8,网络源,,3.212,未分组,h264,1280x720,25.0,有音频,0.5469
Соловьев LIVE,https://player.smotrim.ru/iframe/stream/live_id/985d5c7b-9727-4942-a4ba-a6e852caf0c1,网络源,https://i.imgur.com/v0OYe1d.png,5.374,未分组,h264,1024x576,25.0,有音频,0.6094
