频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
Naruto,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65d5fc39a25d5e00082895c4/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=bc8504f0-4b91-11ef-8a44-83c5e90e038f&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=a11b7b48-853c-4292-b5d5-30482134cf1e,网络源,,1.975,未分组,h264,426x240,30.0,有音频
Hudhud TV,http://63b03f7689049.streamlock.net:1935/live/17/playlist.m3u8,网络源,,1.547,未分组,h264,640x480,25.0,有音频
Sochi Live HD (720p) [Not 24/7],http://serv30.vintera.tv:8081/sochi/sochi_stream/playlist.m3u8,网络源,https://www.cableman.ru/sites/default/files/sochi_live.png,2.317,未分组,h264,1280x720,50.0,有音频
å¤©æ´¥å«è§†,http://61.156.228.12:8154/tsfile/live/0135_1.m3u8,网络源,,2.499,未分组,h264,1920x1080,50.0,有音频
Puthiya Thalaimurai (576p),https://segment.yuppcdn.net/240122/puthiya/playlist.m3u8,网络源,https://i.imgur.com/Hgp4sQq.png,4.308,未分组,h264,,,有音频
è¥¿è—å«è§†,http://php.jdshipin.com/xztv.php?id=ws,网络源,,5.435,未分组,h264,1920x1080,25.0,有音频
CCTV11,https://stream1.freetv.fun/c23a4f52a9d9d0b34759b80498722011be190bd0d11d4425312946cb5f42cc75.m3u8,网络源,,15.291,未分组,h264,1920x1080,50.0,有音频
é™•è¥¿å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GeGGaW&tk=FgM0vQMejxvG,网络源,,0.260,未分组,,,,无音频
[BD]afarin tv,https://stream1.freetv.fun/afarin-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/01/19/large/20220119220009305923_89.png,3.666,未分组,h264,1920x1080,25.0,有音频
é™•è¥¿å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=WOJZcy&tk=FgM0vQMejxvG,网络源,,0.259,未分组,,,,无音频
TVS Retro (720p),https://cdn.streamhispanatv.net:3531/live/tvsretrogtlive.m3u8,网络源,https://i.imgur.com/jdnHci0.png,0.774,未分组,h264,854x480,29.97002997002997,有音频
å¤©æ´¥å«è§†,http://drive.mxmy.net:8888/udp/239.3.1.141:1234,网络源,,6.402,未分组,h264,1920x1080,25.0,有音频
