频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
Ontústik (360p),https://stream.kaztrk.kz/regional/shymkenttv/index.m3u8,网络源,https://i.imgur.com/xqr1hjN.png,1.174,未分组,,,,无音频
WPXX-DT1,http://104.255.88.155/ion/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ion_logo.svg/512px-Ion_logo.svg.png,0.193,未分组,h264,960x720,29.97002997002997,有音频
[SD]vice news (1080p),https://stream1.freetv.fun/vice-news-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/05/18/20160518053416189910_56.png,1.811,未分组,h264,1920x1080,25.0,有音频
[SD]sabc news (720p) [geo-blocked],https://stream1.freetv.fun/sabc-news-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/05/18/20160518053416189910_56.png,9.069,未分组,h264,1920x1080,25.0,有音频
ABP Ganga (1080p),https://abplivetv.akamaized.net/hls/live/2043013/ganga/master.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/ABP_Ganga.svg/512px-ABP_Ganga.svg.png,7.991,未分组,,,,无音频
[BD]rede ngt,https://stream1.freetv.fun/rede-ngt-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719183143327405_21.png,3.318,未分组,h264,1920x1080,59.94005994005994,有音频
Eggheads (1080p),https://amg00654-itv-amg00654c28-rakuten-uk-5302.playouts.now.amagi.tv/playlist.m3u8,网络源,,4.602,未分组,h264,1920x1080,25.0,有音频
[BD]cctv7[geo-blocked],https://stream1.freetv.fun/cctv7-48.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001726519561_49.png,5.559,未分组,hevc,1920x1080,25.0,有音频
[HD]super!,https://stream1.freetv.fun/super-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/19/large/20230719183051244235_21.png,1.207,未分组,h264,1280x720,25.0,有音频
å¹¿ä¸œç æ±Ÿ,https://stream1.freetv.fun/yan-dong-zhu-jiang-gao-qing-1.ctv,网络源,,1.287,未分组,h264,1280x720,25.0,有音频
