频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
Fresno CMAC 2 Education Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/stream-2/live.m3u8,网络源,https://i.imgur.com/O0sYOED.png,3.985,未分组,h264,480x270,30.0,有音频
CCTV5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=a79abb65a17f5be7da5d3ec37960d15f3a6b164cf4540fb85ca8f60c68726c5c84ee3e9356f5c9515215acf25f71251776bf3e39fc89015d04e7a8ecb61ac182200548094f6aa8d0fdcb89d528,网络源,,0.828,未分组,h264,1920x1080,30.0,有音频
CCTV5+,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8,网络源,,11.183,未分组,h264,1920x1080,50.0,有音频
TVBæ˜ç,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt,网络源,,0.554,未分组,,,,无音频
Суббота!,http://hls2.hd-tv.club/2_super/index.m3u8,网络源,https://i.imgur.com/nsk8PpB.png,1.707,未分组,h264,720x576,25.0,有音频
[SD]telerama,https://stream1.freetv.fun/telerama-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173720781635_58.png,2.231,未分组,h264,720x576,25.0,有音频
Mahdi TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120427/mahdi/playlist.m3u8,网络源,https://i.imgur.com/MpX9MHo.png,0.117,未分组,,,,无音频
Tunisna TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2120681/tunisna/playlist.m3u8,网络源,https://i.imgur.com/EePmh2R.png,0.094,未分组,,,,无音频
[BD]澳视葡文,https://stream1.freetv.fun/ao-shi-pu-wen-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/19/large/20220519235326309197_26.jpg,5.035,未分组,h264,1920x1080,25.0,有音频
å—äº¬æ–°é—»ç»¼åˆ,https://mgtv.ottiptv.cc/migu/838109047.m3u8?migutoken=d3d943815e6d6e9e9493a9b4b1d5a1d360bb5f3c04230f6d4d71f7f7c9f30771d321f1c262008c92ffde17fef4a62d1e1c58d5a9454573fb1489994d9be29f4e1cc7786813b671581eda4b9439,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å—äº¬æ–°é—»ç»¼åˆ.png,1.146,未分组,,,,无音频
å—é€šæ–°é—»ç»¼åˆ,https://migu.188766.xyz/?migutoken=61a3a9103235260cc82c94647d760ce5&id=%E5%8D%97%E9%80%9A%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88&type=yy,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å—é€šæ–°é—»ç»¼åˆ.png,0.564,未分组,h264,1920x1080,28.0,有音频
Magic TV (720p),https://tv.broadcasting.ro/magictv/925f90db-5c88-4190-a53d-5163cdffe6f4.m3u8,网络源,https://i.imgur.com/9izrr4d.png,3.315,未分组,h264,1280x720,25.0,有音频
CCTV5+,https://migu.188766.xyz/?migutoken=c079a5251fc80c1d24fc1dcc7fd22857&id=CCTV5p&type=yy,网络源,,0.560,未分组,h264,1920x1080,28.0,有音频
é»‘é¾™æ±Ÿæ–°é—»æ³•æ²»,https://stream1.freetv.fun/hei-long-jiang-xin-wen-fa-zhi-6.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é»‘é¾™æ±Ÿæ–°é—»æ³•æ²».png,1.305,未分组,h264,1280x720,25.0,有音频
Madha TV (600p),https://60e68b19dd194.streamlock.net:55/madhatv/madhatv.stream_HDp/playlist.m3u8,网络源,https://i.imgur.com/UBBaXzz.png,4.905,未分组,h264,1080x600,25.0,有音频
Fresno CMAC 3 Government Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/stream-3/live.m3u8,网络源,https://i.imgur.com/ToZzguz.png,4.439,未分组,h264,480x270,30.0,有音频
Canal do Criador (1080p),https://607d2a1a47b1f.streamlock.net/crur/smil:canaldocriador.smil/playlist.m3u8,网络源,https://i.imgur.com/k29So6X.png,0.739,未分组,,,,无音频
å¤æ²³ç»¼åˆ,http://pili-live-hls.hfmt.net/gntv/xhtv.m3u8?zgand,网络源,,15.743,未分组,,,,无音频
Pluto TV Film Azione Italy (720p),https://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/608aa17fb9f4490007e6419a/master.m3u8?advertisingId={PSID}&appVersion=unknown&deviceDNT={TARGETOPT}&deviceId={PSID}&deviceLat=0&deviceLon=0&deviceMake=samsung&deviceModel=samsung&deviceType=samsung-tvplus&deviceVersion=unknown&embedPartner=samsung-tvplus&profileFloor=&profileLimit=&samsung_app_domain={APP_DOMAIN}&samsung_app_name={APP_NAME}&us_privacy=1YNY,网络源,https://i.imgur.com/aQ18r9x.png,1.215,未分组,h264,1216x684,30.0,有音频
[BD]澳視葡文,https://stream1.freetv.fun/ao-shi-pu-wen-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/19/large/20220519235326309197_26.jpg,4.813,未分组,h264,1920x1080,25.0,有音频
Ronahi TV (1080p),https://hlspackager.akamaized.net/live/DB/RONAHI_TV/HLS/RONAHI_TV.m3u8,网络源,https://i.imgur.com/JSvJpD8.png,2.707,未分组,h264,1920x1080,25.0,有音频
