频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
[SD]mtv live =,https://stream1.freetv.fun/mtv-live-12.ctv,网络源,https://epg.pw/media/images/channel/2017/10/27/large/20171027212332267177_57.png,0.968,未分组,h264,960x540,29.97002997002997,有音频
[VGA]al sharqiya min kabla,https://stream1.freetv.fun/al-sharqiya-min-kabla-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174746429595_47.png,3.580,未分组,h264,426x240,25.0,有音频
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=URpjqF&tk=FgM0vQMejxvG,网络源,,0.256,未分组,,,,无音频
æµ·å—å…¬å…±,https://migu.188766.xyz/?migutoken=ebef3d53ae838fd0544b3a74aa338fcb&id=hn_ggpd&type=sz,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æµ·å—å…¬å…±.png,4.798,未分组,h264,1280x720,25.0,有音频
[HD]qvc italia,https://stream1.freetv.fun/qvc-italia-1.m3u8,网络源,https://epg.pw/media/,5.228,未分组,h264,720x480,25.0,有音频
å¹¿ä¸œå«è§†,http://z.b.bkpcp.top/m.php?id=gdws,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/å¹¿ä¸œå«è§†.png,4.519,未分组,h264,1920x1080,25.0,有音频
BET East,https://fl1.moveonjoy.com/BET_EAST/index.m3u8,网络源,https://i.imgur.com/copIbc9.png,2.546,未分组,h264,1280x720,29.97002997002997,有音频
Qwest TV Jazz & Beyond (1080p),https://samsungau-qwestjazz-samsungtv-zw2jc.amagi.tv/playlist/samsungau-qwestjazz-samsungtv/playlist.m3u8,网络源,https://i.imgur.com/89yWH5L.png,3.128,未分组,h264,1920x1080,25.0,有音频
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=fMMDXe&tk=FgM0vQMejxvG,网络源,,0.249,未分组,,,,无音频
é’æµ·å«è§†,https://stream1.freetv.fun/d6cb8a9b2d3d4f555418141ecb008cc61e84a6278690a855241eb57bf43fdf75.m3u8,网络源,,5.610,未分组,,,,无音频
[BD]亚洲旅游 *wj,https://stream1.freetv.fun/ya-zhou-lu-you---wj-1.m3u8,网络源,https://epg.pw/media/images/channel/2018/03/11/large/20180311221333244935_31.png,5.845,未分组,,,,无音频
BET Gospel,https://fl1.moveonjoy.com/BET_GOSPEL/index.m3u8,网络源,https://i.imgur.com/jbOkq8C.png,0.860,未分组,h264,1280x720,29.97002997002997,有音频
é¦™æ¸¯å«è§†,https://stream1.freetv.fun/xiang-gang-wei-shi-13.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é¦™æ¸¯å«è§†.png,1.102,未分组,h264,1280x720,25.0,有音频
Crave 1,https://fl1.moveonjoy.com/CRAVE_1/index.m3u8,网络源,https://i.imgur.com/ZkRQ0r1.png,0.787,未分组,h264,1280x720,30.0,有音频
IeanJesus Ecuador (720p),https://cloud37.ecuatel.com/iglesia2020/Stream1/playlist.m3u8,网络源,https://i.imgur.com/TyckDSV.png,0.931,未分组,h264,1280x534,29.97002997002997,有音频
CCTV12,http://kkk.888.3116598.xyz/api.php?n=tttt&id=UD8j7z&tk=FgM0vQMejxvG,网络源,,0.273,未分组,,,,无音频
SOY Plancha TV (720p),https://59ef525c24caa.streamlock.net/vmtv/soyplancha/playlist.m3u8,网络源,https://i.ibb.co/P4kpMgk/1689344714578.jpg,1.389,未分组,h264,1280x720,30.0,有音频
é’æµ·å«è§†,https://stream1.freetv.fun/deaa20e0dee0586cff9865553a834a8c953550e0536954e6e150c89839aefab8.m3u8,网络源,,1.756,未分组,h264,1280x720,25.0,有音频
é¦™æ¸¯å«è§†,https://stream1.freetv.fun/xiang-gang-wei-shi-8.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é¦™æ¸¯å«è§†.png,1.039,未分组,h264,1280x720,25.0,有音频
Berente TV (1080p),https://stream.streaming4u.hu/BerenteTV/index.m3u8,网络源,https://i.imgur.com/3H3Ct9f.png,3.386,未分组,h264,1920x1080,,有音频
å®å¤å«è§†,http://221.2.148.205:8154/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,1.912,未分组,h264,720x576,50.0,有音频
å¹¿ä¸œä½“è‚²,http://8.138.7.223/tv/gd.php?id=00031,网络源,,17.873,未分组,h264,1920x1080,30.0,有音频
[SD]wildearth [geo-blocked],https://stream1.freetv.fun/wildearth-3.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/16/large/20240816033156038757_67.png,2.932,未分组,h264,1920x1080,29.97002997002997,有音频
Space TV,https://raw.githubusercontent.com/UzunMuhalefet/streams/main/myvideo-az/space-tv.m3u8,网络源,https://i.imgur.com/ufvVQJH.png,2.479,未分组,h264,720x404,50.0,有音频
é’æµ·å«è§†,https://stream1.freetv.fun/e0551db6bc9512b248a2da5f2455dee2c1d3164fb9ece82daa77b0c1b7ffb8a4.m3u8,网络源,,1.598,未分组,h264,1280x720,25.0,有音频
NBC 26 Green Bay WI (WGBA-DT1) (720p),https://content.uplynk.com/channel/1fbfb28ae5044f619f75ae0adb011989.m3u8,网络源,https://i.imgur.com/bzgfmRL.png,9.432,未分组,h264,960x540,29.97002997002997,有音频
[HD]wild 'n out,https://stream1.freetv.fun/wild--n-out-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/02/large/20220502182017195701_15.png,2.403,未分组,h264,426x240,30.0,有音频
NBC News NOW (1080p),https://livehub-voidnet.onrender.com/cluster/streamcore/us/NBC_REDIS.m3u8,网络源,https://i.imgur.com/JZt2qh5.png,0.867,未分组,h264,426x240,30.0,有音频
å®å¤å«è§†,https://stream1.freetv.fun/a995f4581392348d00490ba3d075ceeaca5f17a7688d38d0497ea3f446af8edd.ctv,网络源,,1.618,未分组,h264,1280x720,25.0,有音频
åŸ‹å †å †3,http://live.nctv.top/huya.php?id=23865036,网络源,,5.924,未分组,h264,1920x1080,60.0,有音频
æµ·å—å…¬å…±,https://migu.188766.xyz/?migutoken=1e3c9e7b365e0e24dca58117ddb3b32d&id=hn_ggpd&type=sz,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æµ·å—å…¬å…±.png,4.018,未分组,h264,1280x720,25.0,有音频
[HD]人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-3.m3u8,网络源,https://epg.pw/media/img/logo/1_164.jpg,4.233,未分组,h264,1280x720,29.97002997002997,有音频
åŸ‹å †å †10,http://cfss.cc/cdn/hy/23734246.flv,网络源,,1.660,未分组,,,,无音频
CCTV12,https://stream1.freetv.fun/72ad99a6a08c58c24868d3abddb6c4f7c8ac34a49c55133b957ff50d418f183f.m3u8,网络源,,1.624,未分组,h264,1280x720,25.0,有音频
[HD]us willow cricket,https://stream1.freetv.fun/us-willow-cricket-1.ctv,网络源,https://epg.pw/media/images/channel/2022/08/26/large/20220826151001492099_13.png,0.526,未分组,h264,1280x720,25.0,有音频
[HD]人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-7.ctv,网络源,https://epg.pw/media/img/logo/1_164.jpg,2.974,未分组,h264,1280x720,29.97002997002997,有音频
é’æµ·å«è§†,https://stream1.freetv.fun/d6e32c6ed01121487159b5b2fc12698d5551739ef7911c9fbb25e830e31456d2.m3u8,网络源,,1.609,未分组,h264,1280x720,25.0,有音频
[HD]人间卫视,https://stream1.freetv.fun/ren-jian-wei-shi-5.m3u8,网络源,https://epg.pw/media/img/logo/1_164.jpg,4.352,未分组,h264,1280x720,29.97002997002997,有音频
Qwest TV (1080p),https://qwestjazz-rakuten.amagi.tv/hls/amagi_hls_data_rakutenAA-qwestjazz-rakuten/CDN/master.m3u8,网络源,https://i.imgur.com/DjgNNHK.png,2.774,未分组,h264,1920x1080,25.0,有音频
[SD]wild 'n out,https://stream1.freetv.fun/wild--n-out-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/02/large/20220502182017195701_15.png,2.549,未分组,h264,426x240,30.0,有音频
[BD]altaghier tv,https://stream1.freetv.fun/altaghier-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613194238596104_80.png,6.713,未分组,h264,640x360,25.0,有音频
Crave 3,https://fl1.moveonjoy.com/CRAVE_3/index.m3u8,网络源,https://i.imgur.com/kOi0Adn.png,0.789,未分组,h264,1280x720,30.0,有音频
[HD]aleph news,https://stream1.freetv.fun/aleph-news-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003507896414_93.png,5.147,未分组,h264,640x360,50.0,有音频
Crave 2,https://fl1.moveonjoy.com/CRAVE_2/index.m3u8,网络源,https://i.imgur.com/e1qJ5Bp.png,2.629,未分组,h264,1280x720,59.94005994005994,有音频
Un gars une fille,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/62f3ece7b09fd6000783bfb9/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=8e06d810-1f2c-11ef-86d8-5d587df108c6&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=d4806e73-8205-4c2d-96f4-b4107c552c9a,网络源,,2.613,未分组,h264,426x240,30.0,有音频
CCTV12,https://stream1.freetv.fun/fd8feeadf3d281587366a5c57dfb6fe54baef1a61e6704b5e769aeccbcaf79f9.m3u8,网络源,,1.610,未分组,h264,1280x720,25.0,有音频
[SD]alfa ⓢ,https://stream1.freetv.fun/alfa-s-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174016766543_32.png,3.705,未分组,h264,1024x576,25.0,有音频
[SD]mtv live,https://stream1.freetv.fun/mtv-live-9.m3u8,网络源,https://epg.pw/media/images/channel/2017/10/27/large/20171027212332267177_57.png,5.131,未分组,h264,960x540,29.97002997002997,有音频
é’æµ·å«è§†,https://stream1.freetv.fun/b42c62bf8970943cef5224e2caf19a6b25d549373552d1170daeb4b100a110a1.m3u8,网络源,,1.620,未分组,h264,1280x720,25.0,有音频
CCTV12,https://stream1.freetv.fun/73e76f84f85f78d63807bfb8e51dff03850f7d1cafd1c6521d6eb45272bc4ead.m3u8,网络源,,0.569,未分组,,,,无音频
å®å¤å«è§†,https://shyd.695847.xyz/cms001/ch00000090990000001074/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12,网络源,,0.502,未分组,,,,无音频
å®å¤å«è§†,https://stream1.freetv.fun/edc33a6653e2b180883e17a3edf7dfe88263319a770afec3f084a9eadc0cb5f1.ctv,网络源,,1.615,未分组,h264,1280x720,25.0,有音频
Best of Dance TV (1080p),https://m1b2.worldcast.tv/dancetelevisionone/dancetelevisionone.m3u8,网络源,,2.962,未分组,h264,1920x1080,25.0,有音频
UMTV (1080p) [Not 24/7],https://60417ddeaf0d9.streamlock.net/montemorelos/videomontemorelos/playlist.m3u8,网络源,https://i.imgur.com/sjxVdPh.png,1.911,未分组,h264,1920x1080,30.0,有音频
